@English@|@Portuguese@
@remove the rust@|@desenferrujar (v.)@
@remunerate@|@remunerar (v.)@
@render@|@pôr, renda, tornar (v. t. i. r.)@
@render unhappy@|@desgraçar (v.)@
@renew@|@renovar (v.), renove@
@renounce@|@renuncíe@
@renown@|@glória@
@rent@|@alugar (v.), aluguel, aluguer (m.)@
@reorganize@|@reorganizar (v.)@
@repair@|@consertar (v.), reparer (v.), reparo@
@repass@|@repassar (v.)@
@repatriate@|@repatriar (v.)@
@repay@|@reembolse, retribuir (v.), tornar (v. t. i. r.)@
@repayment@|@reembolso@
@repeal@|@revogar (v. t.)@
@repeat@|@repetir (v.)@
@repeatedly@|@repetidamente@
@repel@|@rebater (v. t.), repelir (v.)@
@repetition@|@repetição@
@replace@|@substitua@
@replacement@|@recolocação@
@reply@|@responder (v.), resposta, tornar (v. t. i. r.), voltar (v.), volver (v. t. i. r.)@
@report@|@relatório, reportar (v.)@
@repose@|@descansar (v.)@
@represent@|@representar (v.), represente@
@representation@|@respresentação@
@representative@|@representante@
@reproach@|@acoimar (v. t.), reprimenda@
@reproduce@|@reproduza, reproduzir (v.)@
@reproduction@|@reprodução@
@reptile@|@réptil@
@republic@|@república@
@republican@|@republicano@
@repudiate@|@repudiar (v.)@
@repulse@|@repulsa, repulsar (v.)@
@reputation@|@reputação@
@request@|@pedido, pedir (v. t.), rogar (v.), solicitar (v.), suplicar (v.)@
@require@|@reque, requerer (v.)@
@requisition@|@requisição@
@reread@|@reler (v.)@
@rescind@|@rescindir (v.), revocar (v. t.)@
@rescue@|@acudir (v.), poupar (v.), remir (v.), salvamento@
@research@|@pesquisa@
@resell@|@revender (v.)@
@resemblance@|@semelhança@
@resemble@|@assemelhe-se@
@resent@|@ressentir (v.)@
@reserve@|@reserva, reservar (v.)@
@residence@|@residência@
@resign@|@renunciar (v.), renuncie, resignar (v.)@
@resignation@|@renúncia@
@resin@|@resina@
@resist@|@resistir (v.)@
@resistance@|@resistência@
@resolution@|@definição@
@resolve@|@desempatar (v.)@
@resort@|@recorrer (v.)@
@resound@|@repercutir (v. i. r.)@
@resources@|@recursos@
@respect@|@respeitar (v.), respeito@
@respectable@|@respeitável@
@respective@|@respectivo@
@respiration@|@respiração@
@respond@|@responda, responder (v.)@
@responsibility@|@responsabilidade@
@responsible@|@responsável@
@rest@|@descansar (v.), descanso@
@restart@|@reiniciar (v.)@
@restaurant@|@restaurante@
@restitute@|@repor (v.), restituir (v.)@
@restore@|@instaurar (v.), reparar (v.), restablecer (v.), restaurar (v.)@
@restrain@|@coibir (v.), reger (v.), reprimir (v.)@
@restrict@|@restringir (v.), restrinja@
@restricted@|@restrito@
@result@|@redundar (v.), resultado, resultar (v.)@
@resurge@|@ressurgir (v.)@
@retail@|@vender (v. t.)@
@retailer@|@varejista@
@retain@|@deter (v. t.)@
@retake@|@reconquistar (v. t.), retomar (v.)@
@retard@|@deter (v. t.), retardar (v. t.)@
@retardation@|@atraso@
@reticulation@|@reticulação (f.)@
@retire@|@aposente, jubilar (v.)@
@retiree@|@aposentado@
@retirement@|@aposentadoria@
@retort@|@tornar (v. t. i. r.), volver (v. t. i. r.)@
@retouch@|@retocar (v.)@
@retrace@|@remontar (v.), retraçar (v.)@
@retreat@|@recuo@
@retrieve@|@reparar (v.)@
@retrocede@|@retroceder (v.)@
@retrograde@|@acuar (v. i.)@
@return@|@devolver (v.), regressar (v.), retornar (v.), retorno, tornar (v. t. i. r.), vir (v.), voltar (v.), volver (v. t. i. r.)@
@reunify@|@reunificar (v.)@
@reunion@|@reunião@
@reuse@|@reutilizar (v.)@
@reveal@|@manifestar (v.), revele@
@revenge@|@vingança@
@reverberate@|@repercutir (v. i. r.)@
@reverse@|@inverter (v.), reverso, voltar (v.)@
@reverse (jur.)@|@revogar (v. t.)@
@review@|@revisar (v. t.)@
@revision@|@revisão (f.)@
@revitalize@|@revitalizar (v.)@
@revive@|@reavivar (v.), ressuscitar (v.)@
@revoke@|@revocar (v. t.), revogar (v. t.)@
@revolt@|@revolta@
@revolution@|@volta@
@revolutionary@|@revolucionário@
@revolutionize@|@revolucionar (v.)@
@revolve@|@volver (v. t. i. r.)@
@revolver@|@revólver (v.)@
@reward@|@recompensa, recompensar (v.)@
@rewind@|@rebobinar (v.)@
@rewrite@|@rescrever (v. t.)@
@Rhine@|@Reno@
@Rhodesia@|@Rodésia@
@rhyme@|@rima, rimar (v.)@
@rhythm@|@ritmo@
@rhythmic@|@rítmico@
@rib@|@costela, reforço@
@ribbon@|@fita@
@rice@|@arroz@
@rich@|@rico@
@rid@|@livrado@
@riddle@|@crivar (v.)@
@ride@|@cavalgar (v.), passeio@
@rider@|@cavaleiro@
@rifle@|@espingarda@
@rig@|@equipamento@
@right@|@certo, direita, são (adj.)@
@rigid@|@rígido@
@rim@|@borda@
@ring@|@anel (m.), repercutir (v. i. r.)@
@rinse@|@enxaguadura, enxaguar (v.)@
@riot@|@motim@
@rip@|@descoser (v.), rasgo@
@ripe@|@maduro@
@ripen@|@amadurecer (v.)@
@rise@|@ascensão, aumentar (v.), encher (v. t. i.), erguer-se (v.), levantar (v. t. i. r.), subir (v.)@
@rise (sun)@|@alvorecer (v.)@
@risk@|@acometer (v. t. i.), arriscar (v.), risco@
@rival@|@rivalizar (v.)@
@river@|@rio@
@rivet@|@rebite@
@road@|@estrada@
@road-metal@|@estrada-metal@
@roam@|@vagueie@
@roar@|@rugido, rugir (v.)@
@rob@|@roubar (v.)@
@robber@|@salteador@
@robe@|@veste@
@robot@|@robô@
@rock@|@rocha@
@rocket@|@foguete@
@rod@|@haste@
@rodent@|@roedor@
@role@|@papel@
@roll@|@enrolar (v.), pãozinho, rolo, volver (v. t. i. r.)@
@roll up@|@arregaçar (v.)@
@roller@|@rolo@
@Roman@|@romano@
@Romania@|@Roménia, Ruménia@
@romantic@|@romântico@
@Rome@|@Roma@
@roof@|@cobrir (v.), telhado@
@room@|@quarto@
@rooster@|@galo@
@root@|@raiz@
@root out@|@desarraigar (v.)@
@rope@|@corda@
@rose@|@levantou-se, rosa@
@rose-bush@|@levant-arbusto@
@rotate@|@voltar (v.)@
@rough@|@áspero, cru@
@round@|@redondo@
@round off@|@arredondar (v.)@
@round up@|@acuar (v. i.)@
@rouse (geme)@|@levantar (v. t. i. r.)@
@route@|@estrada, rota@
@routine@|@rotina@
@row@|@alar (v.), fila, fileira, remar (v.)@
@row-boat@|@barco a remos@
@royal@|@real@
@rub@|@esfregar (v.), friccionar (v.)@
@rubber@|@borracha@
@rudder@|@leme@
@ruin@|@arruinar (v.), estragar (v.), ruína@
@rule@|@reger (v.), régua@
@ruler@|@régua@
@rules@|@réguas@
@Rumania@|@Roménia, Ruménia@
@ruminant@|@ruminante@
@rumor (US)@|@boato@
@rumour (UK)@|@boato@
@run@|@andar (v.), correr (v.), funcionamento, funcionar (v.)@
@run aground@|@encalhar (v.)@
@run away@|@desertar (v.), evadir (v.), fugir (v.)@
@run dry@|@estancar (v. i.)@
@run over@|@atropelar (v.)@
@runner@|@corredor@
@rush@|@acometer (v. t. i.), arremetidas@
@rush (on)@|@abalançar (v. t. r.)@
@Russia@|@Rússia@
@Russian@|@russo@
@rust@|@oxidação, oxidar (v. t. r.)@
@rusty@|@oxidado@
@rye@|@centeio@
@sacrifice@|@sacrificar (v.), sacrifício@
@sadden@|@entristecer (v.)@
@saddle@|@sela@
@safe@|@seguro@
@safeguard@|@salvaguardar (v.)@
@safety@|@segurança@
@sage@|@sábio, salva@
@Sahara@|@Saará@
@sail@|@navegar (v.)@
@sail (set) (naut.)@|@partir (v. t.)@
@sailor@|@marinheiro@
@saintly@|@são (adj.)@
@sake@|@causa@
@salad@|@salada@
@salary@|@salário@
@sale@|@venda@
@salivate@|@aguar (v. t. i.)@
@salmon@|@salmão, salmões@
@salt@|@sal, salgar (v.)@
@salute@|@saudação@
@same@|@mesma, mesmo, mesmos@
@sample@|@amostra@
@sand@|@areia@
@sandpaper@|@lixar (v.)@
@sandwich@|@sanduíche@
@sandy@|@arenoso@
@sane@|@são (adj.)@
@sardine@|@sardinha@
@Sardinia@|@Sardenha@
@Sassenach@|@Inglês@
@satellite@|@satélite@
@satisfaction@|@prazer (m.), satisfação@
@satisfactory@|@satisfatório@
@satisfied@|@satisfeito@
@satisfy@|@satisfazer (v. t.)@
@saturate@|@saturar (v.)@
@Saturday@|@Sábado@
@Saturn@|@Saturno@
@sauce@|@molho@
@saucepan@|@caçarola@
@saucer@|@pires@
@sausage@|@salsicha@
@savage@|@selvagem@
@save@|@economizar (v.), excepto, poupar (v.), salvar (v.)@
@savory@|@saborosa@
@saw@|@serra, serrar (v.)@
@say@|@dizer (v.), palavra@
@saying@|@ditado, provérbio, rifão@
@scald@|@abrasar (v. t.), escalde@
@scale@|@escala, escama@
@scales@|@escalas@
@scan@|@olhar (v. t.), varredura@
@Scandinavia@|@Escandinávia@
@Scandinavian@|@Escandinavo@
@scar@|@cicatriz@
@scarcely@|@apenas, mal@
@scare@|@amedrontar (v. t. r.), espantar (v. t.)@
@scare away@|@amedrontar (v. t. r.)@
@scatter@|@desamontoar (v. t.), espargir (v.)@
@scene@|@cena@
@scenery@|@cenário@
@schedule@|@escalonar (v.), horário, programação@
@scheme@|@esquema, maquinar (v.)@
@schnapps@|@bagaço@
@scholar@|@estudante@
@school@|@escola@
@science@|@ciência@
@scientific@|@científico@
@scientist@|@cientista@
@scintillate@|@cintilar (v.)@
@scissors@|@tesoura@
@scoff@|@debochar (v.), zombar (v. i.)@
@scorch@|@abrasar (v. t.)@
@score@|@contagem@
@Scot@|@escocês@
@Scotland@|@Escócia@
@Scotsman@|@escocês@
@scrap@|@sucata@
@scrape@|@raspar (v.)@
@scratch@|@risco@
@scratch out@|@riscar (v.)@
@scream@|@grito@
@screen@|@tela@
@screw@|@aparafusar (v.), parafusar (v.), parafuso@
@screwdriver@|@chave de fenda@
@script@|@certificado@
@scuffle@|@barulho@
@sculpture@|@esculpir (v.)@
@scythe@|@foice, fouce@
@sea@|@mar (v.)@
@sea-bottom@|@mar-fundo@
@seagull@|@gaivota@
@seal@|@foca, selo@
@seam@|@emenda@
@seamless@|@sem emenda@
@search@|@busca, buscar (v.), pesquisar (v.), procurar (v.)@
@search carefully@|@rebuscar (v.)@
@seasickness@|@enjôo@
@seaside@|@costa@
@season@|@adubar (v.), estação, temporada@
@seat@|@assentar (v.), assento, sentar (v. t. r.)@
@second@|@em segundo, segunda@
@secondary@|@secundário@
@secondhand@|@de segunda mão@
@secret@|@segredo@
@secretary@|@secretária@
@section@|@seção@
@sector@|@setor@
@secure@|@seguro@
@security@|@segurança@
@sediment@|@sedimentar (v.)@
@seduce@|@seduzir (v.)@
@see@|@veja, ver (v. t. i. r.)@
@see indistinctly@|@entrever (v.)@
@seed@|@semente@
@seek@|@busca, procurar (v.)@
@seek help@|@achegar (v. t. r.)@
@seem@|@pareça, parecer (v.)@
@segment@|@segmentar (v.)@
@segregate@|@segregar (v.)@
@seize@|@apreenda, penhorar (v. t.), prender (v. t.), tomar (v.)@
@seldom@|@raramente@
@select@|@apurar (v.)@
@self@|@mesma, mesmo@
@sell@|@comerciar (v.), triar (v.), vender (v. t.)@
@sell at a loss@|@baratear (v.)@
@sell out@|@esgotar (v. t.)@
@selves@|@mesmos@
@semantics@|@semântica@
@send@|@emita, enviar (v.), mandar (v.)@
@sender@|@remetente@
@sensation@|@sensação@
@sense@|@sentido@
@sensitive@|@sensível@
@sensitize@|@sensibilizar (v.)@
@sentence@|@oração, sentença, sentenciar (v.)@
@separate@|@apartar (v.), dividir (v.), separado, separar (v.)@
@separation@|@separação@
@September@|@Setembro@
@septic@|@séptico@
@serial@|@de de série@
@series@|@série@
@serious@|@categorizado, sério@
@serpent@|@serpente@
@servant@|@criada, empregado@
@serve@|@saque, servir (v.)@
@serve as apprentice@|@estagiar (v.)@
@server@|@usuário@
@service@|@serviço@
@session@|@sessão@
@set@|@aparelho, armar (v.), fato, jogo, pôr, terno@
@set (saw)@|@travar (v. t.)@
@set ajar@|@entreabrir (v. t.)@
@set fire@|@atear (v.)@
@set in motion@|@accionar (v.), acionar (v.)@
@set on fire@|@incendiar (v.)@
@set out@|@abalar (v.), partir (v. t.)@
@set right@|@afilar (v.)@
@set up@|@estabelecer-se (v. r.)@
@setting@|@montagem (f.)@
@settle@|@ajustar (v. t.), estabelecer (v. t.), pousar (v.), sentar (v. t. r.)@
@settle (in a place)@|@domiciliar (v. t. r.)@
@settlement@|@ajuste (m.), estabelecimento@
@seven@|@sete@
@seven hundred@|@setecentos@
@seventeen@|@dazassete, dezessete@
@seventeenth@|@décimo sétima@
@seventh@|@sétima@
@seventieth@|@septegésima@
@seventy@|@setenta@
@sever@|@partir (v. t.), quebrar (v.)@
@several@|@diversos@
@severe@|@severo@
@Seville@|@Sevilha@
@sew@|@coser (v.), costurar (v.)@
@sex@|@sex, sexo@
@shack@|@cabana@
@shade@|@máscara, matizar (v.), sombra, sombrear (v.)@
@shadow@|@sombra@
@shaft@|@eixo@
@shake@|@abalar (v.), abanar (v. t. i. r.), agitação, sacudir (v.)@
@shall@|@deva@
@shallow@|@raso@
@shallowly@|@rasa@
@shape@|@forma, modelar (v.), plasmar (v.)@
@shape like a boat@|@abotinar (v. t.)@
@share@|@compartilhar (v.), compartir (v.), dividir (v.), parte@
@share with@|@dividir (v.), partir (v. t.)@
@shareholder@|@accionista@
@shark@|@tubarão@
@sharp@|@afiado@
@sharpen@|@afiar (v.), afinar (v.), aguçar (v.)@
@sharpness@|@agudeza@
@shatter@|@fragmento@
@shave@|@barbear (v.)@
@she@|@ela@
@shear@|@tesoura@
@shed@|@celeiro, vertente, verter (v.)@
@sheep@|@carneiros, ovelha@
@sheet@|@folha, lençol@
@shelf@|@prateleira, tábua@
@shell@|@escudo@
@shelter@|@abrigar (v. t. r.), abrigo, aconchegar (v. t.), âncora@
@shield@|@escudar (v.), protetor@
@shift@|@deslocamento@
@shifting (wind)@|@mudança (f.)@
@shine@|@brilhar (v.), brilho, reluzir (v.), resplandecer (v.)@
@shingle@|@telha@
@ship@|@navio@
@shirt@|@camisa@
@shiver@|@arrepio@
@shock@|@chocar (v.), choque@
@shoe@|@sapata, sapato@
@shoe-horn@|@calçadeira@
@shoe-lace@|@atacador, laço@
@shoemaker@|@sapateiro@
@shoot@|@tiro@
@shop@|@loja@
@shore@|@costa, margem@
@short@|@breve (adj.), curto@
@shortage@|@falta@
@shorten@|@abreviar (v.), acanhar (v. t. i. r.), encurtar (v.), encurte@
@should@|@se@
@shoulder@|@ombro@
@shove off (naut.)@|@afastar (v. t.)@
@show@|@exibir (v.), expor (v. t. r.), mostra, mostrar (v.)@
@shower@|@chuveiro@
@shrill@|@agudo@
@shrink@|@encolher (v.)@
@shuffle@|@baralhamento@
@shut@|@fechado, fechar (v.)@
@shutter@|@obturador@
@shy@|@tímido@
@Siam@|@Sião@
@Siberia@|@Sibéria@
@Sicily@|@Sicília@
@sick@|@doente@
@sicken@|@achacar (v. t. r.)@
@side@|@costado, lado@
@sideboard@|@aparador (m.), armário@
@side-issue@|@lado-edição@
@sidetrack@|@desconcentrar (v. t.)@
@sidewalk@|@calçada, passeio@
@side-way@|@lado-maneira@
@sight@|@avistar (v.), vista@
@sightseeing trip@|@excursão@
@sign@|@aceno, assinar (v.), prova, sinal, subscrever (v.)@
@sign up@|@alistar (v.)@
@signal@|@aceno, sinal@
@signature@|@assinatura@
@significant@|@significativo@
@signify@|@signifique@
@silence@|@silêncio@
@silent@|@silencioso@
@silently@|@silenciosamente@
@silhouette@|@silhueta@
@silk@|@seda@
@sill@|@peitoril@
@silver@|@prata@
@silver plate@|@pratear (v.)@
@similarity@|@similaridade@
@simple@|@simples@
@simplify@|@simplificar (v.)@
@simulate@|@simular (v.)@
@simultaneous@|@simultâneo@
@sin@|@pecar (v.)@
@since@|@desde@
@sing@|@cantar (v.), cante@
@sing out of tune@|@desafinar (v.)@
@singe@|@chamuscar (v.)@
@singer@|@cantador, cantora@
@single@|@impar (adj.), simples, só, único@
@singly@|@única@
@sink@|@afundar (v.), dissipador@
@sister@|@irmã@
@sit down@|@presentar (v.), sentar (v. t. r.)@
@site@|@local, lugar (m.)@
@situation@|@situação@
@six@|@seis@
@six hundred@|@seiscentos@
@sixteen@|@dazasseis, dezesseis@
@sixteenth@|@décimo sexta@
@sixth@|@sexta, sexto@
@sixtieth@|@sexagésima@
@sixty@|@sessenta@
@size@|@tamanho@
@skate@|@patim@
@skeleton@|@esqueleto@
@sketch@|@esboçar (v.), esboço@
@ski@|@esqui, esquiar (v.)@
@skid@|@derrapar (v.), patim@
@skilful@|@hàbil@
@skillful@|@hábil@
@skim@|@desnatar (v.)@
@skin@|@pele@
@skirt@|@contornar (v.), saia@
@skull@|@crânio@
@sky@|@céu@
@slab@|@laje@
@slant@|@inclinar (v. t. r.)@
@slash@|@golpear (v. t.)@
@slaughter@|@chacinar (v.)@
@slave@|@escravo@
@slay@|@matar (v.)@
@sleep@|@dormir (v.), sono@
@sleeve@|@luva, manga@
@slender@|@delgado@
@slice@|@fatia@
@slide@|@deslizar (v.), escorregar (v.)@
@slight@|@desprezar (v.), desrespeitar (v.), leve@
@slip@|@deslizamento@
@slip away@|@transcorrer (v. i.)@
@slip out@|@sair (v.)@
@slipper@|@deslizador@
@slope@|@inclinação@
@slot@|@entalhe@
@Slovenian@|@Esloveno@
@slow@|@lento@
@slowly@|@lentamente@
@slug@|@lesma@
@small@|@pequeno@
@smart@|@esperto@
@smash@|@quebra@
@smear@|@mancha@
@smell@|@cheirar (v.), cheiro@
@smile@|@sorrir (v.), sorriso@
@smoke@|@fumar (v.), fumo@
@smokers@|@fumadores, fumantes@
@smokestack@|@chaminé@
@smooth@|@acariciar (v. t.), alisar (v.), liso@
@snail@|@caracol@
@snails@|@caracóis (pl.)@
@snake@|@serpente@
@snatch@|@abocar (v. t.)@
@snore@|@ressono, roncar (v.)@
@snort@|@bufar (v.)@
@snow@|@nevar (v. i.), neve (f.)@
@snow-fall@|@nevada (f.)@
@so@|@assim, deste (de este) (contr.), deste modo, então, portanto, tais, tal, tão@
@soak@|@banhar (v. t. r.), embeba, empapar (v.)@
@soap@|@sabão@
@soar@|@alar (v.), voar (v.)@
@sob@|@impar (v. t.)@
@socialism@|@socialismo@
@society@|@sociedade@
@sock@|@peúga@
@socket@|@soquete@
@Sofia@|@Sófia@
@soft@|@macio@
@soften@|@abrandar (v.), amaciar (v.), desacerbar (v.)@
@soil@|@solo, sujar (v.), terra@
@soiled@|@sujo (adj.)@
@solder@|@solda@
@soldier@|@soldado@
@sole@|@linguado, só, único@
@solely@|@unicamente@
@solid@|@contínuo@
@solo@|@de de solo@
@solution@|@solução@
@solve@|@solucionar (v.)@
@Somalia@|@Somália@
@some@|@algum, alguma, algumas, alguns@
@somebody@|@alguém@
@somehow@|@de algum modo@
@someone@|@alguém@
@something@|@algo, alguma coisa@
@sometimes@|@às vezes@
@somewhat@|@algo@
@somewhere@|@em algum lugar@
@son@|@filho@
@song@|@canção@
@soon@|@breve (adv.), cedo, logo@
@soot@|@fuligem@
@sophisticated@|@sofisticado@
@sorrow@|@saudades@
@sort@|@espécie, género, sorte@
@soul@|@alma@
@sound@|@são (adj.), soar (v.), som@
@sound (an opinion)@|@auscultar (v. t.)@
@sound part@|@são (m.)@
@sound with a stethoscope@|@auscultar (v. t.)@
@soup@|@sopa@
@source@|@fonte (f.), nascente@
@south@|@sul@
@southern@|@do sul@
@souvenir@|@lembrança@
@sovereign@|@sumo@
@Soviet@|@Soviete@
@sow@|@porca@
@space@|@espaço@
@spade@|@pá@
@spades@|@pás@
@Spain@|@Espanha@
@span@|@vão@
@Spaniard@|@Espanhol@
@Spanish@|@Espanhol@
@spank@|@espancar (v.)@
@spanner@|@chave (f.)@
@spare@|@sobressalentes@
@spark@|@faísca@
@sparrow@|@pardal@
@speak@|@falar (v.)@
@special@|@especial@
@specially@|@especialmente@
@species@|@espécie@
@specific@|@específico@
@specify@|@especificar (v.), especifique@
@specimen@|@espécime@
@spectacle@|@espetáculo@
@spectacles@|@espetáculos, óculos@
@spectator@|@espectador@
@speculate@|@especular (v.)@
@speech@|@discurso@
@speed@|@agilizar (v.), velocidade@
@speed up@|@acelerar (v.)@
@speedy@|@rápido@
@spell@|@período@
@spend@|@gastar (v.)@
@spend the night@|@pernoitar (v.)@
@spend the summer@|@veranear (v. i.)@
@sphere@|@esfera@
@spider@|@aranha@
@spill@|@derramamento, derramar (v.)@
@spin@|@rotação@
@spinach@|@espinafre@
@spindle@|@eixo@
@spiral@|@espiral@
@spirit@|@espírito@
@spirits@|@espíritos@
@spiritual@|@espiritual@
@spit@|@cuspo@
@splash@|@respingo@
@splinter@|@lasca@
@split@|@abrir (v. t.), partir (v. t.), quebrar (v.)@
@spoil@|@deteriorar (v.), espoliar (v.), malograr (v.)@
@sponge@|@esponja@
@spongy@|@esponjoso@
@sponsor@|@patrocinar (v.)@
@spontaneous@|@espontâneo@
@spool@|@carretel@
@spoon@|@colher (f.)@
@sporadic@|@esporádico@
@sport@|@esporte@
@spot@|@lugar (m.), manchar (v.), ponto@
@spouse@|@esposo@
@spray@|@pulverizar (v.)@
@spread@|@espalhar (v.), propagação@
@spread out@|@abrir (v. r.), difundir (v.)@
@spring@|@mola, nascente, primavera@
@springtime@|@primavera@
@sprinkle@|@aspergir (v.)@
@sprout@|@brotar (v.)@
@spur@|@dente reto@
@spurt@|@jorros@
@spy@|@espião@
@squabble@|@barulho@
@squander@|@dilapidar (v.)@
@square@|@adro, praça, quadrado, quadrar (v.)@
@squat@|@agachar-se (v. r.)@
@squeeze@|@aperto@
@squid@|@lula@
@squirrel@|@esquilo@
@squirt@|@esguinche@
@stabilize@|@estabilizar (v.)@
@stable@|@estábulo, estável@
@stack@|@pilha@
@staff@|@equipe de funcionários, pessoal@
@stag@|@veado@
@stage@|@estágio@
@stage-manager@|@estágio-gerente@
@stagger@|@vacilar (v. t. i.)@
@stain@|@mancha@
@stair@|@escada@
@stairs@|@escadas@
@stake@|@estaca@
@stale@|@velho@
@stall@|@estábulo, tenda@
@stall (market)@|@barraca@
@stammer@|@gaguejo@
@stamp@|@carimbar (v.), selar (v.), selo@
@stanch (blood)@|@estancar (v. t.)@
@stand@|@carrinho, celeiro, perfilar (v.)@
@stand out@|@relevar (v.), ressaltar (v.)@
@standard@|@padrão (m.)@
@staple@|@grampo@
@star@|@estrela@
@starboard@|@estibordo@
@stare@|@olhar fixo (v.)@
@stare (at) (at)@|@olhar (v. t.)@
@start@|@abalar (v.), começar (v.), começo, iniciar (v.), ir (v. i.), partir (v. t.), princípio@
@starter@|@acionador de partida@
@startle@|@surpreender (v. t.)@
@startling@|@supreendente (adj.)@
@state@|@estabelecer (v. t.), estado, exprimir (v.)@
@statement@|@indicação@
@station@|@estação@
@stationary store (US)@|@a papelaria@
@stationer's (UK)@|@a papelaria@
@station-master@|@estação-mestre@
@statue@|@estátua@
@stay@|@escora, estada, estar (v. i.), ficar (v. i.)@
@stay over@|@ficar (v.)@
@steal@|@roubar (v.)@
@steam@|@vapor (m.)@
@steam-boiler@|@caldeira@
@steel@|@aço@
@steep@|@íngreme@
@steer@|@boi@
@stem@|@haste, tronco@
@stencil@|@estêncil@
@stenographer@|@dactilógrafa, datilógrafa@
@step@|@andar (v.), etapa@
@step down@|@baixar (v. t. r.)@
@step on@|@pisar (v.)@
@stepfather@|@padrasto@
@step-father@|@padrasto@
@stepmother@|@madrasta@
@step-mother@|@madrasta@
@stern@|@popa@
@stew@|@guisado, guisar (v.)@
@stick@|@colar (v.), espetar (v.), solfar (v.), vara@
@sticker@|@etiqueta@
@sticky@|@pegajoso@
@stiff@|@duro@
@stifle@|@abafar (v.)@
@still@|@ainda, apesar de (prep.), sossegado, sossegar (v.)@
@stimulate@|@estimular (v.), estimule, incentivar (v.)@
@stink@|@fedor, tresandar (v. t. i.)@
@stipulate@|@estipular (v.), estipule@
@stipulation@|@estipulação@
@stir@|@abalançar (v. t. r.), agitar (v.)@
@stir up@|@incitar (v.)@
@stitch@|@ponto@
@stock@|@estoque, sortir (v. t. r.)@
@Stockholm@|@Éstocolmo@
@stocking@|@meia@
@stoke@|@atiçar (v.)@
@stomach@|@estômago@
@stone@|@lapidar (v. t.), pedra@
@stool@|@tamborete@
@stoop down@|@agachar-se (v. r.)@
@stop@|@deter (v. t.), estancar (v. t.), paragem (f.), parar (v.), pare, sustar (v.)@
@stopper@|@bujão@
@storage@|@estocar (v.)@
@store@|@armazenar (v.), loja@
@stork@|@cegonha@
@storm@|@acometer (v. t. i.), tempestade@
@story@|@andar (m.), história@
@stout@|@cerveja de malte@
@stove@|@fogão@
@stow@|@armazenagem@
@straight@|@em linha reta@
@straight past@|@além@
@straighten@|@endireitar (v.)@
@straightforward@|@direto@
@strainer@|@filtro@
@strait@|@estreito@
@strand@|@costa@
@strange@|@estranho@
@stranger@|@desconhecido@
@strangle@|@esganar (v.), estrangular (v.), estrangule@
@strap@|@cinta@
@strategic@|@estratégico@
@strategy@|@estratégia@
@straw@|@palha@
@strawberry@|@morango@
@streak@|@raia@
@stream@|@córrego, corrente, riacho, ribeiro@
@streamlined@|@aerodinâmico@
@street@|@rua@
@streetcar@|@bonde@
@strength@|@força, poder (m.)@
@strengthen@|@esforçar (v.), fortificar (v.), reforçar (v.)@
@stress@|@acentuar (v.), força, insistir em (v.), pressão, recalcar (v.), sublinhar (v.)@
@stress-mark@|@forç-marca@
@stretch@|@esticar (v.)@
@stretcher@|@esticador@
@strict@|@estrito@
@strike@|@bater (v.)@
@string@|@corda@
@stringent@|@estrito@
@strip@|@tira@
@strip of@|@desabrigar (v.)@
@strip of authority@|@desautorizar (v. t. r.)@
@stripe@|@listra@
@strive@|@procurar (v.)@
@stroke@|@acariciar (v. t.), curso@
@stroll@|@a volta, andar (v.)@
@stroller@|@carrinho de criança@
@strong@|@forte@
@structure@|@estrutura@
@struggle@|@esforço, pelejar (v.)@
@stub@|@topo@
@student@|@estudante@
@studio@|@estúdio@
@studious@|@aplicado@
@study@|@estudar (v.), estudo@
@stuff@|@material@
@stumble@|@tropeço@
@stun@|@atordoar (v.)@
@stupefy@|@abismar (v. t.)@
@sturdy@|@resistente@
@sty@|@chiqueiro, estábulo@
@style@|@estilo, intitular (v. t. r.)@
@stylus@|@estilete@
@subdivide@|@subdividir (v.)@
@subject@|@assunto, debelar (v.), sujeitar (v.)@
@subjective@|@subjetivo@
@subjugate@|@subjugue@
@subjunctive@|@subjuntivo@
@sublet@|@trespassar (v. t.)@
@submerge@|@imergir (v. t. i.), submergir (v.)@
@submit@|@submeta, submeter (v.)@
@subordinate@|@subordinado, subordinar (v.)@
@subscribe@|@subscrever (v.)@
@subscriber@|@subscritor@
@subscription@|@subscrição@
@subsequent@|@subsequente@
@subsequently@|@subsequentemente@
@subsidize@|@subsidiar (v.)@
@subsidy@|@subsídio@
@substance@|@substância@
@substantive@|@substantivo@
@substitute@|@substituir (v.), substituto@
@substitution@|@substituição@
@subtract@|@subtraia@
@subtraction@|@subtração@
@succeed@|@lograr (v.), suceda@
@success@|@êxito, sucesso@
@successfully@|@com sucesso@
@successor@|@sucessor@
@such@|@tais, tão@
@such as@|@como, quão@
@suck@|@mamar (v.), sugue@
@suckle@|@amamentar (v.)@
@Sudan@|@Sudão@
@sudden@|@repentino@
@suddenly@|@de de repente, subitamente@
@suffer@|@padecer (v.), sofra, sofrer (v.)@
@suffice@|@baste, chegar (v.)@
@sufficient@|@bastante, suficiente@
@sufficiently@|@bastante, suficientemente@
@suffix@|@sufixo@
@suffocate@|@sufocar (v.)@
@sugar@|@açúcar (v.)@
@suggest@|@sugerir (v.), sugira@
@suggestion@|@sugestão@
