@English@|@Esperanto@
@strike@|@bati, froteti, imponi, striki, striko, trafi@
@strike a balance@|@saldi@
@strike off@|@forbati@
@strike out@|@forstreki@
@strike(2)@|@boratingi, enradikiĝi, frapi@
@strike-breaker@|@strikrompanto@
@striking@|@okulfrapa, trafa@
@string@|@kordo, signovico, ŝnureto@
@string(2)@|@ligaĵo, senfadenigi, ŝnuro@
@stringent@|@rigora@
@strip@|@bendo, malvestiĝi, senfeligi, senvestiĝi, strio@
@stripe@|@galono, strio@
@strive for@|@strebi@
@striving@|@strebado@
@stroke@|@apopleksio, karesi, kareso, streko@
@stroke of apoplexy@|@apopleksio@
@stroke of fate@|@sortobato@
@stroll@|@promenado, promeni@
@stroller@|@promenanto@
@strong@|@forta, fortega, koncentrita@
@strong person@|@fortulo@
@strong-box@|@monŝranko@
@strontium@|@stroncio@
@strop@|@akrigrimeno@
@structure@|@strukturo@
@struggle@|@barakti, batali, batalo, lukti@
@strut around@|@pavi@
@strutting@|@pava@
@stub@|@cigaredstumpo, stumpo@
@stubble@|@stoplo@
@stubborn@|@kontraŭstarema, obstina@
@stubborn person@|@obstinulo@
@student@|@studanto, studentino, studento@
@student(2)@|@lernantino, lernanto@
@studfarm@|@ĉevalbredejo@
@studio@|@ateliero, studio@
@studs@|@metalgarnaĵo@
@study@|@pristudi, pristudo, studado, studi, studo@
@stuff@|@aĵoj, farĉi, lardi, remburi, substanco@
@stuffing@|@farĉo@
@stuffy@|@filistra, malfreŝĉra@
@stultify@|@stultigi@
@stumble@|@duonfali, faleti, stumbli@
@stump@|@stumpo@
@stun@|@svenigi@
@stupefy@|@svenigi@
@stupid@|@malsprita, stulta@
@sturdy@|@fortika@
@stutter@|@balbuti@
@sty@|@bestejo, porkejo, stalo@
@style@|@stilo@
@style sheet@|@stilfolio@
@stylus@|@grifelo@
@Styria@|@Stirio@
@Styx@|@Stikso@
@subconscious@|@subkonscio@
@subdirectory@|@subdosierujo@
@subdue@|@subigi, submeti@
@subject@|@studobjekto, subjekto, temo@
@subject of study@|@studobjekto@
@subject to@|@kun rezervo pri, suferanta pro@
@subject to tax@|@impostebla@
@subjective@|@subjektiva@
@subjugate@|@subigi, submeti@
@subjunction@|@subjunkcio@
@subjunctive@|@konjunktivo, subjunktivo, volitivo@
@subjunctive mood@|@konjunktivo, volitivo@
@submarine@|@submara, submarŝipo@
@submerge@|@mergiĝi, profundiĝi@
@submission@|@malprotesto, rezignemo@
@submit@|@submeti, submeti sin, submetiĝi@
@subordinate@|@malpreferi, subordigi, subulo@
@subscribe@|@aboni, kotizi@
@subscriber@|@abonanto@
@subscription@|@abono, kotizo@
@subsequent@|@postveninta@
@subsequently@|@poste, sekve@
@subset@|@subaro@
@subside@|@kvietiĝi@
@subsidiary subject@|@akcesora fako@
@subsidise@|@subvencii@
@subsidy@|@subvencio@
@subsistence@|@vivteno@
@subsistence minimum@|@vivtena minimumo@
@substance@|@substanco@
@substance addiction@|@toksikomanio@
@substantive@|@substantivo@
@substitute@|@anstataŭigi, substitui@
@substitute for@|@anstataŭi@
@substitution@|@anstataŭo@
@subtenant@|@subluanto@
@subterfuge@|@artifiko@
@subtle@|@subtila@
@subtlety@|@subtilaĵo@
@subtract@|@subtrahi@
@subtraction@|@subtraho@
@suburb@|@antaŭurbo, suburbo@
@subversion@|@faligo@
@subversive@|@subfosa@
@subvert@|@subfosi@
@subway@|@metroo, subpasejo@
@subway station@|@metrostacio@
@succeed@|@sukcesi@
@success@|@prospero, sukceso@
@successfully@|@sukcese, sukcesplene@
@successor@|@posteulo@
@succumb@|@subfali@
@such@|@tia, tiel, tiuspeca@
@such a@|@tia@
@such a thing@|@tiaĵo@
@suck@|@suĉi@
@suck out@|@elsuĉi@
@suckle@|@mamnutri, suĉigi@
@suction apparatus@|@desuĉilo@
@Sudan@|@Sudano@
@Sudanese@|@sudana, sudanano@
@Sudanese woman@|@sudananino@
@sudden@|@subita@
@suddenly@|@subite@
@sue@|@ekprocesi kontraŭ, procesi, procesi kontraŭ@
@suet@|@sebo@
@suffer@|@elporti, suferi@
@suffer damage@|@averii@
@suffer from@|@suferi de, suferi pro@
@suffer through@|@trasuferi@
@suffice@|@sufiĉi@
@sufficient@|@sufiĉa@
@sufficiently@|@sufiĉe@
@suffix@|@sufikso@
@suffocate@|@sufoki@
@sugar@|@sukero@
@sugar-bowl@|@sukerujo@
@sugar-cane@|@sukerkano@
@sugar-palm@|@sukerpalmo@
@suggest@|@indiki, proponi, sugesti, sugestii, supozigi@
@suggestion@|@propono, sugesto@
@suicide@|@sinmortigo@
@suit@|@kompleto, konveni, kostumo, taŭgi@
@suitability@|@taŭgeco@
@suitable@|@celkonforma, deca, konvena, taŭga, uzebla@
@suitcase@|@valizo@
@suite@|@akompanantaro@
@sulfuric@|@sulfura@
@sulk@|@paŭti@
@sullen@|@moroza@
@sulphur@|@sulfuro@
@sulphuric@|@sulfura@
@sultan@|@sultano@
@sultry@|@sufoka@
@Sulu Sea@|@Sulumaro@
@sum@|@sumo@
@sum of money@|@monsumo@
@sum up@|@sumigi@
@Sumatra@|@Sumatro@
@summarise@|@resumi@
@summer@|@somero@
@summerhouse@|@somerdomo@
@summery@|@resumo@
@summit@|@montopinto, pinto, supraĵo, supro@
@summon@|@voki@
@summons@|@asigno, juĝalvoko@
@sun@|@sunbrilo, suno, sunumi@
@sun oneself@|@sunumi@
@sunbeam@|@sunradio@
@Sunday@|@dimanĉo@
@sundial@|@sunhorloĝo@
@sunflower@|@helianto, sunfloro@
@sunglasses@|@sunokulvitroj@
@sun-glasses@|@sunvitroj@
@sunlight@|@sunlumo@
@sunny@|@suna@
@sunrise@|@sunleviĝo@
@sunset@|@sunsubiro@
@sunshine@|@sunbrilo@
@super highway@|@aŭtoŝoseego@
@superb@|@grandioza@
@superficial@|@malprofunda, supraĵa@
@superfluity@|@superfluo@
@superfluous@|@superflua@
@superhighway@|@aŭtostrado@
@superhuman@|@superhoma@
@superintendent@|@intendanto@
@superior@|@supera, superulo@
@superman@|@superhomo@
@supermarket@|@memserva vendejo, superbazaro, supermarkto@
@supernatural@|@supernatura@
@superpower@|@superpotenco@
@superstition@|@superstiĉo@
@superstitious@|@superstiĉa@
@supervise@|@kontroli@
@supper@|@vespermanĝo@
@supple@|@supla@
@supplement@|@kompletigo@
@supplementary@|@kompletiga@
@supplication@|@petego@
@supplier@|@liveranto@
@supplies@|@provianto@
@supply@|@alportado, liveri, provizi, provizo@
@supply with@|@provizi je, provizi per@
@supply(2)@|@alveturigi, havigi, provizado@
@support@|@apogi, apogilo, stativo, subtenilo@
@support(2)@|@aŭspicio, subteni, subteno, vivteni@
@supporter@|@adepto, ano, partiano, subtenanto@
@supporters@|@anaro, sekvantaro@
@supporting actor@|@statisto@
@supporting base@|@soklo@
@suppose@|@supozi@
@supposing that@|@supoze ke@
@supposition@|@supozo@
@suppress@|@subpremi, sufoki@
@sure@|@certa@
@surely@|@ja@
@surface@|@supraĵo, supro, surfaco@
@surface (of the Earth)@|@tersupraĵo@
@surgeon@|@ĥirurgo, kirurgo@
@surgery@|@ĥirurgio, kirurgio@
@surgical@|@ĥirurga, kirurga@
@surgical operation@|@operacio@
@Surinam@|@Surinamo@
@Surinamer@|@surinamano@
@Surinamese@|@surinama, surinama lingvo, surinamano@
@Surinamese language@|@surinama lingvo@
@Surinamese woman@|@surinamanino@
@surmise@|@konjekti, supozi@
@surname@|@familia nomo@
@surpass@|@superatuti, superi@
@surplus@|@pluso, profita@
@surplus value@|@plusvaloro@
@surprise@|@surprizi, surprizo@
@surprising@|@surpriza@
@surrealistic@|@superrealisma@
@surrender@|@kapitulaci, rezigno@
@surround@|@ĉirkaŭi@
@surrounding@|@ĉirkaŭa@
@surroundings@|@ĉirkaŭaĵo, ĉirkaŭaĵoj@
@survey@|@katastro@
@survive@|@travivi@
@survive until@|@ĝisvivi@
@suspect@|@suspekti@
@suspender@|@ĵartelo@
@suspenders@|@ŝelkoj@
@suspicion@|@malfido, suspekto@
@suspicious@|@malfida, malfidema, suspektema, suspektinda@
@sustain@|@apogi, subteni@
@sustained@|@konstanta, senĉesa@
@suture@|@suturi, suturo@
@swab@|@ŝvabri@
@Swabia@|@Ŝvabio, Ŝvabujo@
@swaddling cloth@|@vindotuko@
@Swahili@|@svahila, svahilo@
@swallow@|@gluti, hirundo@
@swallow up@|@engluti@
@swamp@|@marĉo@
@swan@|@cigno@
@swap@|@interŝanĝi@
@swarm@|@svarmi, svarmo@
@sway@|@svingiĝi@
@Swazi@|@svazia, svazia lingvo@
@Swazi language@|@svazia lingvo@
@Swaziland@|@Svazilando@
@swear@|@blasfemi, ĵuri, sakri@
@swear off@|@forlasi ĵure@
@sweat@|@ŝviti, ŝvito@
@sweater@|@svetro@
@Swede@|@svedo@
@Sweden@|@Svedio@
@Swedish@|@sveda@
@sweep@|@balai, balaisto@
@sweep away@|@forbalai@
@sweeper@|@balaisto, glacibalaisto@
@sweepings@|@balaaĵo@
@sweet@|@bombono, bonkonduta, dolĉa, frandaĵo, sukeraĵo@
@sweet potato@|@ignamo@
@sweet smell@|@bonodoro@
@sweet-and-sour@|@dolĉacida@
@sweetheart@|@amatino, amato, dolĉulino, dolĉulo@
@sweetness@|@amindeco, amindo, dolĉeco@
@sweet-smelling@|@dolĉodora@
@swell@|@plilaŭtiĝi, ŝveli, ŝveliĝi@
@swell into a roar@|@plilaŭtiĝi@
@swelling@|@pufo@
@swift@|@rapida@
@swiftly@|@rapide@
@swim@|@naĝi@
@swimming pool@|@naĝbaseno@
@swimming trunks@|@bankalsono@
@swimming-bath@|@naĝejo@
@swimming-pool@|@naĝbaseno@
@swindle@|@fraŭdi, mistifikaĉi, preztrompo, trompo@
@swindler@|@preztrompisto@
@swindling@|@preztrompo@
@swing@|@balanci, pendoli, svingi, svingiĝi@
@swinger@|@diboĉulo@
@swirl@|@kirliĝi, turniĝadi@
@swish@|@susuri, susuro@
@Swiss@|@svisa, sviso@
@switch@|@ŝalti, ŝaltilo, vergo@
@switch off@|@malfunkciigi, malŝalti@
@switch on@|@aktivigi, ekfunkciigi@
@Switzerland@|@Svisio, Svislando@
@swoon@|@sveni, sveno@
@sword@|@glavo@
@sybarite@|@sibarito@
@Sybrandabuorren@|@Sibrandaboro@
@syllable@|@silabo@
@symbol@|@simbolo@
@symbolise@|@simboli@
@symmetric@|@simetria@
@symmetry@|@simetrio@
@sympathetic@|@simpatia@
@sympathy@|@kunsento, simpatio@
@symphonic@|@simfonia@
@symphony@|@simfonio@
@symptom@|@simptomo@
@synagogue@|@sinagogo@
@synchronous@|@sinkrona@
@syndic@|@sindiko@
@syndicate@|@sindikato@
@syntax@|@sintakso@
@syphilis@|@sifiliso@
@Syria@|@Sirio@
@Syrian@|@siria, siriano@
@syringe@|@enŝprucigilo, injektilo@
@syrup@|@siropo@
@system@|@sistemo@
@system clock@|@taktilo@
@system of taxation@|@impostsistemo@
@systematic@|@laŭsistema, sistema@
@tabernacle@|@tabernaklo@
@table@|@tabelo, tablo@
@table tennis@|@tabloteniso@
@tablecloth@|@tablotuko@
@tablet@|@tabelo, tablojdo@
@taboo@|@tabuo@
@tabulation@|@tabelo@
@taciturn@|@silentema@
@tack@|@boardi, najleto@
@tackle@|@alpaŝi, takelo@
@tact@|@takto@
@tactic@|@taktiko@
@tactician@|@taktikisto@
@tactics@|@taktiko@
@tactless@|@sentakta@
@tadpole@|@ranido@
@tad-pole@|@ranido@
@Tadzhik@|@taĝiko@
@Tadzhikistan@|@Taĝikio@
@Tagus@|@Tago, Taĥo@
@Tahiti@|@Tahito@
@tail@|@gvatsekvi, vosto@
@tail-light@|@malantaŭa lampo@
@tailor@|@tajlori, tajlorino, tajloro@
@tails@|@frako@
@tails; lapel@|@reverso@
@taint@|@malboniĝo@
@Taiwan@|@Tajvano@
@Taiwanese@|@tajvana, tajvanano@
@take@|@akcepti, okupi, preni@
@take a bearing@|@biri@
@take a break@|@paŭzi@
@take a rest@|@paŭzi@
@take a shower@|@duŝi sin@
@take a sunbath@|@sunumi@
@take a survey@|@enketi@
@take a switch to@|@vergi@
@take aim@|@ekceli@
@take along@|@kunporti, kunvenigi@
@take an interest@|@interesiĝi@
@take an interest in@|@interesiĝi pri@
@take apart@|@malmunti, malplekti@
@take apart(2)@|@dismeti, dispecigi, malimpliki@
@take away@|@depreni, forporti, forpreni@
@take back@|@reporti@
@take back; abjure@|@repreni@
@take care@|@singardi, zorgi@
@take care  beforehand@|@antaŭzorgi@
@take care of@|@flegi, zorgi pri@
@take command of@|@ekregi@
@take communion@|@komuniiĝi@
@take down@|@malkonstrui@
@take fire@|@ekbruli@
@take for granted@|@premisi@
@take form@|@elformiĝi@
@take in@|@akcepti, ĉarlatani, enkasigi, enspezi, trompeti@
@take into account@|@enkalkuli@
@take leave of@|@adiaŭi@
@take note@|@konstati@
@take off@|@demeti@
@take off make-up@|@malŝminki@
@take offence@|@ofendiĝi, ŝokiĝi@
@take offence at@|@indigni pri@
@take on@|@alpreni, transpreni@
@take on concrete form@|@konkretiĝi@
@take one's measure for@|@almezuri@
@take out@|@eligi, elpreni@
@take part@|@partopreni@
@take power over@|@ekregi@
@take precautions@|@antaŭzorgi@
@take refuge@|@rifuĝi@
@take shelter@|@ŝirmi sin@
@take somebody's name@|@protokoli@
@take steps@|@klopodi@
@take stock@|@inventari@
@take the minutes@|@protokoli@
@take the place of@|@anstataŭi@
@take up@|@enspaci, pritraktigi@
@take up residence@|@ekloĝi@
@taken aback@|@konsternita, perpleksa@
@taken in@|@preztrompita@
@taking place every evening@|@ĉiuvespera@
@talcum@|@talko@
@tale@|@rakonto@
@talent@|@naturdoto, talento@
@talented@|@naturdotita, talenta, talentplena@
@talisman@|@amuleto@
@talk@|@paroli@
@talkative@|@parolema@
@talkativeness@|@babilemo@
@tall@|@alta, altkreska, altstatura@
@tallow@|@sebo@
@Talmud@|@Talmudo@
@talon@|@krifo@
@tame@|@dresi, malsovaĝa, malsovaĝigi@
@tampon@|@tampono@
@tan@|@tani@
@tangerine@|@mandarino@
@Tangier@|@Tanĝero@
@tangle@|@ĥaoso, implikaĵo, kaoso@
@tango@|@tango@
@tank@|@cisterno, rezervujo, tanko@
@tannin@|@tanino@
@Tantalus@|@Tantalo@
@Tanzania@|@Tanzanio@
@Tanzanian@|@tanzania, tanzaniano@
@tap@|@boratingi, elkrani, frapeti, kaŝaŭskulti, krano@
@tape@|@bendi, bendo@
@tape recorder@|@magnetofono@
@tape recording@|@surbendigo@
@tapestry@|@murtapiŝo, tapeto@
@tar@|@gudri, gudro@
@tarantula@|@tarantulo@
@tardy@|@malfrua@
@target@|@celtabulo@
@tariff@|@tarifo@
@tarpaulin@|@baŝo@
@tart@|@acida, adstringa, akratona, torto@
@Tartar@|@tataro@
@tartness@|@akra tono@
@Tashkend@|@Taŝkento@
@Tashkent@|@Taŝkento@
@task@|@tasko@
@taskmaster@|@vokto@
@Tasmania@|@Tasmanio@
@Tasmanian@|@tasmania, tasmaniano@
@tassel@|@kvasto@
@taste@|@gusti, gusto, gustumi, gustumo@
@tasteless@|@sengusta@
@tasty@|@bongusta@
@Tatar@|@tatara@
@tattered@|@disŝirita@
@tattler@|@babilemulo, babilulo@
@tattoo@|@militista vesperkoncerto@
@taunt@|@mokinsulti@
@tavern@|@taverno@
@tax@|@imposti, imposto@
@tax abatement@|@impostmalplialtigo@
@tax burden@|@impostpremo@
@tax collector@|@impostisto@
@tax consultant@|@impostkonsilisto@
@tax deduction@|@impostdepreno@
@tax form@|@deklarilo@
@tax hike@|@impostplialtigo@
@tax increase@|@impostplialtigo@
@tax reduction@|@impostmalplialtigo@
@tax relief@|@impostmalplialtigo@
@tax return@|@impostdeklaro@
@tax system@|@impostsistemo@
@tax with@|@akuzi pri@
@tax-collector's office@|@impostoficejo@
@tax-free@|@senimposta@
@taxi@|@taksio@
@taxi-driver@|@taksiisto@
@taxpayer@|@impostpaganto@
@tax-related@|@fiska@
@tea@|@teo@
@teach@|@dekutimigi, instrui, lernigi@
@teacher@|@instruistino, instruisto@
@teacher of a course@|@kursgvidanto@
@tea-house@|@teejo@
@teak tree@|@tektono@
@team@|@teamo@
@teapot@|@tekruĉo, tepoto@
@tea-pot@|@teujo@
@tear@|@disŝiri, larmo, ŝiraĵo, ŝiri@
@tear off@|@deŝiri@
@tear out@|@elŝiri@
@tease@|@inciteti@
@teaspoon@|@tekulero@
@teat@|@mamo@
@technetium@|@teknecio@
@technical@|@teknika@
@technician@|@teknikisto@
@technique@|@tekniko@
@technology@|@tekniko, teknologio@
@teenage boy@|@adoleskanto@
@teenage girl@|@adoleskantino@
@teeter-totter@|@baskulo@
@teeth@|@dentaro@
@teetotalism@|@abstemio, abstinenco@
@teetotum@|@hazardluda turbo@
@Teheran@|@Teĥrano@
@telegram@|@telegramo@
@telegraph@|@telegrafi, telegrafo@
@telemetry@|@telemetrio@
@telephone@|@telefoni, telefono@
@telephone book@|@telefonlibro@
@telephone kiosk@|@telefonbudo@
@telescope@|@teleskopo@
@teletext@|@teleteksto@
@teletype@|@teletajpilo@
@television@|@televido@
@television antenna@|@televida anteno@
@television ĉrial@|@televida anteno@
@television movie@|@televida filmo@
@television set@|@televidilo@
@tell@|@diri, komisii, ordoni, rakonti@
@tell a lie@|@mensogi@
@tell fables@|@fabeli@
@telltale@|@babilemulo, babilulo@
@tellurium@|@teluro@
@temper@|@hardi, humoro@
@temperament@|@temperamento@
@temperate@|@sobra@
@temperate person@|@moderulo@
@temperature@|@temperaturo@
@tempest@|@tempesto@
@template@|@þablono@
@temple@|@tempio, templo@
@temporarily@|@kelktempe, provizore@
@temporariness@|@provizoreco@
@temporary@|@malpermanenta, nedaŭra, portempa, provizora@
@tempt@|@tenti@
@temptation@|@tento@
@tempting@|@franda@
@ten@|@dek@
@Ten Commandments@|@dekalogo@
@ten thousand@|@dekmil@
@tenant@|@luanto@
@ten-day period@|@dekado@
@tendency@|@dispozicio, emo, inklino, tendenco@
@tendentious@|@tendenca@
@tender@|@dolĉa, laborenskribo, zorga@
@tender(2)@|@prezkonkurado, proponado, tenera@
@tender; awarding@|@aljuĝado@
@tenderness@|@delikateco, moleco, molkoreco, tenereco@
@tennis@|@teniso@
@tenor@|@tenoro@
@tenor violin@|@vjolo@
@tension@|@streĉiĝo, streĉo, tensio@
@tent@|@tendo@
@tented camp@|@tendaro@
@tenth@|@deka, dekono@
@terbium@|@terbio@
@term@|@termino, trimestro@
@term of derision@|@moknomo@
@term of office@|@oficperiodo@
@terminal@|@terminalo@
@terminate@|@fini, finiĝo@
@terminology@|@terminaro@
@terminus@|@finstacio@
@termite@|@termito@
@terms@|@kondiĉo@
@terms of delivery@|@liverkondiĉoj@
@terms of employment@|@laborkondiĉoj@
@terrace@|@teraso@
@terrain@|@tereno@
@terrestrial@|@surtera, tera, tergloba@
@terrible@|@aĉa, terura@
@terribly@|@terure@
@terrify@|@teruri@
@territorial@|@teritoria@
@territory@|@teritorio@
@terror@|@teroro, teruro@
@terrorism@|@terorismo@
@terrorist@|@teroristo@
@Tersoal@|@Tersolo@
@tertian fever@|@intermita febro@
@Tertiary@|@Tertiaro@
@Terzool@|@Tersolo@
@test@|@ekzameno, provaĵo, testi, testo@
@test(2)@|@elprovi, provi, provo@
@testament@|@testamento@
@testicle@|@kojono, testiko@
@testicles@|@ĉurovoj@
@testify@|@atesti@
@testimony@|@atesto, depozicio@
@testing@|@testado@
@Teuton@|@ĝermano@
@Teutonic@|@ĝermana@
@Teutonic knight@|@kruckavaliro@
@Texan@|@teksasano@
@Texan woman@|@teksasanino@
@Texas@|@Teksaso@
@text@|@teksto@
@textbook@|@lernolibro@
@textile@|@teksaĵo@
@textiles@|@tekstilaĵoj@
@-th@|@ono@
@Thai@|@taja, taja lingvo, tajlanda lingvo, tajo@
@Thai language@|@taja lingvo, tajlanda lingvo@
@Thai New Year@|@Taja Novjaro@
@Thai woman@|@tajino@
@Thailand@|@Siamo, Tajlando@
@thallium@|@taliumo@
@Thames@|@Tamizo@
@than@|@ol@
@thank@|@danki@
@thank for@|@danki pro@
@thank you@|@dankon@
@thankful@|@danka, dankema@
@thankless@|@sendanka@
@thanks@|@danko, dankon@
@thanks to@|@danke al@
@that@|@ke, kiu, kiun, tio, tiu@
@that ... over there@|@tiea@
@that is@|@tio estas@
@that kind of@|@tia@
@that much@|@tiom@
@that one@|@tiu@
@that one's@|@ties@
@that over there@|@tio@
@that way@|@tien@
@that's too bad@|@domaĝe@
@thaw@|@degeli, degeligi, degelo@
@the@|@des, ju, l', la@
@the ... the@|@ju ... des@
@the Antarctic@|@Antarkto@
@the Arctic@|@Arktiko, Arkto@
@the Channel@|@Maniko@
@the day after tomorrow@|@postmorgaŭ@
@the Dustman@|@Niĉjo la Dormigulo@
@the English Channel@|@Maniko@
@the following@|@jeno@
@The Hague@|@Hago@
@the last time@|@lastfoje@
@the Netherlands@|@Nederlando@
@the one after next@|@postvenonta@
@the one before last@|@antaŭlasta@
@the power of suggestion@|@sugestio@
@the Sandman@|@Niĉjo la Dormigulo@
@the Transvaal@|@Transvalo@
@the Vatican@|@Vatikano@
@theatre@|@teatro@
@theatre play@|@teatraĵo@
@theatrical@|@teatra@
@theatrical tour@|@turneo@
@theft@|@ŝtelo@
@their@|@ilia, sia@
@theirself@|@si@
@them@|@al ili, ili, ilin@
@theme@|@temo@
@then@|@do, post tio, tiam, tiuokaze@
@thence@|@de tie@
@theocracy@|@teokratio@
@theologian@|@teologo@
@theology@|@teologio@
@theorem@|@teoremo@
@theorise@|@teoriumi@
@theory@|@teorio@
@theory of music@|@muzikteorio@
@therapy@|@terapio@
@there@|@jen, tie, tien@
@there are@|@estas@
@there is@|@estas@
@thereabout@|@ĉirkaŭe@
@thereabouts@|@ĉirkaŭe@
@thereafter@|@post tio@
@thereby@|@per tio@
@therefore@|@do, pro tio, tial@
@therein@|@en tio@
@thermometer@|@termometro@
@thermos@|@varmbotelo@
@thermos bottle@|@termoso@
@thermos flask@|@varmbotelo@
@thermostat@|@termostato@
@these@|@ĉi tio, ĉi tiuj, tio ĉi, tiuj ĉi@
@these days@|@nuntempe@
@thesis@|@tezo@
@they@|@ili, oni@
@thick@|@densa, dika@
@thicken@|@dikigi, plidikigi@
@thicket@|@densejo@
@thickness@|@dikeco@
@thief@|@ŝtelisto@
@thigh@|@femuro@
@thin@|@gracila, maldika, malgrasa@
@thin out@|@maldensigi@
@thin(2)@|@magra, maldensa, malkoncentri@
@thing@|@afero, aĵo, objekto@
@thingamajig@|@umaĵo, umo@
@things@|@aĵoj@
@think@|@opinii, pensi, pripensi@
@think about@|@pripensi@
@think ahead@|@anticipi@
@think to oneself@|@mediti@
@think up@|@elpensi@
@think well of@|@estimi@
@thinker@|@pensulo@
@thinking@|@meditema, pensado@
@third@|@tria, triono@
@thirst@|@soifo@
@thirst after drink. to excess@|@postsoifo@
@thirsty@|@soifa@
@thirteen@|@dek tri@
@thirteenth@|@dek-tria@
@thirty@|@tridek@
@this@|@ĉi tio, ĉi tiu, jeno, tio ĉi, tiu ĉi@
@this afternoon@|@hodiaŭ posttagmeze@
@this evening@|@hodiaŭ vespere@
@this here@|@ĉi tio, tio ĉi@
@this morning@|@hodiaŭ matene@
@this way@|@ĉi tien, tiamaniere, tien ĉi@
@thistle@|@kardo@
@thither@|@tien@
@thorium@|@torio@
@thorn@|@dorno@
@thorn bush@|@dornarbusto@
@thorny@|@dornoplena@
@thorough@|@funda@
@thoroughgoing@|@ĝisfunda@
@thoroughly@|@ĝisfunde, radikale@
@those@|@tio, tiuj@
@thou@|@ci, vi@
@though@|@kvankam@
@thought@|@penso@
@thoughtful@|@antaŭzorga, konsiderema, meditema@
@thoughtless@|@senpripensa@
@thought-provoking@|@pensiga@
@thousand@|@mil@
@Thrace@|@Tracio@
@Thracia@|@Tracio@
@thrash@|@bastonadi, bategi@
@thread@|@fadeno, tredi@
@threat@|@minaco@
@threaten@|@insidi kontraŭ, minaci@
@threatening@|@minaca, minacanta@
@three@|@tri@
@three times@|@trifoje@
@three-toed sloth@|@trifingra bradipo@
@three-wheeled@|@trirada@
@thresh@|@draþi@
@threshold@|@sojlo@
@thrifty@|@ŝparema@
@throat@|@gorĝo@
@throb@|@pulsi@
@thrombosis@|@trombozo@
@throne@|@trono@
@through@|@finita, komplete, per, preta, pro, tra@
@throughout the@|@en la tuta, la tutan@
@throw@|@ĵeti, ĵeto@
@throw away@|@fordiboĉi, forĵeti@
@throw off@|@deĵeti@
@throw out@|@elĵeti@
@throw snowballs@|@neĝbuli@
@throw up@|@vomi@
@throw-back@|@atavismo@
@thrush@|@turdo@
@thrust@|@puŝi@
@thrust out@|@elŝovi@
@thulium@|@tulio@
@thumb@|@dikfingro, polekso@
@thunder@|@tondri, tondro@
@thunderstorm@|@fulmotondro@
@Thursday@|@ĵaŭdo@
@thus@|@jene, sekve, tiamaniere, tiel, tiele, tiumaniere@
@thwart@|@malfaciligi, vanigi@
@thyroid@|@tiroido@
@Tiber@|@Tibero@
@Tiberius@|@Tiberio@
@Tibet@|@Tibeto@
@Tibetan@|@tibeta, tibetano@
@Tibetan woman@|@tibetanino@
@tibia@|@tibio@
@tic@|@tiko@
@tic douloureux@|@vizaĝa neŭralgio@
@tick@|@iksodo@
@tick off@|@strekmarki@
@ticket@|@bileto, veturbileto@
@ticket inspector@|@biletkontrolisto@
@ticket-window@|@giĉeto@
@tickle@|@tikli@
@ticklish@|@tikla, tikliĝema@
@tidal wave@|@cunamo@
@tide@|@tajdo@
@tidy@|@orda, ordigi, sufiĉe granda@
@tie@|@kravato, ligaĵo, ligi, ligilo@
@tie on@|@kunigi node@
@tie up@|@ligi@
@Tierra del Fuego@|@Fajrolando@
@tiger@|@tigro@
@tight@|@strikta@
@tighten@|@kuntiri, stringi, turni plipreme@
@tightly@|@streĉe@
@Tigris@|@Tigriso@
@tilde@|@tildo@
@tile@|@kahelo, tegolo@
@till@|@ĝis, kaso@
@tillage@|@agrikulturo, kultivado@
@tiller@|@direktilstango@
@tilt@|@klini@
@tilted@|@klinita@
@timber@|@ligno, ŝipripo@
@time@|@fojo, horo, tempo@
@time off@|@libertempo@
@time zone@|@horzono@
@time-consuming@|@temporaba@
@timetable@|@veturplano@
@time-table@|@horaro@
@timid@|@timema@
@timidity@|@sinĝeno@
@Timor@|@Timoro@
@Timor Sea@|@Timormaro@
@tin@|@lada, lado, ladskatolo, stana, stano@
@tin can@|@ladskatolo@
@tin plate@|@lada, lado@
@tinder@|@tindro@
@tinker@|@kaldronisto@
@tinkle@|@tinti, tinto@
@tinkling@|@tintado@
@tin-opener@|@skatolmalfermilo@
@tint@|@nuanco, tinkturi, tinkturo@
@tiny@|@eta, malgrandega@
@tip@|@defalaĵejo, pinto, trinkmono@
@tip(2)@|@ekstremaĵo, konsileto@
@tipsy@|@duonebria, ebrieta@
@Tirana@|@Tirano@
@tire@|@lacigi, pneŭmo, pneŭo@
@tire out@|@ellacigi@
@tired@|@laca@
@tired out@|@lacega@
@tireless@|@senlaca@
@tiresome@|@teda@
@tiring@|@laciga@
@tissue@|@histo@
@Titan@|@Titano@
@titanic@|@titana@
@titanium@|@titanio@
@titbit@|@frandaĵo@
@title@|@titoli, titolo@
@titmouse@|@paruo@
@to@|@al, por@
@to a certain degree@|@certagrade, certgrade@
@to be avoided@|@evitinda@
@to be continued@|@daŭrigota@
@to be done@|@farenda@
@to be paid@|@pagenda@
@to both sides@|@ambaŭflanken@
@to download@|@elŝuti@
@to me@|@al mi@
@to measure@|@laŭmezura@
@to my thinking@|@miaopinie@
@to no avail@|@senefika@
@to some extent@|@iagrade, iom@
@to tell the truth@|@verdire@
@to the east of@|@oriente de@
@to the left@|@maldekstren@
@to the letter@|@laŭlitere@
