@English@|@Mongolian@
@to change (1)@|@je'utke-, jegüd-, olbori-, qubil-, ulira-, xuvila-@
@to change (2)@|@je'utke-, jewutke-, jüte-@
@to change (trains etc.)@|@solikh galt tereg@
@to chase@|@kögegekü, öldö-, ülde-, ülde-, xulde-@
@to chew@|@kebi-, xeve-@
@to chill@|@berbeji-, bervij-@
@to choke@|@bögši-, bölži-, bügši-, qaqa-, tsatsakh@
@to choose@|@sili-, so'anggu, songgo-, songgu-, soonkuul-@
@to chop@|@hotqal-, ogcro-, ogtlo-, uqtal-, xoxtol-@
@to close eyes@|@ani-, anisga, anisqa, hanasqa, hanisqa, xanisqa@
@to clothe@|@emus-, emüs-, emüsge-, emüske-, ömsö-, umus-@
@to collect@|@comog, comro-, tegükü@
@to combine@|@aguulakh, bagtaakh@
@to come@|@irä-, ire-, irekü, iro-, jire-@
@to come back@|@qari-, qäri- xar-, qariqu@
@to come in@|@oroqu@
@to come in gusts@|@nölö-@
@to come into being@|@bii bolox, Iamar negen zooil bolj xuvirax, iamar negen züil bolj xuvirax@
@to come to an end@|@tegus, tegüs-, tögsö-, tögüs-, tuge-@
@to compare@|@khar(i)tsuulakh, olgeor, üle-, üli-@
@to compile@|@negtgekh, niiluulekh@
@to conceive@|@edü-, etuldu, ödö-, ödü-@
@to connect@|@kholbokh@
@to conquer@|@daruqu@
@to construct (a bridge)@|@barikh guur@
@to continue@|@urgeljluuljkh@
@to contract@|@kis(a)-, xas-@
@to correct@|@zasakh, zasakh, zasvarlakh@
@to couple@|@qolba'ara-, qolbu-, qulba-, xolbo-@
@to cover@|@nembe-, nemn-, nemne-, nemur-, nemür-, nömr-@
@to cover (1)@|@bitü-, burgu-, bürke-, burku-, bürkü-, bürxe-@
@to cover (by a horse-cloth)@|@nimlä@
@to covet@|@xurca-@
@to crawl@|@molkhokh@
@to creep@|@mölkü-, mölxö-@
@to cross@|@getülkü@
@to cross over@|@gatla-, getle-, getül-@
@to crowd@|@hirken, ir-, irge(n), irgen, irken, jirgen@
@to crumble@|@nasla, nisal-, nise-le-, nisel-, nisla-@
@to crush@|@ült, ültle-, ültü, ültü-, ültül-, ültüre-, yanchi-@
@to crush (1)@|@nacla-, nacra-, niža-la@
@to cry@|@aji-da- ajlda-, aji-la-, uli-@
@to cry out@|@sür, sura-, süre-, sürkire-, sürxre-@
@to curl (of smoke)@|@ne'uresun, negür-sü, nü-gelte-, nürs, nürson@
@to curse@|@qarija-, söxö-, suge-, suke-, tarki-da-, tarxida-, xarä-@
@to cut@|@esge-, eske-, esxe-, möli-, mölö-@
@to cut off pieces@|@qasu-, xas-@
@to dawn@|@manan, manang, manda-, mangka-, mangsar@
@to deceive@|@qahur-, xüra-@
@to decide@|@shiidverlekh, shiidverlekh, siidkü@
@to decline@|@elmere-@
@to demolish@|@bacla-@
@to depart@|@saluqu@
@to desire@|@küsekü@
@to deteriorate@|@guta-, gutra-@
@to develop@|@khogjuulekh@
@to develop a taste@|@ögegsi-@
@to deviate@|@kelbeji-, kelbere-, kelberi-, kelbiji-, kiluji-@
@to die@|@burel-, büril-, ugu-, ügü-, uku-, ükü-, ükükü, üxe-@
@to differ@|@yalgarakh@
@to dig@|@malta-, nukh ukhakh, uqali, uqu-, uqumi, uququ@
@to diminish@|@qoro-, qoru'a-, qoru-, sä-, xoro-@
@to disappear@|@alga bolokh, usta-@
@to disconnect@|@kholboo tasrakh@
@to disperse@|@tara-, tarqa, tarxa-@
@to dissolve@|@singg-@
@to distribute@|@taraakh, tugeekh@
@to divide@|@khuvaakh, qubiyaqu@
@to divine on bones@|@keme-, xemë-@
@to do@|@kikü@
@to do odd jobs@|@khatsin ajil khiikh@
@to drag@|@cir-@
@to dress@|@elde-, xubcala-@
@to drift on the surface@|@köb-, köbbü-, xövö-@
@to drink@|@au-, u'u-, u-, ü-, uu-@
@to drizzle@|@sir-gü-, sirbigine-, sirle-, širvegene-@
@to eat@|@idä-, ide-, idekü, jide-@
@to eat greedily@|@labsi-, lawši-@
@to embrace@|@teberi-, tever, tevri-@
@to end up@|@togsgokh@
@to endeavour@|@šamda-, simda-@
@to enter@|@oro- oru-, ur-, wora-@
@to examine@|@šalga-@
@to exchange@|@soliqu@
@to expand@|@delü, delxij@
@to expect@|@khuleekh, shaardaga@
@to experience@|@turshlagajikh@
@to expire@|@khugatsaa duusakh@
@to fail@|@guitselduulj tsadakhgui baikh, khiij tsadakhgui baikh@
@to fail (1)@|@khiij tsadakhgui baikh@
@to fall@|@on-, una-@
@to fall down@|@unaqu@
@to feed@|@khoollokh@
@to feel@|@medrekh@
@to feel gnawing pain@|@simsire-, šimšire-, simsirid-@
@to feel pity@|@enel-, enele-, enere-, eneri-, eneri-, eneri-kui@
@to ferment@|@saga-@
@to fetch@|@avakh, yamar negen uneer zaragdakh@
@to find@|@ol-, olqu@
@to finish@|@baraqu, butugai, da'us-, düla-, düsa-, orkiqu@
@to fit@|@taarakh, tokhirokh@
@to fix@|@(asuudlig) shiidverlekh, shiidverlekh, tsegtslekh, yanzlakh, zasakh@
@to fix (1)@|@zasakh@
@to flay@|@öbdel, övdöl, qalcara-, xalcla-, xalcra-@
@to flee@|@guikh, orgokh, zugtaakh@
@to float@|@khovokh@
@to flow@|@ibel-, ibil-, ibile-, ivle-, oros-, ursa-, urus-@
@to fly@|@de'ere, degde-, dïrä, niskü@
@to fold@|@quni-, qunija-, xugasla-, xuni-@
@to follow@|@daga-, dagakh, daqa-, ursakh@
@to follow one another@|@sundala-, sundla-, sundu-la-, sundu-r-, sundula-@
@to forbid@|@khoriglokh, qori-, qorija, qorijan, qorqa, quri-@
@to forget@|@martakh, martaqu, martaxu, umarta-, umtara-@
@to forget (1)@|@marta-, untara-@
@to found@|@baiguulakh, undeslekh@
@to freeze@|@köbši-, kölde-, köldü-, osgo-, oso-, osu-, xöldö-@
@to fry (on a pan)@|@jalä-@
@to fumigate@|@bägi-@
@to gape@|@angga-, anggai-@
@to garden@|@tsetserlegjuulekh@
@to gather@|@ömü, ömür-, qura-, qurija-, xura-, xurä-, xurija-@
@to get accustomed@|@dad-, dadu-, das-, dasakh, dasu-, zokhitsokh@
@to get dirty@|@kirtükü@
@to get drunk@|@sogto-, soxta-, suqta-@
@to get stuck@|@siged-, tor-, toro-@
@to get tired@|@yadaraqu@
@to get up (from bed)@|@bosokh, serekh@
@to get wet@|@sil-boji-, šolboj-@
@to give@|@ög-, ögkü, ok-, ok-su, ug(i)-@
@to give drinks to spirits@|@ecegle-@
@to glue@|@qulda-, qulda-sun, xulda-, xuldäs@
@to gnaw@|@kemele-, kemeli-, kemile-, kemki-, xemle-, ximle-@
@to go@|@yabuqu, yavakh@
@to go out@|@gar-, qar-, qor-, qur-@
@to go round@|@erge-, ergi-, hirgi-, xergi-@
@to go through@|@tauli-, tül-@
@to graze@|@mana-@
@to greet@|@mendtsilekh@
@to grind@|@niqu-, nuqu-, nuxa-@
@to grow@|@os-, ös-, osge-, öskü, urga-, urhu-, urqu-, us-@
@to grow (1)@|@hurha-, hurhu-@
@to grudge@|@kinu-, xana-@
@to grumble@|@nangsi-, nanši-@
@to guess@|@tä-@
@to hang on@|@elgu-, elgü-, ölgö-, segl-, segle-, ulku-@
@to happen@|@tokhioldokh@
@to harness@|@güldi-, güldij-, kol-, köl-le-, kolde-, xöllö-@
@to have a bitter experience@|@qasira-, xašir, xašra-@
@to have a burnt taste@|@kengsi- 1, kengsigün, xenšü, xünšü@
@to have fits@|@ahsa-, ahsur-@
@to have pimples@|@göbdürigüde-, gövdrüde-@
@to have to@|@keregtei@
@to hear@|@sonsokh@
@to heat@|@qala'un, qala-, xala-@
@to help@|@salkhi@
@to hesitate@|@damla-, damna-, damžag-guj@
@to hide@|@bögsi-, bügsi-, bügši-, daldala-@
@to hit@|@šavxra-, sib(e)-@
@to hit (target)@|@no-, ono-, onu-@
@to hit with a hoof@|@qaji-, qajir-, xajr-@
@to hollow out@|@töngki-, töngkilge, töngö-, tönxlög, tönxö-@
@to hope@|@najda-, najida-@
@to howl@|@büngsi-, bünši-, büre-, uli-@
@to hurry@|@adam, adga-@
@to hurry along@|@davši-, dovtlo-@
@to import@|@avtsrakh, oruulj irekh@
@to increase@|@nemegduulekh@
@to inform@|@medeelekh@
@to inform oneself@|@lablaqu@
@to interest@|@sonirkhol toruulekh@
@to introduce (someone)@|@taniltsuulakh@
@to investigate@|@mordokh, sudlakh@
@to join@|@qabataxai, qabsara-, qabsu-, qabsur-, qabsura@
@to join (1)@|@xavsr-@
@to judge@|@sigükü@
@to jump@|@degüli-, dülle-@
@to keep@|@khadgalakh@
@to keep a horse tied@|@soj-, soji-@
@to kick@|@te'ure-, tejir-, tejire-, tijre-, tübere-, tübür-@
@to kick (1)@|@iskül-, öskil-, öskül-, tanggara-, tanghara-@
@to kick (2)@|@öšgil-, öskele-, ösküle-@
@to kill@|@ala-, alä-, alaqu@
@to kiss@|@ünüskü@
@to knead@|@zigura-@
@to kneel@|@sogat-, sögd-, sogot-, sögüd-@
@to know@|@mede-, medekü, tani-, taniqu@
@to laugh@|@inege-, inige-, inije-, iniyekü, jine'e, jini'e-@
@to laugh (1)@|@inä-bä, inë-@
@to lay@|@däbos-, debse, debsi, debusger, devs(en), devsger@
@to lead@|@kötel, kötel-, kötül, kötül, kötül-, kötüle-@
@to lean@|@tulqu@
@to leave@|@orkhikh, yavakh@
@to lick@|@dolija-, dolö-, dula-, dulom-@
@to lie@|@gebte, kebde-, kebte-, kibtä-, qudal kelekü@
@to lie down@|@kebtekü@
@to limp@|@dogul-@
@to listen@|@sonusqu@
@to loaf around@|@uitgarlaj ongorookh@
@to look@|@kharakh, qara-, xara-@
@to look after@|@asramjlakh@
@to look ascance@|@kilaji-@
@to lose@|@gë-, gege-@
@to lose all hope@|@cöxö-, cöxrö-@
@to lower@|@gudaj-, gudas, guduj-@
@to make@|@ke-, khiikh, ki-, xij-@
@to make a hole in@|@noket, nukän, nüke(n), nukele-, nükele-, nüx(en)@
@to make a sign@|@doki-, doxi-@
@to make an oath@|@andä@
@to make use@|@zaru-@
@to mean@|@yamar neg sanaag ilerkhiilekh@
@to meet@|@ugta-, uxdu-, uxtu-@
@to melt@|@kajil-, šire-, širemun, siri-, xajl-@
@to milk@|@sa'a-, sa-, sä-@
@to mistake@|@andu-@
@to mix@|@qudqu-, xutga-@
@to mount@|@morilaqu@
@to move@|@godol-, ködel-, kodol-, kudäl-, xödl-@
@to move jaws@|@meke-re-, mexre-@
@to mow@|@xadra-, xadür@
@to neigh@|@jancgä-, unggalda-@
@to note down@|@bitsij temdeglekh@
@to notice@|@anzaarakh, olj medekh@
@to observe@|@saki-@
@to offer@|@malija-, sanal bolgokh@
@to open@|@në, ne'e, nege-, negege-, negegekü, nï'e, ni-@
@to operate@|@udirdakh, yavuulakh, zaluurdakh@
@to order@|@žaki-, zarla-, zarla-, žaxi-@
@to overcast (in sewing)@|@kösi-, küšege, kušige, xöši-@
@to overflow@|@balxa-, bulxa-, qali-, xali-@
@to oversew@|@köbe-, köberi-de-, köberi-de- xövördö-, xövördö-@
@to overtake@|@guitsej turuulekh@
@to pack@|@vadangnaqu@
@to paint@|@buda-, budakh, budu-, buduq@
@to pant@|@se'urel, següresü(n), sigüresü(n), süile-, süjle-@
@to park@|@mashin  zogsoold, mashin  zogsoold bairshuulakh@
@to pass@|@nöxcö-@
@to pass away@|@nas barakh@
@to pay@|@tölükü@
@to pay attention@|@anxa-, tö, to'a, to'an, tö-, tula-, tun@
@to peel off@|@qa'ul-, xüla-@
@to perceive@|@ajilad-@
@to perforate@|@sibe-, sibegür, šive-, šivšür, šivür@
@to perform@|@bieluulekh, guitsetgekh@
@to pick@|@ete-, etke-@
@to pickle@|@es-, esüg, esuk, ösög@
@to pinch@|@qabla-, xavsr-, žarxi-@
@to place@|@talbiqu@
@to plait@|@ermüge, öre-, ormege, örmög, örmöge@
@to plaster@|@siba-@
@to plunder@|@tono-, tonu-@
@to point@|@zaakh@
@to pound@|@nidü-, nüde-@
@to pour@|@ösür-, üsre-, üsür-@
@to prattle@|@yangsi-@
@to pray@|@omsi-, ongši-, ungsi-, ungši-, unši-@
@to prepare@|@bele-dke-, beleken, belen, belet-, beltgekh@
@to present@|@da'ul-, dajila-, dajla-@
@to press@|@-ra-, šaxa-, sima-la-, siqa-, šiqa-, siqaqu@
@to press down@|@dar-, dära-, daru-@
@to print@|@khevlekh@
@to produce@|@uildverlekh@
@to promise@|@amlakh@
@to protect@|@hibe-, ibe'e-, ibege-, ihe-, saki-, saqi-, saxi-@
@to protect (1)@|@ivë-@
@to protract@|@tele-, teli-@
@to prove@|@batlakh, notlokh@
@to pull@|@cinggaga-, tata, tata-, tätä-, tatakh, tataqu, tota-@
@to pull out@|@zulgaga-@
@to punish@|@gesgë-@
@to purchase@|@khudaldan avakh@
@to pursue@|@neke-, nexe-@
@to put@|@bairluulakh@
@to put (something somewhere)@|@tavikh@
@to put down@|@doosh n(i) tavikh@
@to put on (clothes)@|@khuvtsas omsokh@
@to put on or over@|@toxu-@
@to quarrel@|@kere-, kereldü-, kiräldu-, xerelde-@
@to rasp@|@qar-ma-, qaru-, xara-@
@to rave@|@gä-ra-@
@to reach@|@gur-, khurekh, khurekh, kor-, kür-, kürte-, xüre-, xürte-@
@to read@|@ungsiqu@
@to recover@|@seke(ge)-, sexe-@
@to reduce@|@xasu-@
@to refer@|@kholbogduulakh@
@to regret@|@gemsi-, gemši-, gemuri'ul-@
@to remain@|@ülekü@
@to repair@|@zasakh@
@to repeat@|@daki-, daxi-, daxin@
@to report@|@tailagnakh, tailagnakh@
@to report (a crime)@|@khergiin medee@
@to respect@|@kundule-, taki-, taxi-@
@to rest@|@amara-, amara-, amra-, amu-, amu-, amuqu, amur, amur, amura-, amura-, amura-, amuraxu, unži-gu@
@to ride@|@una-, uno-, unu-@
@to ride horseback@|@unuqu@
@to rise@|@burgi-(ra-), bürgi-ni-, burqalix, sabsa-, savsa-@
@to rise (1)@|@burgi-, öndij- öndeji-, öndüji-@
@to roam@|@negü-, nü-@
@to roast@|@qawur-, xür-@
@to rob@|@tal-, tala-@
@to roll@|@ebkere-, evxre-, körbe-, körböl-, körbü, körbüge-@
@to rot@|@hu'ugai, sebesüre-, sebisüre-, sevsre-@
@to row@|@selbe-, selbi-, selbigür, selbür@
@to rub@|@hunku-, ünge-, ünggü-, unku@
@to rub off@|@el-, ëlä-, ele-, ilä-, sidur-, silu-, šula-, šulu-@
@to rub off (1)@|@šudar-@
@to run@|@gue-, gui'ji-, güikü, guj-, güj-, güjü-@
@to run (in panic)@|@durbe-, dürbe-, dürbi-, dürve-@
@to run (slowly)@|@bögsi-@
@to run away@|@teregle-, tergid-, tergil-@
@to run away jumping@|@togsi-, togši-@
@to sacrifice@|@taj-, taji-, tavig@
@to saddle@|@toqu'ul-, toqu-, toxo-@
@to save@|@abrakh, abura-, avra-@
@to say@|@gekü, kele-, kele(n), xele-@
@to scatter@|@cac-, sac-@
@to scold@|@tošigro-@
@to scurry@|@megde-, mengde-@
@to search@|@qu'iu, quj-, quju-, tagna-, tangna-, üdla-@
@to see@|@qaraqu@
@to seek@|@ëre-, qaijirala-, qairala-, qaji-, xaj-@
@to seize@|@bariqu@
@to sell@|@qudalduqu@
@to send@|@ile-, ilege-, ilegekü, ilgë-@
@to separate@|@xejil-, xiriže-@
@to set in order@|@ore'ele, ore'elesun, öre-, örü-, örügel, urele@
@to sever ribs from the spine@|@qada-, qadu-, qadura-, qataxasam, qatu'ur, xada-@
@to shake@|@egeji-@
@to shear@|@kirqa-, xarga-@
@to shine@|@gilayiqu, gyalalzakh@
@to shoot from a bow@|@qarbu, qarbu-, xarva-@
@to shoot from a horse@|@namna-@
@to shoot over the target@|@ontus-@
@to shout@|@barkira-, orila-, orilo-, uri-@
@to shrink@|@humere-, ömij, ömüre-, umure-, ümürü-, ümürüül@
@to shut in@|@xori-@
@to sink@|@ojima-, ojimu-, ojmo-, ojna-, üi-, üj-, üjü-@
@to sit@|@sa'u-, sau-, su-, suukh@
@to ski@|@tsanaar gulgakh@
@to slander@|@xobla-@
@to slaughter@|@nadla-, natla-, nitul-, nitula-@
@to sleep@|@umart-, umta-, unta-, untagaxu, untaqu@
@to slide@|@tajitgar, tajituji-@
@to slip@|@khaltirakh@
@to smear@|@bala-, bila-@
@to smear (with clay)@|@šava-, šavar, siba-, sibar, šibar@
@to smell@|@hunis-, üner@
@to smile@|@misije-@
@to smoke@|@uta-@
@to sneeze@|@najita-, najta-@
@to soak@|@bulara-, bulqa-, bulqu-, debte-, debtü-, devte-, nor-, nur-, šimde-, simed-, šimi-, šimi-@
@to soar@|@ele-@
@to sober up@|@telere-, telre-@
@to speak@|@ge-, gi-, ke'e-, kë-@
@to spend@|@mongo zartsuulakh@
@to spend (time)@|@nogtsookh, tsag ongorookh@
@to spend a night@|@xono-@
@to spend the night@|@düle-, düli-@
@to spin@|@egere-, ëre-, imer-, tamu-, tom-, tomu-, tuma-@
@to splash@|@calgi-, calgila-@
@to split open@|@jara-, jära-@
@to spoil@|@bokhirduulakh, evdekh, muutgakh@
@to sport@|@sport@
@to spread out@|@sarbaji-, sarvaj-@
@to spur on a horse@|@dabi-, dabki-, dabsi-, davi-, davxi-, dobtul-@
@to spurt@|@undra-, undur-, undura-@
@to squander@|@šali-@
@to squeeze out@|@šavxra-, sibqar-@
@to stand@|@bai'i-, bai'ji-, bai-, bäi-, baj-, baji-@
@to start@|@ekhlekh@
@to stay behind@|@qoži, qožida- qožid, qožim, qožit, xocro-, xoži-@
@to stay behind (1)@|@xoždo-, xožid, xožim@
@to stay vertically@|@undus@
@to steal@|@qulaq-@
@to step@|@alkhakh, alqu-, alxa-@
@to step down@|@bu-, bü-, büdal@
@to stick into@|@düre-, duru-, dürü-@
@to stir@|@bule-, büle-, büli-, sama'ura-, samra-, samura-@
@to stop up@|@tagla-@
@to straighten@|@sidur-, šudra-@
@to stray@|@sarni-@
@to stretch@|@sung-@
@to stretch out@|@suna-, sungga- sunä-, sunija-, sunija- sunu-@
@to strike fire@|@caxi-, caxila-@
@to strive@|@gani, gani-, qani, qäni@
@to stroke@|@ilbe-, ilbi-, ile-, ili-@
@to stumble@|@büdre-, büdüre-, büdüri-@
@to succeed@|@amjilt gargakh@
@to suck@|@sime-, šime-, simi-, šimi-@
@to suck in@|@soru-@
@to suffer@|@türü-@
@to suffer from hunger@|@mekeji-, mekij-@
@to swallow@|@balga, balga-@
@to sway@|@mai-mur-, majmar-@
@to swell@|@celc-, culc-, köbkeji-, qabar-, xabud-, xavda-, xövxij-@
@to swim@|@qajiba-, xajva-@
@to take@|@ab-, abi-, abqu, abu, al, ali, aliv, bari-, bäri-@
@to take (1)@|@ab-, aba-, av-, oba-@
@to take along@|@khamt avts yavakh@
@to take care of@|@asara-, asära-, asor-, asra-@
@to talk@|@küü-ne-, yariqu, yariqu xüne-@
@to talk in one's sleep@|@žegüde(n), žegüdü(n), žeu'udun, žüdäli-, züden@
@to taste@|@amsa-, tamšä-, tamsija-@
@to tell@|@kemekü, ögülekü@
@to tennis@|@tennis toglokh@
@to the back@|@ärudur@
@to think@|@bodo-, bodokh, bodu-@
@to think of@|@sede-, sedki-, setge-, setki-, sïtki-@
@to thresh@|@tügsi-, tügši-@
@to throw away@|@qayaqu@
@to tie@|@uyaqu@
@to tie in bunches@|@bagla-, bagla-@
@to tie up@|@bo'o- bo'am, bö-@
@to torment@|@türege-@
@to touch@|@qabira-, xavira-@
@to transmit@|@tügë-@
@to transport@|@te'e-, të-, tegege-, tegegekü@
@to trot@|@qatari-, sege-, xatira-@
@to trot (not very swiftly)@|@cogi-@
@to trust@|@itegekü@
@to tuck up@|@sihu-, šü-, šuhu-@
@to turn@|@muski-@
@to turn around@|@ergekh@
@to turn out@|@batlagdakh, khelsneer bolokh@
@to twist@|@musgi-, mušgi-, muski-, muški-@
@to understand@|@oilgokh, uqa-, uqaqu, uxa-@
@to urinate@|@sari-, šë-, šës, ši'e-, sige- sigesü(n), šisun@
@to use@|@khereglekh@
@to vesicate@|@ereke-, erxe-@
@to vomit@|@bögsi-, böhelži- bulže-, bügsi-, ogši-, xusu-@
@to wait@|@xülce-, xülë-@
@to wait for@|@küliyekü@
@to walk@|@jabu-, jäbu-, java-@
@to walk slowly@|@galgi-, galira, gelderi-, geldre-, geldüri-, gelgüri-, geli-@
@to walk submerging into water@|@ombu-, umba-, unba-@
@to walk with difficulty@|@maqara-, maxra-@
@to wallow@|@kurbe-@
@to wallpaper@|@khan(i)n tsaas naakh@
@to want more@|@camän@
@to wash@|@ugä-, ugija-, ukija-@
@to watch@|@kharakh, manakh, uzekh@
@to wave@|@dalbakh, debis-, debül-, debüs-, deve- debi-@
@to wave (1)@|@sebe-, sebi-, seve-@
@to weaken@|@ebere-, övrö-@
@to wear@|@ämüskü@
@to wear a garment@|@kedür-@
@to wear out@|@khuutsirts elegdekh@
@to weave@|@eltle-, eltle-neke- nik- nexe-, eltüle-@
@to weep@|@uyilaqu@
@to whisper@|@šiver, šivne-, šivnel@
@to win@|@dejil-, dejile-, dijl-, ilaqu@
@to wish@|@guse-, kuse-, küse-, xüs-@
@to withdraw (money)@|@dansnaas mongo gargakh, tatakh gargakh@
@to wonder@|@gajxa-@
@to work@|@ajillakh@
@to work collectively@|@öme, omer-, ömög, ömüg@
@to worship@|@takiqu@
@to wrap@|@mökürig, muqulaji-da-, muqulajid-, orija-, orö-@
@to wrap up@|@qumbi-, qumi-, xumi-@
@to wrinkle@|@hurni-@
@to yield@|@ashig orlogo olokh, ogooj ogokh@
@tobacco@|@tamiki@
@today@|@önödür@
@together@|@cug, cugla-, qamtu, qamtu, qamu-, qamux, xamt@
@Toilet@|@jorlon@
@tomato@|@ulaan lool@
@tongs@|@baki, bax@
@tongue@|@kele@
@too much@|@ketü, xet@
@tooth@|@sidon, šidu, sidun, sidün, šidun, sudu@
@Tooth@|@Shud@
@tooth (1)@|@sidün, šüd(en)@
@top@|@oki, ox@
@top of head@|@hurai, orai, orgil, oroj, orui, xorai, xorgil@
@top of milk@|@öröm, örüme@
@torture@|@könüge-, xönö-@
@total@|@niit@
@touch@|@khurekh, khureltsekh@
@Tourist office@|@juulchinii gazar@
@town@|@qota, qota(n), qoton, qotu(n), qutan, xot@
@trace@|@kina-, or, orom, oru, orum, xana-, xorim, xorum@
@track@|@jim mor, mör, mur, zam@
@trade@|@khudaldaa, qudaldu-, xudalda-, xudalidu@
@tradition@|@qauli@
@traffic@|@zam(i)n khodolgoon@
@Train@|@galt tereg@
@Train station@|@galt tergenii buudal@
@transport@|@teeverlekh@
@travel@|@ajan, ajang@
@traveller@|@zigulci@
@treasure@|@sang@
@tree@|@mod, modon, modu, modun, mu-du-ni, mudon@
@tree (1)@|@mudun@
@tree bark@|@qoltasu(n), qoltusu(n), xoltos@
@tree with dark reddish bark@|@qargil@
@tremble@|@silge-, šilgë-, silgege-, šilgut-@
@trickery@|@ob, ov@
@trickle@|@sabira-, savira-, šavši-, sibere-, sibsi-, šivre-@
@trough@|@idür, ongoc, tobid, tovd@
@trousers@|@ämodän, emüdü(n), emudun, ömü-dü, umudän@
@trout@|@quludu, xuld, xult@
@truck@|@atsaan(i) mashin@
@true@|@ünen@
@trumpet@|@bureenii torol khogjmiin zemse@
@trumpet horn@|@bürë(n), bürege, bürije(n)@
@trust@|@itege-, itge-, itqa-, jatga-@
@truth@|@ünen@
@t-shirt@|@podvalki@
@tuft@|@hüdesü, üde-@
@tugrik (Mongolian money)@|@tögürig@
@tulip@|@altan zul@
@turbid@|@bulanggir, bulinggar, bulunggir@
@turf@|@dagna-sun, degne-gül, degnül, dengnegül@
@turn back@|@naca-@
@turn upside down@|@kömeri-, kömüri-, xömrö-@
@turnip@|@sarana, saräna, sarmug, torom, torom, turma@
@turnip (1)@|@sarmag@
@twenty@|@qori(n), qorin, qurin, qürin, xorin@
@twins@|@ikere, ikire, ixer@
@twist@|@muski-@
@twist (a thread)@|@imre-@
@two@|@qojar, qoyar, qujar, qujar, xojar, xojor, xoyor@
@typhus@|@düireng, düjren@
@typical@|@iimerkhuu@
@udder@|@deleng@
@umbilical cord@|@xüj@
@uncultivated land@|@atar@
@under@|@dour-a@
@underpants@|@bogino omd@
@uneven ground@|@chongkijal, congor, conxiol, cünx, cünxël@
@unexpected@|@gene-, gene(n), genede-, genedte, genen, genet@
@unfasten@|@tajila-, tajl-, tajla-@
@unfortunately@|@kharamsaltai@
@unit of administration@|@sum@
@unite@|@kere-, xere-@
@universe@|@ogtorgui@
@unleash@|@zhadaji-, zhadla-, zhadra-, zhadula-@
@unmarried@|@gerleegui@
@unpleasant odour from the arm@|@qulanqsa, qulung-su, xulans@
@unstring@|@suba-, subi-, subu-, suva-@
@unwieldy@|@nüser@
@unworked leather@|@adasqa, adsaga@
@Up@|@deeshee@
@upper stratum@|@korisu, körüdesü(n), körüsü(n), xörs@
@upwards@|@o'e-de, ögede, ögse-, ögsö-@
@urgent@|@bat, batu, bätu@
@us@|@bide@
@usual@|@erdiin, yerü@
@utterly@|@šal, sila@
@uu? (question particle)@|@uu?@
@vacant@|@sul, sula, sulara-@
@valey@|@tökum@
@valley@|@am(an), ama-sar, ama(n)@
@Valley@|@khöndii@
@variegated@|@alag, alax-, erën marän, qaltar, xaltar@
@various@|@eldeb@
@various grass names@|@šamars, simarsu, simeldeg, šimeldeg@
@varnish@|@sir@
@Vegetable@|@nogoo@
@vegetable brew@|@sömesü(n), söms, sömüsü(n)@
@vegetables@|@nogön, noqo'an, noxo'an@
@vehicle@|@telege(n), terge, terge(n) tergan, tirgän@
@vein@|@suda-su(n), sudal, sudas, sudasun, sudun, sudusun@
@vein (1)@|@sodäsün, sudal@
@Venus@|@cholbun, cholman, cholmun, colmon@
@vertebra@|@seger, sër(en)@
@very@|@dan, dial, lab, lav, maš, nai, naj@
@very much@|@yeke@
@vessel@|@malu, mamä@
@via@|@damjij@
@vice@|@savsalga@
@vigorous@|@anüxan, ider@
@vile@|@sadar, sadur@
@village@|@ayil, siltegen@
@vinegar@|@tsagaan tsuu@
@violent@|@siregün@
@visa@|@viz@
@visible@|@kharagdakhuits@
@visit@|@ailtslakh, zotslokh@
@visitors@|@giitsin, zotsin@
@vitality@|@süld, sülde, sulder@
@voice@|@ai@
@voracious@|@ojese-@
@vow@|@andgar@
@vulva@|@hotugün, hutukun, otkeon, ütrë, ütügü(ü)@
@waist@|@belkegü-sü(n), belxüs@
@wall@|@khana, qan-a, tama, tamä@
@walnut@|@xušga@
@wander@|@kere-, kerü-, xere-@
@war@|@dai'jin, dai'jisun, dajin, dajn, dayin@
@warm@|@dula'an, dulän@
@warm shelter for large cattle@|@dal@
@warmth@|@ilch, ilchi(n)@
@wart@|@egüü, sögel, ü(n)@
@watch@|@tsag@
@water@|@osun, usu, usun@
@Water@|@us@
@waterfall@|@qargi, qarki, xargil@
@water-meadow@|@nug@
@watery stool@|@šalai@
@wave@|@dabalgan, dolgija(n), dolgio(n), doligijan@
@way@|@zam@
@we@|@ba, bi, bid, bide, man-, meni, mini, mino, minu@
@we (1)@|@bida, man-, mano, minij@
@weak@|@nalaji- nalxaj-, nalaji- nalxaj-, nalmi-gar, nalmi-gar, nalqaji-, nalqaji-, qobur, qomur, sul doroi, tulaki, tulgar, tulhui, tulhur, tulxi@
@wealthy@|@xogši-@
@weapon@|@jer@
@weasel@|@kürene, xürne@
@week@|@libai@
@weep@|@hujlaül-, ujila- ui'jila-, ujla-, ujla- uila-@
@weep (1)@|@üjla-@
@welcome@|@tavtai morilogtun@
@well@|@sayin@
@well bucket@|@xobug-a, xobug-a@
@well trained@|@xasir@
@West@|@örnö, öröne, örüne, xorene, xorone@
@wet@|@noyitan@
@wet snow@|@šamarga, simergen@
