@English@|@Bolivian Quechua@
@to run@|@kachaykukuy, phaway@
@to run (liquid)@|@suruy@
@to run down@|@t'ustuy@
@to sacrifice@|@velanchuy@
@to salute@|@haylliy@
@to sanctify@|@willkachay@
@to satiate@|@saksakuy@
@to save@|@jallch'ay, qespichiy, qhespichiy, waqaychay@
@to say@|@niy@
@to say one thing and do something else@|@achakiy@
@to scab@|@qarachiykuy@
@to scatter@|@ch'iqey@
@to scold@|@k'amiy, rimay@
@to scoot@|@suchuy@
@to scorch@|@q'aspay@
@to scorn@|@pisichay@
@to scrape@|@thupay@
@to scratch@|@hasp'iy, lajray@
@to scratch off@|@thaway@
@to scratch oneself (Sp.)@|@rasgay@
@to scratch or rub against something@|@khitukuy@
@to scratch something@|@jasp'iy, jasut'iy@
@to scream@|@qhayqayakuy@
@to seal@|@llut'ay@
@to search@|@k'uskiy, mask'ay@
@to secure@|@khipuy@
@to see@|@rikuy@
@to seek@|@maskhay@
@to seem like@|@rejch'akuy@
@to sell@|@qhatuy@
@to send@|@apachiy, kachay, kachaykuy@
@to send down@|@kachaykuy@
@to send to here@|@apachimuy@
@to separate@|@t'aqay@
@to seperate baby animals from their mother@|@chikiray@
@to serve@|@yanakuy@
@to serve food@|@qaray@
@to set free@|@kacharipuy, qhespichiy@
@to sew@|@siray@
@to shake@|@chukukukuy, kharkatitiy@
@to shake (like a rug)@|@chawujriy@
@to shake hands@|@q'apiriy@
@to shake off@|@thallay@
@to shame@|@p'enqaychay@
@to share@|@rakiy@
@to shatter@|@chhalluy, thuniy@
@to shatter; to make phiri@|@phiriy@
@to shave@|@p'aqlay@
@to shell@|@t'eqway@
@to shoot@|@t'oqllachiy@
@to shorten@|@q'estiy@
@to shout@|@qhapariy@
@to show@|@reqsichiy@
@to shrink@|@k'utuy, q'entiy@
@to shut up@|@ch'inyay, upallay@
@to sift@|@suysuy@
@to signal@|@t'uphsiy@
@to sin@|@huchallikuy, juchallikuy@
@to sing; song@|@takiy@
@to sink@|@chinkayachiy, pulltiy@
@to sit; to reside@|@tiyakuy@
@to slander@|@q'esachay@
@to slap@|@laq'ay, t'ajllay@
@to slaughter@|@nak'ay@
@to sleep@|@puñuy@
@to slip@|@lluskhay@
@to slurp@|@upiy@
@to smell@|@muskhiy, muskiy@
@to smile@|@asirikuy, chijchiy@
@to smoke@|@pitay@
@to sneeze@|@achhiy@
@to sniff@|@qhetikuy@
@to snore@|@qhorqoy@
@to snort@|@ñusuy, upiy@
@to snow@|@rit'iy@
@to soak@|@challpuy, chulluy@
@to sob@|@hik'iy@
@to soften@|@ñapuyay@
@to sow@|@tarpuy@
@to sparkle@|@chiphchiriy@
@to spasm@|@q'ewiy@
@to speak@|@rimay@
@to spill@|@jich'ay@
@to spin@|@phuskay@
@to spin two threads together@|@k'antiy@
@to spit@|@thoqay@
@to spit out@|@ajtuy@
@to splash@|@ch'alaych'altay, ch'allpay@
@to spread@|@mast'ariy@
@to spread out@|@mast'ay@
@to sprinkle@|@ch'ajchuy, ch'aqchuy@
@to sprout@|@rituñay@
@to sprout a new plant@|@ch'illchimuy@
@to spy@|@qhamiyay, wateqay@
@to sqeeze@|@ñit'iy@
@to squat@|@chukuy@
@to squeeze; to wring out@|@ch'irway@
@to squish between the fingers@|@ch'elqey@
@to stab@|@t'urpuy@
@to stack (adobes)@|@tawqay@
@to stagger@|@chankaykachay@
@to stand back@|@ithiriy@
@to stand up@|@jatariy@
@to stay@|@kedakuy@
@to stay in one place@|@kedakuy@
@to steal@|@suway@
@to step on@|@saruy@
@to sting@|@k'aray@
@to sting (bee)@|@wach'iy@
@to stink@|@asnay@
@to stir@|@qaywiy, watiy@
@to stop@|@sayay@
@to storm@|@phiñay@
@to straighten up@|@k'uchuk'uchuchay@
@to strain@|@atiykuy, ch'umay, suysuy@
@to strangle@|@q'allpiy, seq'oy, sipiy@
@to stretch@|@chutay@
@to stretch the legs out@|@jayt'arikuy@
@to strip@|@q'alachiy@
@to struggle@|@chharpuykuy, chuchupakuy@
@to strut@|@phawakachay@
@to stumble@|@thampiy@
@to stutter@|@hakllu@
@to submerge@|@challpuy, chapuy@
@to subside@|@thañiy@
@to suck@|@ch'onqay@
@to suffer@|@muchuy, ñak'ariy@
@to support@|@q'emiy@
@to surprise@|@uyanchay@
@to surround@|@muyuriy@
@to suspend@|@tatiy@
@to swallow@|@millp'uy@
@to swarm@|@aywiy@
@to sway@|@aytiy@
@to sweat@|@hump'iy, jump'iy@
@to sweep@|@pichay@
@to swell@|@punkiy@
@to swim@|@wayt'ay@
@to swing the hips@|@siki wayllay@
@to take a step@|@ichiy@
@to take away@|@qhechuy@
@to take down@|@qhechuqay@
@to take grain off the corn cob@|@muchhay@
@to take hold of@|@jap'iy@
@to take off one's clothes@|@ch'utilluch'utiy@
@to take one thing from off another@|@atiray@
@to take out@|@orqhoy, orqoy@
@to taste@|@llamiy, malliy@
@to teach@|@yachachiy@
@to tear@|@llik'iy, mithay, mithay@
@to tease@|@p'olqay, pujllapaya@
@to tend@|@uyway@
@to test@|@qhawariy@
@to thank@|@añaychay@
@to thank (Sp.)@|@agradecey@
@to thicken@|@thankuy@
@to think@|@yayay@
@to think on@|@hamut'ay@
@to threaten@|@manchachiy@
@to throw@|@ch'anqay, wikch'uy@
@to throw chuwi in a game@|@pojchiy@
@to throw out@|@qharqoy, wakhiyay@
@to throw out a liquid@|@jich'ay@
@to throw out violently@|@qhallay@
@to thunder@|@qhon qhon nimuy, roqhoqoqoy@
@to tickle@|@kullachiy@
@to tie@|@watay@
@to tie up@|@mayt'uy, watay@
@to tighten@|@mat'iy, noq'ay@
@to tire@|@sayk'uy@
@to tithe@|@chunkachay@
@to toast@|@jank'ay@
@to top@|@kirpay@
@to torment@|@qatiykachay@
@to touch@|@llamiy@
@to train@|@kallpachay@
@to transport@|@astay@
@to trap@|@toqllay@
@to treat badly@|@qesachay@
@to tremble@|@chukchuy, kharkatitiy, khatataty@
@to trip@|@misk'ay@
@to trust@|@atinikuy@
@to try@|@llamiy@
@to try (food)@|@llajway@
@to turn over; to translate@|@tejtitijray@
@to twist@|@q'eshway, q'ewiy@
@to twist thread or rope@|@k'uyuy@
@to uncover@|@ch'ustiy@
@to undress@|@ch'ustikuy@
@to unearth@|@p'amparay@
@to unite@|@paskay@
@to untwist@|@k'uyuray@
@to unwind@|@k'uyuray@
@to uproot@|@sik'iy, t'iray@
@to urinate@|@hisp'ay, jisp'ay, miyay@
@to use force@|@kallpachakuy@
@to vary@|@uj jinachay@
@to violate@|@wachoy@
@to visit@|@watukuy, waturikuy@
@to vomit@|@aqtuy@
@to wait; hope@|@suyay@
@to wake up@|@rejch'ariy, rikch'ariy@
@to walk@|@puriy@
@to walk around@|@puriykachay@
@to wander@|@walachuy@
@to want@|@munay@
@to warm@|@q'oñikuy@
@to warm up@|@q'oñichiy@
@to warn@|@yuyampay@
@to wash@|@mayllay, maylliy@
@to wash one's self@|@mayllikuy@
@to wash oneself@|@mayllakuy@
@to wash oneself; to swim (Sp.)@|@bañakuy@
@to waste@|@usuchiy@
@to watch@|@qhaway@
@to watch herd of sheep@|@michiy@
@to wave@|@raphapapay@
@to weaken@|@naq'oy@
@to wean@|@hanuk'ay@
@to weave@|@away@
@to weed@|@qhoray, qoray@
@to weigh@|@llasay@
@to wet@|@chulluchiy, joq'oy@
@to whip@|@jasut'iy@
@to whisper@|@chhichhinakuy@
@to whistle@|@huywiy, khuyuy@
@to win@|@llalliy@
@to withdraw@|@karunchay@
@to work@|@llank'ay@
@to work stone@|@ch'eqoy@
@to worry@|@afligiy, llakllariy@
@to worship@|@yupaychay@
@to wound@|@k'iriy@
@to wrangle@|@tupapakuy@
@to wrap@|@ch'uwiy@
@to wrap up a baby@|@k'iluy, walthay@
@to wrestle@|@wat'atatay@
@to wriggle@|@wat'aqeyay@
@to wrinkle@|@sip'uy@
@to write@|@qelqay, qelqey@
@to yawn@|@hanllariy, hanraykachay, puñuywan atichikuy@
@to yell@|@ch'ajway, qhapariy@
@toad@|@jamp'atu@
@toasted grain or legumes@|@jank'a@
@toasted kinua@|@kuymi@
@today@|@kunanpacha@
@together@|@khuska, kuska, purajmanta@
@tomorrow@|@paqarin, q'aya@
@tongue@|@qallu@
@too much@|@sinchi@
@tool used in weaving@|@illawa@
@tool used to dig potatoes@|@ch'ira, lank'ana@
@tooth@|@kiru@
@toothache@|@kiru nanay@
@toothless@|@laqmu, phallpa@
@top@|@uma@
@torch@|@pankunku@
@totally deaf@|@roqt'o@
@tower@|@hark'apa@
@town@|@llajta, llaqta@
@trachea@|@hatun tonqor@
@trail@|@ñan@
@train@|@makina@
@transparent@|@ch'uya@
@tree@|@mallki@
@trick@|@toqlla@
@trickster deity@|@pacha tira@
@triumph@|@haylli@
@truly@|@cheqamanta, cheqaqta@
@trumpet@|@qeqere@
@truth@|@cheqa, cheqaq@
@tub to wash in@|@jinti@
@tuber with edible roots (yucca)@|@yuka@
@tuberculosis@|@qhaqya onqoy@
@tumor@|@ch'upu@
@tunnel@|@husk'u@
@turbulent@|@qhonchu@
@tutor@|@uywaqe@
@twisted@|@q'ewisqa, wist'u@
@two@|@iskay, kiskay@
@two days after tomorrow@|@machu minchha@
@tympanic membrane@|@rinri llika@
@type@|@imaymana, laya@
@type of big cactus@|@qhewallu@
@type of big scavenger bird@|@qarqanchu@
@type of bird@|@chhiru chhiru, q'ellinchu, tarajchi@
@type of bush@|@sila sila@
@type of cactus@|@ulala@
@type of cactus and its fruit@|@tuna@
@type of corn@|@ch'umpi sara@
@type of food@|@lokro@
@type of grasshopper@|@sirp'a@
@type of large ant@|@chhaka@
@type of lizard@|@ararankha@
@type of medicinal plant@|@ch'akataya@
@type of multi-colored corn@|@qhajya sara@
@type of mushroom@|@k'allampa@
@type of oca@|@isañu@
@type of pitcher@|@p'uytukun@
@type of plant@|@chhajllu, waylla mut'iya@
@type of poisonous bug@|@binchuka@
@type of potato@|@jalq'a papa, pali papa, papa lisa, sani papa, saq'ampaya, tullu malkachu, wira malkachu, yana imilla@
@type of pottery@|@k'analla@
@type of rope@|@ch'awara@
@type of rubbery stemmed plant@|@q'ara llant'a@
@type of sagebrush@|@kanlli, qeweña, sipita@
@type of small spider@|@kusi kusi@
@type of soup@|@ch'aqe@
@type of thorn@|@chhilkiwa@
@type of tree@|@mulli, wayakan@
@type of wild honey@|@burru k'allampa@
@ugly@|@fieru, millay@
@ulcer@|@anaq k'iri@
@uncivilized@|@ch'unch@
@uncle@|@qaka@
@unclear@|@ayphu@
@uncooked@|@chawa@
@undecided@|@iskay sonqo@
@unguent@|@llusina ampi@
@unripe@|@qholla@
@unseasoned food@|@laq'a@
@untamed@|@k'ita@
@until later@|@ash kama@
@up@|@hanaq@
@upset@|@phiña@
@urine@|@unu hisp'ay@
@used@|@thanta@
@used wad of coca or cane spit out; Policeman@|@jach'u@
@useless@|@ñuskhu@
@uterus@|@kisma@
@vagabond@|@p'ajpaku@
@vagina@|@raka@
@vainly@|@qhasimanta@
@valiant@|@qharichakuq@
@valley@|@wayq'o@
@vapor@|@bausi@
@vase@|@akilla@
@vast@|@chutarisqa@
@vein@|@sirk'a@
@verily@|@cheqamanta@
@vertebral column@|@wasa tullu@
@very@|@ancha@
@very early in the morning@|@chhapu chhapitu@
@very full@|@junt'asqa@
@very small@|@ch'iñi@
@vicious@|@mikhkuq@
@victim@|@ñak'arichisqa@
@victorious@|@llalliyniyoq@
@vicuña@|@bik'uña@
@vigor@|@q'eqe@
@village@|@llaqta@
@violent@|@waq'ayasqa@
@violet color@|@panti@
@virginity@|@llump'a@
@viscera@|@ñat'i@
@visible@|@sut'i@
@vocabulary@|@simikuna@
@voice@|@kunka@
@vulgar@|@map'a@
@waist@|@weqaw@
@walking stick@|@tojnu@
@wall@|@perga, perqa@
@war@|@maqanaku, maqanakuy@
@warehouse@|@qolqa@
@warlock@|@layqa@
@warm@|@q'oñi@
@warning to be careful@|@pajtataj@
@wart@|@sirk'i, tikti@
@wasp@|@tankayllu@
@watchman@|@anariwa, anariwa@
@water@|@unu, yaku@
@waterfall@|@pajchiri, yaku phajchay@
@wax@|@wira@
@we (exclusive of person spoken to)@|@noqayku@
@we (inclusive of person spoken to)@|@noqanchis@
@weak@|@qhasñu@
@weapon@|@ruk'ana@
@weathered@|@tunti@
@wedding@|@kasaraku@
@weed@|@qhora, qora@
@well@|@ari, kusa, má@
@wet@|@ch'aran, hoq'o, joq'o@
@what a coincidence@|@tinkuypacha chayamun!@
@what?@|@jay?@
@wheat bread@|@q'aspa@
@wheat or grass used to feed livestock@|@ch'illawi@
@when@|@jayk'aj@
@when?@|@mayk'aj@
@When?@|@hayk'aq?@
@where?@|@maypi?@
@where?; very@|@may@
@wherever@|@mayninpi@
@which?@|@mayqen, mayqen?@
@whirlwind@|@muyoj wayra@
@white@|@yuraq@
@white corn@|@yuraj sara@
@white flour@|@chili jak'u@
@white person@|@yuraq siki@
@white potato@|@papa imilla@
@who?@|@pi@
@whore@|@rupaq siki@
@why?@|@imajtin, imarayku, imarayku?@
@wide@|@kicharisqa@
@widow@|@ikma@
@wild@|@k'ita, salqa@
@wild animal@|@salqa@
@wild rabbit-like animal@|@bisk'acha@
@will@|@munaylla@
@wind@|@wayra@
@window@|@qhawarina@
@wing@|@raphra@
@winter@|@qarway@
@wire@|@tiwli@
@wise@|@yachayniyoj, yachayniyoq@
@witchcraft@|@cheqñe@
@with getting angry@|@ama phiñakuspa@
@without reason@|@qhasi mana kaj@
@witness@|@uyanchaq@
@woman@|@warmi@
@woman's underwear@|@inawa@
@woman's woven braid ornament@|@tullma@
@womb@|@wijsa@
@wood@|@k'ullu@
@wool@|@millma@
@word@|@simi@
@Word of Wisdom@|@Yachayniyoj Palabra@
@work@|@lank'ay@
@work to chew coca; about 10:00 am@|@akulliy hura@
@world@|@pacha, teqsimuyu@
@worm@|@kuru@
@worm; bug@|@khuru@
@worn out@|@mawk'a@
@worthless@|@ñuskhu@
@wound@|@k'iri@
@wounded@|@k'irisqa@
@woven belt@|@chumpi@
@woven cloth@|@awayu@
@woven cloth worn on back by Indian women@|@ajsu@
@wrath@|@loqheyay@
@wreath@|@pillu@
@wreck@|@thuni@
@wretched@|@qhencha@
@wrinkle@|@ch'ipu, ch'olqe@
@wrinkled@|@ch'usu@
@wrist@|@maki ñañu@
@yarn@|@q'aytu@
@year@|@wata@
@yello@|@naru@
@yellow@|@q'ello, q'ellu@
@yellow corn@|@q'ellu sara@
@yellow flowered plant@|@ch'ullu ch'ullu@
@yellow potato@|@papa runa@
@yes@|@arí, riki@
@yesterday@|@qayna, qaynunchay@
@yonder@|@jaqay@
@you@|@qan@
@you (pl.)@|@qankuna@
@young condor@|@mallku@
@young girl@|@imilla@
@young man@|@wayna@
@young woman@|@sipas@
@younger@|@sullk'a@
@your age@|@qan wiña@

