@English@|@Tagalog@
@similar@|@kahwad, kawangis, kawangkî@
@similar to@|@parang, paris@
@similarity@|@pagkawangis, pagkawangkî@
@simile@|@ulirán@
@simmer@|@lumabog, pakuluan@
@simper@|@ngitî, ngumitî@
@simple@|@pahat, payak, pulos, simple, walang halò@
@simple (1)@|@walang kahambugan@
@simplicity@|@walang kahambugan@
@simplification@|@pagpapagaan, pagpapaiklî@
@simplify@|@pagaanin, paikliin@
@simulate@|@hwag pahalatâ, magkunwâ@
@simulation@|@pakitang tao, pakunwarî@
@simultaneous@|@sabaysabay@
@sin@|@kasalánan, magkasala, magkulang@
@sin city@|@lunsod ng kasalanan@
@since@|@buhat, mula, mulâ sa, sapagká't, yamang@
@sincere@|@taimtim, tapat@
@sincerity@|@pagtatapat ng loob@
@sinecure@|@sahod ó upa na walang gáwain@
@sinew@|@litid@
@sinewy@|@malitid@
@sinful@|@makasalanan@
@sing@|@awit, Humuni, kumanta, umawit@
@Singapore@|@Singgapúr@
@singe@|@idarang, isalab@
@singer@|@kantora, mang-aawit, mánganganta@
@single@|@mamukod, minsan, nag-iisa@
@singly@|@isat isa@
@singular@|@namumukod@
@singularity@|@pagkatangì, pamumukod@
@sinister@|@kasawîan, saliwâ@
@sink@|@lubog, lumubog, pádaluyan, sumisid@
@sinner@|@makasalanan@
@sinousity@|@kabaluktután, kunat@
@sip@|@higop, higupin, lunók, lunukin@
@sir@|@Ginoo, pò@
@Sir@|@Senyor@
@sire@|@manganak ang hayop@
@siren@|@sirena@
@sirup@|@harabe, pulót@
@sister@|@kapatíd na babáe@
@sisterhood@|@pagkakapatiran@
@sister-in-law@|@hipag@
@sisterly@|@parang kapatid@
@sit@|@lumikmô, lumuklok, maupô, umupo, upô, upo'@
@sitting@|@pag-upô, paglikmô, pagluklok@
@situate@|@nakalagay, nakalapag, nasa...@
@situation@|@kalagayan, katayuan@
@siu bao@|@siopao@
@six@|@anim, ánum, seis@
@six o'clock AM@|@alas sais ng umaga@
@six o'clock PM@|@ala sais ng hating gabi@
@sixfold@|@makaanim@
@sixteen@|@disiseis, disiseis, labing-ánim, labing-ánim@
@sixteenth@|@ikalabing anim@
@sixth@|@ikaánim, pang-anim@
@sixtieth@|@ikaanim na pû.@
@sixty@|@animnapû, sesenta@
@size@|@iakmâ, ilapat, lakí, sukat@
@skean@|@sundang, talibong@
@skein@|@labay, madeha@
@skeleton@|@kalansáy@
@sketch@|@gumuhit, magbanhay@
@skew@|@balikukô@
@skies@|@kalangitan@
@skiff@|@bangkang muntî@
@skill@|@galing, husay, kaliksihán, kasanayan@
@skillet@|@anglít@
@skillful@|@bihasa, magaling, mahusay@
@skim@|@bulâ@
@skimmer@|@panandok ng bulâ@
@skin@|@balát, katad, talupan, upak, upakan@
@skin rub@|@hagod@
@skinny@|@namamayat, nangangalirang, payat@
@skip@|@luksó, lundag, magluluksó, maglulundág@
@skirmish@|@manaklót, paglalaban, pagpapanaklot@
@skirt@|@laylayan, manabí, pálda, saya, tapis@
@skirttish@|@gitlá@
@skulk@|@sumilong@
@skull@|@baong ulo, bungô@
@sky@|@alapaap, himpapawid, langit, lángit@
@slab@|@losa@
@slabber@|@magdumí@
@slack@|@makuyad@
@slacken@|@palambutin, palwagin@
@slag@|@kalawang@
@slake@|@patayin@
@slam@|@pagdarayà sa balansa ng baraha@
@slander@|@maghatid-humapit@
@slanderer@|@mapaghatid humapit@
@slang@|@salitang malabò@
@slant@|@ihapay, ihilig@
@slanting@|@hapáy, hilíg@
@slap@|@manuntok, sampal, sumuntok, suntók@
@slash@|@managâ, manaksak, saksak, tagâ@
@slate@|@isulat sa pisara, pisara@
@slattern@|@babaing salaulà@
@slatternly@|@may pagkasalaulà@
@slaughter@|@katay, pagpapatayan, patayan, pumatay ng kakilakilabot@
@slaughter (1)@|@katay@
@slave@|@alipin, busabos, paalipin, pabusabos@
@slavery@|@pagaalipin, pagkaalipin, pagkabusabos@
@slavish@|@mapanilbí@
@slay@|@pumatay@
@slayer@|@ang nakamatay@
@sled@|@kareta, paragos@
@sledge@|@kareta, paragos@
@sleek@|@bulí, makinis@
@sleep@|@magpahinga, matúlog, pagtulog, tulog, umidlip@
@sleeper@|@ang natutulog, batugan, tahilan@
@sleepiness@|@antok@
@sleeping mat@|@baníg@
@sleepy@|@antúkin, pagaantok@
@sleeve@|@manggás@
@slender@|@manipis, payát@
@slice@|@hiwa', hiwáin, lapáng, piraso, pútol, putúlin@
@slide@|@dausdos, dausdusan, dumulas, dupilas, dupilas, dausdusan, mádulas@
@slight@|@bahagya, pagkakálingat@
@slight (1)@|@halayin, hiyain@
@slightly@|@babahagya@
@slim@|@manipís, payat@
@slime@|@banlík, burak, putik, uhog@
@slimy@|@mauhog, úhugin@
@sling@|@magpahilagpós, pagpapahilagpós, panghilagpos@
@slink@|@mahulog sa dî panahon, makunan, manganak ng dî ora@
@slip@|@madulas, pagkadulas, pagkadupilas, pagkatisod@
@slipper@|@sinelas@
@slippers@|@tsinelas@
@slippery@|@madulás@
@slipshod@|@naka chankletas ó paragatos@
@slit@|@lahang, lumahang, lumalós, sipák, sumipak@
@slobber@|@laway@
@slop@|@putikan@
@slope@|@gulod, ihiwíd, libis, putlín ó hiwain ng pahiwíd@
@sloping@|@dahilig, pahilís, pahiwíd@
@sloppy@|@maputik@
@sloth@|@katamaran@
@slothful@|@batugan@
@slouch@|@madungô@
@slough@|@putikan@
@sloughy@|@maburak, maputik@
@sloven@|@taong salaulà@
@slovenliness@|@kababuyan@
@slow@|@banayad, mabágal, mabálag, mahinà, makupad@
@slowed-down@|@Dumalang-dalang@
@slowless@|@bagal, kupad, kuyad@
@slowly@|@dahan-dahang, Mabining, madálang, marahan@
@slowly rising@|@namimitak@
@slug@|@batugan, pagayongayon@
@sluggard@|@pagayongayon@
@sluice@|@sangka@
@slumber@|@umidlip@
@slur@|@dumhan, dungisan, manchá, manchahán@
@slut@|@babaing salaulà@
@sly@|@paimbabaw@
@smack@|@halík na matunog, lasahin, lasap, lasapin@
@smack (1)@|@hatì@
@small@|@maliít, muntî@
@small-pox@|@bulutong@
@smalt@|@palamuti, salít@
@smart@|@anták, magalíng, matalas, matalino, matulis, sakít@
@smart (1)@|@hapdî, humapdî, kirót, kumirót, sumakít, umantak@
@smash@|@bumasag@
@smear@|@dumhan, dungisan, pahiran@
@smell@|@amoy, amuyin, pangamoy, pangamuyin@
@smelt@|@bubuín, magbubó@
@smelter@|@hurnóng búbuan@
@smile@|@ngisi, ngiti, ngitì, ngitian, ngumisi, ngumitî@
@smiling@|@nakangiti, ngingiti-ngiti@
@smirk@|@ngumisi, ngumitî@
@smite@|@manakít, manugat, sumakít, sumugat@
@smith@|@panday@
@smithy@|@pandáyan@
@smock@|@kamisola, kamisón@
@smoke@|@asó, magpausok, umasó, umitit, umusok, úsok@
@smokeless@|@walang asó, walang usok@
@smoker@|@mang-iitit ng sigarilyo, manghihitit, nagpapausok@
@smoky@|@maasap, maasó, mausok@
@smooth@|@kayás, pantay, madulás, makinis, yano@
@smother@|@inisín@
@smothness@|@kakinisan, kapatagan@
@smoulder@|@mag-apoy ng walang ningas, magbaga@
@snaffle@|@bitbítan@
@snag@|@bukó@
@snail@|@susô@
@snake@|@áhas, duhol, ulupong@
@snaky@|@parang ahas@
@snap@|@lagitík, lagutók, palagitikin, paputukin, tunog@
@snappish@|@mapagkagát, nángangagat@
@snare@|@bitag, panghuli, patibong, silo@
@snarl@|@umangil@
@snast@|@micha ng kandilà, tinsim@
@snatch@|@agawán, mangagaw, pag-agaw, pangangagaw, umagaw@
@sneak@|@umusad@
@sneer@|@irap, irapan, paghiyâ, paglibak, tawanan@
@sneeze@|@bahing, bumahin, magbahíng, mápabahin@
@sniff@|@suminghot@
@snigger@|@ngumisngis@
@snip@|@gupít, gupitin@
@snivel@|@uhog, uhugin@
@snobbery@|@pag-ismid@
@snobbish elite of society@|@palalong sosyedad@
@snood@|@mapagmakinís@
@snooze@|@idlip, tulog na mababaw, umidlip@
@snore@|@hilik, humilík, maghilik@
@snort@|@magsingasíng@
@snot@|@kulangot, uhog@
@snout@|@ilong, ngusò@
@snow@|@niyebe, tubig na namuô, yelo@
@snowy@|@maniebe, maraming niebe@
@snub@|@sumaway@
@snub-nosed@|@charát@
@snuff@|@amuyín@
@snuffers@|@panggupit ng michá@
@snuffle@|@manalitâ ng pahumal, umutal-utal@
@so@|@anopa't, gayon, kayâ, sa gayon@
@So that's where your glasses are!@|@Ayón palá ang salamín mo!@
@soak@|@basaing maigi, ibabad, tigmakin@
@soap@|@sabón, sabunin@
@soap-bubble@|@bulâ ng sabon@
@soar@|@paitaas, umilanglang@
@sob@|@buntong hininga, daíng, hibík, ingít@
@sober@|@langô, lasíng@
@sobriety@|@hihahon, hinhin@
@sobriquet@|@paláyaw@
@sociability@|@pakikipagsama@
@sociable@|@mapakikisamahan@
@social@|@mahilig sa pakikisama, pagtitipon@
@social (1)@|@marunong makipagkapwà@
@society@|@klub, lipunan, pagsasamahán@
@sock@|@medyas@
@socket@|@ukà ng matá@
@sod@|@pitak na may tubong damó@
@soda@|@soda@
@sofa@|@sandalan, sandigan, sopá@
@soft@|@malambót, malatâ, matamís@
@soften@|@palambutin, palatain@
@softness@|@kalambután, kalataan, lambót, latâ@
@soil@|@lupà@
@soiled@|@marumí@
@sojourn@|@manahan, manirahan, tírahan@
@solace@|@alíw, aliwín@
@solar@|@nauukol sa araw@
@solder@|@panghinang@
@soldier@|@kawal, sundalo@
@soldierlike@|@parang kawal@
@soldierly@|@parang kawal@
@sole@|@nag-iisa, suelas ng sapatos, talampakan@
@solely@|@lamang@
@solemn@|@pormál, taimtim@
@solemnity@|@kadakilaan, karilagan@
@solemnize@|@padakilain, parilagín@
@solicit@|@hilingín, iluhog, ipamanhík@
@solicitation@|@paghilíng, pagluhóg@
@solicitor@|@mánananggól, tagahilíng, tagahingî, tagasikap@
@solicitous@|@makalingâ@
@solid@|@matigas, paikpík, tipî@
@solidarity@|@Pagkakaisa@
@solidity@|@kasinsinan, sinsin@
@soliloquize@|@bumulongbulong, magsasalitâ na walang kausap@
@soliloquy@|@bubulongbulong, pag-uusáp na walang kausap@
@solitaire@|@nag-iisa, solitaryo@
@solitary@|@nag-iisa@
@solitude@|@pag-iisa, pamumuhay na walang kasama@
@soluble@|@maaaring tunawin, natutunaw@
@solution@|@kalutasan, pagkakatuos, pagkalas, pagtunaw@
@solve@|@ipaliwanag, lutasin, pasiyahan@
@solvent@|@makababayad ng utang@
@somber@|@malungkót@
@some@|@ilán, kaontî, mga ilan@
@somebody@|@ibang táo, isang tao, may táo, sinoman@
@somebody loves me@|@may nagmamahal sa akin@
@Somebody stole my ___@|@Mayroong kumuha ng aking______@
@somehow@|@maski paano, sa anoman, sa paano man@
@someone who can be trusted@|@mapapagkatiwalaan@
@someone who disowns another@|@nagtatakwil@
@someone who is charitable@|@mapagkawanggawa@
@someone who takes care of another person@|@tagapagkandili@
@somerset@|@luksong makamamatay, luksong matindí@
@something@|@anoman, anomang bagay, kauntî, kwan@
@something given away@|@balato@
@sometime@|@ng ibang panahon, noong araw@
@sometimes@|@kung minsan@
@somewhat@|@kauntî, kung ano, tila@
@somewhere@|@saan man@
@somnlency@|@antok@
@somnolence@|@antok@
@somnolent@|@nag aantok@
@son@|@anák na lalake, anak na laláki@
@song@|@áwit, kantá@
@songster@|@kantor, mánganganta@
@songstress@|@babaing mánganganta, kantora@
@son-in-law@|@manugang na lalaki@
@sonorous@|@mataginting, matunog@
@soon@|@karakaraka, pagdaka, saglit@
@soon (1)@|@agad@
@sooner@|@lalong madalî@
@soot@|@agiw, kulilì@
@sooth@|@kalugodlugod@
@soothe@|@pumuri ng paimbabaw@
@soothsayer@|@manghuhulà@
@sooty@|@maagiw@
@sop@|@sawsaw@
@sophism@|@pangangatwirang papilipít@
@sorcerer@|@hukluban, manggagaway, mangkukulam@
@sorceress@|@babaing manggagaway@
@sorcery@|@panggagaway, pangkukulam@
@sordid@|@marungis, sakím@
@sordidness@|@kasalatán@
@sore@|@anták, maantak, mahapdî, makirot, masakit@
@sore (1)@|@sugat@
@soreness@|@anták@
@sorrow@|@kalungkutan, lumbay, lungkot, panlaw@
@sorrow (1)@|@malumbay, mamanlaw@
@sorrowful@|@nalulungkot, namamanlaw@
@sorry@|@nalulumbay, namamanlaw, pasensya pô@
@Sorry@|@pasensya pô@
@sorry condition@|@kaawa-awang kalagayan@
@sort@|@ayos, kalidad, piliin, uri, urì@
@sottish@|@mangmang@
@soul@|@kaluluwa, katao@
@sound@|@hugong, tunog, tunóg@
@sound of friction between a vehicle@|@sagitsit@
@soundings@|@pagtarok@
@soundness@|@galing ng katawan, kagalingan@
@soungy@|@buhaghag@
@soup@|@sabáw, sopa, sópas@
@sour@|@maásim, maaskad, mapaklá, uumasim@
@source@|@bukál, pinagbubuhatan, pinagmumulan, simulâ@
@souse@|@kéchap, lawlaw, patis@
@south@|@tímog, tímugan@
@South America@|@Timog Amériká@
@southern@|@banda sa timog, timugan@
@southward@|@sa dakong, tímugan@
@southwest@|@habagat@
@sovereign@|@harì@
@sovereignty@|@paghaharì@
@sow@|@inahíng baboy, maghasík, magtanim, nagsabog@
@space@|@agwat, lugar, pagitan@
@spacious@|@malwang@
@spade@|@asada, espada sa baraha, pala, pangpalitada@
@Spain@|@Espanya@
@span@|@dangkal, dangkalín@
@spanish@|@kastilà@
@spank@|@sumampal@
@spare@|@ibigay, ipagkaloob, ipahingè, pamalit@
@sparing@|@mapag-impok, matipid@
@spark@|@kinang, kisáp, kuminang@
@sparkle@|@kinang, kuminang@
@sparrow@|@maya@
@spasm@|@pamamanhid, pasmá@
@spasmodic@|@lumpó, pasmado@
@spatter@|@magdilig, magwisík, pilansikan@
@spawn@|@itlog ng isdâ@
@speak@|@magsalitâ, Salitâ@
@speaker@|@ang nagsasalitâ, mánanalumpatì, tagapagsalita@
@speaker (1)@|@pangulo ng kapulungang bayan@
@spear@|@salapáng, salapangin, sibát, sibatin, sumibat@
@special@|@di-pangkaraníwan, hiwaláy, namumukod, natatangi, tangì@
@specially@|@lalu na@
@specie@|@salapî@
@specific@|@gamot na yarì, tagaurì@
@specification@|@pagpapaliwanag@
@specify@|@liwánagin, uriin@
@specimen@|@patunay@
@speck@|@bakat, manchá@
@speckle@|@bakatan, manchahan@
@spectator@|@ang nanonood@
@spectre@|@katatakután, multó@
@speculative@|@nagugunitâ, nakakalakal, nawawarì@
@speculatory@|@nagugunitâ, nakakalakal, nawawarì@
@speech@|@pagsasalita, pananalitá, talumpatì@
@speechless@|@kimî, napatigalgal, pipe, umíd, utal@
@speechlessness@|@pagkakimi@
@speed@|@bilis, dalî, magmadalî, magmaliksí@
@speedy@|@mabilís, madalî, matúlin@
@spell@|@bigkas, enkanto, gaway, magdeletreyá@
@spelling@|@pagbigkas@
@spelling (1)@|@pagdedeletreyá@
@spend@|@gumasta, gumastos, maggugol@
@spends a lot@|@magastos@
@spendthrift@|@alibughâ, bulagsak@
@sperm@|@esperma@
@spew@|@sumuka@
@spheric@|@mabilog, nauukol sa bilog@
@spherical@|@nauukol sa bilog@
@spice@|@anis, panimplá gaya ng pamintá@
@spicy@|@mabango, malasa@
@spider@|@gagamba@
@spike@|@magpakò ng malaking pakò, malaking pakò@
@spill@|@itapon, magbuhos, magligwak, tukod na kahoy@
@spin@|@humabi, paikutin@
@spinal@|@nauukol sa gulugod@
@spindle@|@ikirán, palihán, sulirán@
@spine@|@gulugod@
@spinner@|@habihán, manghahabi@
@spinning-jenny@|@mákinang habihán@
@spinning-wheel@|@gulong na habihán@
@spinster@|@habihán@
@spiral@|@sinusô@
@spirit@|@buhayin ang loob, diwà, espirito, espíritu@
@spirited@|@magarà@
@spiritless@|@lupaypay, Walang diwà@
@spiritous@|@nauukol sa diwà@
@spiritual@|@nauukol sa diwà@
@spirt@|@labatibahin, pasalumpitin@
@spit@|@dura, ihawan, lumurâ, lumuráq, pag aasarol@
@spite@|@pagtatanim sa loob@
@spiteful@|@mapagtanim sa loob@
@spitefulness@|@pagtatanim, táglaying masamâ@
@spittle@|@kalaghalâ, laway, lurâ@
@spittoon@|@lúraan@
@splash@|@pagputikin, pumilansik, tumilansik@
@splashing sound of the water@|@lagaslas ng tubig@
@spleen@|@lapay@
@splendid@|@mahusay, mahusay, maigi@
@splendor@|@dilag, igi@
@splice@|@dugtong, sugpong@
@splint@|@bangkot@
@splinter@|@lumahang, patpat, sipakín, sumipak, tatal@
@split@|@bumiak, lumahang, magkahiwalay, sumipak@
@spoil@|@mabulok, mangagaw, naagaw, nápagharangan, násamsam@
@spoiled@|@panis@
@spoiler@|@mángangagaw, máninirà@
@spoke@|@rayos ng gulong@
@spokes-man@|@ang nagsasalitâ, ang nakikipag-usap@
@spoless@|@walang dungis@
@spoliate@|@mangharang@
@spoliation@|@pangangamkam@
@sponge@|@espongha@
@spongy@|@buhaghag@
@sponsor@|@inaamá, tagapanagot@
@spontaneity@|@pagkukusà@
@spontaneous@|@bukal sa loob@
@spoon@|@kuchara, kutsára, sandok@
@spoonful@|@sangkuchara@
@sport@|@larô, palaro, pangparaan ng panahón@
@sportful@|@mapagpatawa@
@sportive@|@mapagpatawa@
@sportsman@|@mángangaso@
@spot@|@batik, dungis, dungisan, lugar, manchá@
@spotted@|@may manchá@
@spotty@|@may manchá@
@spousal@|@kasal@
@spouse@|@asawa@
@spout@|@pádaluyan ng tubig@
@sprain@|@balingangà, batì@
@sprawl@|@ipaghampasan ang katawan, magpagulong-gulong@
@sprawl (1)@|@gumumon@
@spray@|@bulâ ng dagat, kahoy, swí@
@spread@|@dipa, Iladlad, ilatag, pagkakalat, pagkakalatag@
@spreading out@|@Lumalatag@
@sprig@|@sangang muntî, usbong@
@sprightly@|@magaan ang katawan@
@spring@|@lumuksó, Sibol, tagaraw, tagsibol, talon, tumalón@
@spring (1)@|@bukal, bumukál, lundag, sumibol@
@spring roll@|@lumpia@
@springe@|@bitag, silò@
@springle@|@bitag, silò@
@springy@|@sunudsunuran@
@sprinkle@|@magdilig, magwisík@
@sprinkling@|@pagwiwisík@
@sprite@|@katakután, tyanak@
@sprout@|@brotar, Sibol, supang, suplíng, usbong@
@spruce@|@maganda, makinis@
@spruceness@|@kagandahan, karikitan@
@spume@|@bulâ, bumulâ@
@spumous@|@mabulâ@
@spumy@|@mabulâ@
@spur@|@espuela@
@spurious@|@anák sa ligaw@
@spurn@|@manikad, manipà@
@sputter@|@magdadahák, maglulurâ@
@spy@|@tiktík, tumiktik@
@spy-glass@|@salaming pangtanaw sa malayò@
@squab@|@kapipisâ lamang sa itlog, walâ pang pakpak@
@squabble@|@babag, makipag-alit@
@squabbler@|@basag-ulero@
@squalid@|@baboy, salaulà@
@squall@|@bugsô ng ulán, tumilî, unós@
@squally@|@maunós@
@squalor@|@karumihan, Kasalaulaan@
@squander@|@mag-alibughâ, magbulagsák, sumayang ng salapî@
@square@|@iakmâ, kuwadrado, líwasan, parisukat, parisukatin@
@squash@|@kalabasang ligaw, lamugin, pisain@
@squat@|@nakayukô, yumukô@
@squeak@|@hiyaw, magpagibik, pigibík, tilî, tumilî@
@squeal@|@manangis, tumilî@
@squeeze@|@diin, higp, higpít, pigâ, pigain, pindot, pindutin@
@squib@|@kwitis@
@squint@|@biskó, dulíng, sulimpat@
@squirt@|@pulandít, sumpít@
@stab@|@manaksak, saksák, sumaksak@
@stability@|@tatag@
@stable@|@kabalyerisa, matatag, silungan ng kabayo@
@stack@|@magsalansan, mandalâ, salansan@
@staff@|@baras, tukod, tungkod@
@stag@|@usá@
@stage@|@entablado, pálabasan ng pánoorin@
@stagger@|@gumiraygiray, mag-urong sulong@
@stagnancy@|@pagkahadlang, pagkaharang@
@stagnant@|@nahahadlangan, nahaharang@
@stagnate@|@mahadlangan, tumigil@
@staid@|@pormal, walang kibô@
@stain@|@batik, manchá, manchahan, mantsa@
@stair@|@baytang, hagdan@
@staircase@|@hagdánan@
@stairs@|@hagdánan@
@stak@|@lumakad ng tila kung gasino, punò ng pananím@
@stake@|@halige, tukod, tulos, tulusan@
@stale@|@laón, lumà, maantá@
@stall@|@ilagay sa kabalyerisa@
@stallion@|@kabayong simarrón@
@stalwart@|@malakás, malakí@
@stalworth@|@malakás, malakí@
@stammer@|@maumíd, mautál@
@stammerer@|@umíd, utál@
@stamp@|@lagyan ng selyo, limbag, selyo, selyuhan, tatak@
@stampede@|@kilabot, síndak@
@stanch@|@mahadlangan, maharang, walang sirà@
@stand@|@dako, lumagay, táyo', táyuan, tumayô, tumindig@
@stand up@|@táyo'@
@standard@|@bandilà, pamantayan, parisán, ulirán@
@standing@|@nakatayô, nakatindig, Patayô, patindig@
@star@|@bituín, talà@
@starch@|@almirol, mag-almirol@
@stare@|@magpápungay, pungay, titig, tumitig@
@stark@|@malakas, matigas@
@star-shaped@|@hugis-tala@
@start@|@kabiglaanan, magsimula, pagsisimulâ, umpisá@
@start (1)@|@daluhong, pasimulan, simulan@
@starvation@|@pagkamatay sa gutom@
@starve@|@mamatay sa gutom@
@state@|@katayuan, lagay, pámahalaan, tayô@
@state of being spaced out@|@pagkatigalgal@
@stately@|@marangal, marilag@
@statement@|@kasulatan, patalastas@
@statesman@|@manungkulan@
@station@|@hantungan, himpílan, idistino, istasyón@
@stationary@|@namamalagì, nananatili@
@stationery@|@mga gamit sa pagsulat@
@statuary (1)@|@manggagawà ng mga larawan@
@statue@|@larawan@
@statutary@|@eskultor@
@statute@|@palatuntunan@
@stave@|@basagín, pagputolputulin@
@stay@|@málabi, mátira, pagkatigil, pagkatira, tira@
@stead@|@lugar@
@steady@|@matatag@
@steak@|@bisték@
@steal@|@mang-umít, nakawin@
@stealer@|@mang-uumit@
@stealth@|@pagnanakaw, pang-uumit@
@stealthy@|@patagô, pilihím@
@steam@|@asó, singáw, umasó, umusok, usok@
@steamed buns@|@syopaw@
@steamer@|@bapor, pasingawan@
@steamship@|@bapór@
@steed@|@kabayong pangregalo@
@steel@|@asero, gagamba, gagamba, patalím@
@steep@|@bakubakô, dalusdos, matarik, talabis, tigmakin@
@steeple@|@kampanaryo, latore, moog@
@steer@|@guyang toro, mamiloto, umugit@
@steerage@|@pag-ugit, pamimiloto@
@stellar@|@nauukol sa bituin@
@stellary@|@nauukol sa bituin@
@stem@|@sumubà, sumungsong, tangkay@
@stench@|@alingasaw, bahò@
@stenographer@|@marunong ng estenograpyá@
@stenography@|@estenograpya@
@step@|@baytang, hakbang, humakbang@
@step-brother (1)@|@asawa ng ama ó iná@
@stepdaughter@|@pamangking babae sa pakinabang@
@stepfather@|@amain sa pakinabang@
@stepmother@|@ale sa pakinabang@
@stepping-stone@|@batong hakbangan, batong laktawan.@
@stepsister (1)@|@asawa ng amá ó iná@
@stereotype@|@estereotipya@
@stereous@|@hílikin, naghihilík@
@sterile@|@baog, basal@
@sterility@|@kalagayang basal ó baog@
@stern@|@hulihán ng sasakyan, mahigpít, masungít@
@stew@|@ginisá@
@steward@|@katiwalà, mayordomo@
@stew-pan@|@gísahan, kawalì@
@stick@|@bastón, idikit, palo, patpat, tingting, tungkód@
@sticky@|@malagkít@
@stiff@|@banát, matigas, unát@
@stiffen@|@banatin, patigasin, unatin@
@stiffeness@|@katigasan, tigas@
@stifle@|@ang anomang nagniningas, patayin, sugpuin@
@stile@|@estilo, pintuang may mga baytang@
@stiletto@|@panaksak@
@still@|@matahimik, pa, walang imik, walang kibô@
@still (1)@|@alakán, gáwaan ng alak, patahimikin@
@still being fed (idiom)@|@pinakakain@
@stillness@|@katiningan@
@stilts@|@tiyakad@
@stimulant@|@pangpabuyo, pangpalakas@
@stimulate@|@mag-udyok@
@sting@|@durò, kagat, mákagat, mátibò, mátukâ, tukâ, yibò@
@stingy@|@mákagat, mátibò, mátukâ@
@stink@|@alingasaw, anghít, bahò, bantót, bumahò@
@stint@|@koto@
@stipend@|@kabayaran, sahod@
@stipulate@|@lakarin ang isang kásunduan, makiusap@
@stir@|@alugin, halò, haluin, luglog@
@stirrup@|@estribo@
@stitch (1)@|@durò, puntado, tumahî, tusok@
@stock@|@kahoy, mga hayop, punò ng kahoy, tambak, tangkay@
@stock (1)@|@maglaan, magtaan, nakataan@
@stocker@|@pugonero@
@stocking@|@medyas@
@stocky@|@masiksik@
@stomach@|@sikmurà, tiyán@
@stone@|@bató, batuhin, bumato, pukulín@
@stony@|@mabato@
@stool@|@bangkô, taburete@
@stoop@|@yukô, yukod, yumukô, yumukod@
@stop@|@hinto', humintô, magpahingá, tigil, tumihil@
@Stop@|@Hinto@
@Stop! Thief!@|@Tigil! Magnanakaw!@
@stoppage@|@gambalà@
@stopple@|@pasak@
@storage@|@pagiipon, pagtitinggal@
@store@|@imbak, maglaan, magtaan, pámilihan, tindahan@
@store-house@|@kamalig na imbakan@
@stork@|@tagák@
@storm@|@bagyo, bumagyó, sigwa, umunos, unos@
@stormy@|@bumabagyo, masigwa, maunos@
@story@|@kasaysáyan, kathang salaysay, kwento, lapag@
@story (1)@|@piso ng bahay@
@stout@|@batibot, batipunô, malakas, serbesang matapang@
@stove@|@apuyán, kalan@
@stow@|@mag-ayos, maghusay, maglapag@
@straggle@|@lumaboy, maggalâ@
@straight@|@tuloytuloy, tuwid@
@straight ahead@|@dumiretso@
@straight foward@|@tuloytuloy@
@straighten@|@twirin@
@strain@|@salain, tawasin@
@strainer@|@saláan@
@strait@|@gipit, kagipitan, makipot, makitid, panganib@
@straiten@|@gipitin@
@strand@|@baybay, pangpang@
@strange@|@ibá, Kaibá, katakataka, magtaká@
@stranger@|@estranghero, tagaibang lupain@
@strangle@|@sumakal, uminis@
@strangulation@|@pananakal, pang-iinís@
@strap@|@itali, panalì, sintás, tali@
@strapping@|@nakaumbok@
@stratle@|@gulat, mágitla, mágulat, masindak@
@straw@|@dayami, paha@
@straw mat@|@banig@
@stray@|@nakakákawalâ, náwawalâ, pagkakaligaw, pagkawalâ@
@streak@|@guhit, guhitan@
@stream@|@agos, bang-bang, batis, bumuhos, ilog, umagos@
@streamlet@|@batis, munting ilog@
@street@|@daán, kalye, kálye, lansangan@
@strenght@|@bisà, kalakasan, lakás@
@strenghten@|@pagtibayin, palakasín@
@strenuous@|@malakas@
@stress@|@halagá, kabuluhan@
@stretch@|@balták, baltakin, hilahin, pahabain, tindí, unatin@
@stretcher@|@tindíhan@
@stretching@|@pagbabanat@
@strict@|@maganít, mahigpit@
@strictly@|@mahigpit@
@strictness@|@bagsík, ganít, higpít@
@stricture@|@marká, tatak@
@stride@|@hakbang na malakí, humakbang, laktaw, lumaktaw@
@strike@|@hampás, palò, paluin, tumamà, welga@
@strike (2)@|@hiblá@
@string@|@bagting, kwerdas, lúbid, panalì, pisi, sinulid@
@string (1)@|@lagyan ng bagting ó kwerdas, timplahín ang tunog@
@string of thoughts@|@dilidili@
@stringy@|@mahiblá, mahilachá@
@strip@|@gutay, himulmol, hubaran, hubdan, talupan@
@stripe@|@Gguhitan@
@stripes@|@guhit@
@stripling@|@batang lalake@
@strive@|@magpilit, magpumilit, magsikap, magsumikap@
@stroke@|@dagok, hampás, palo@
@stroll@|@gumalà@
@strong@|@malakás@
@strop@|@kutad@
@structure@|@pagkakaakmâ, pagkakatayô@
@struggle@|@bunô, labanán, pakikibaka, pamook, pungyagî@
@strut@|@lumakad na may kahambugan@
@stub@|@beha, punò ng kahoy, upos@
@stubble@|@pasyok, pinagputulan ng dayami@
@stubborn@|@mapagmatigas@
@stubbornness@|@katigasan ng loob, katigasan ng ulo@
@stud@|@guhit na pinakaburá, guhitan ng pinakabura, tukod, tulos@
@student@|@ang nag-aaral@
@studied hard@|@nagsunog ng kilay@
@studies@|@pag-aaral@
@studious@|@masipag mag-aral@
@study@|@mag-áral, pag-aaral, pagaralin@
