@English@|@Papiamento@
@obedient@|@obedesido, obedesidu@
@object@|@koroto, kos, opheto@
@obligation@|@deber@
@observation@|@observacion, opservashon@
@observe@|@cumpli@
@obstacle@|@opstákulo@
@obstetrician@|@partera, vrumun@
@obtain@|@haña, haya@
@obtainable@|@optenibel@
@obviously@|@evidentemente@
@occasion@|@be, bes@
@occupation@|@fishi, ofishi, okupashon@
@occurence@|@akontesimientu@
@ocean@|@osean@
@o'clock@|@ora@
@October@|@october, òktober@
@oculist@|@okulista@
@odd@|@strabagante, straño@
@odor@|@holó, oló@
@of@|@di@
@of use@|@adaptabel, adekuá, usabel@
@of which@|@kén su@
@office@|@kantor, ofisina, puesto@
@officer@|@amtenar@
@official@|@amtenar, ofisial@
@offset@|@distansha, distansia@
@offspring@|@yiu@
@oil@|@zeta@
@okay@|@bon@
@okra@|@yambo@
@old@|@bieu@
@old fashioned@|@antiguo, antikuá, antikuado, antiwa@
@old man@|@biehito@
@old woman@|@biehita@
@olive@|@aseituna, oleifi@
@omnibus@|@bùs, konvoi@
@on@|@ariba, den, na (1), pa medio di, riba@
@on account of@|@a kousa di, debí na@
@on that account@|@p'esei, pa esei@
@on the left@|@robes@
@on the other side@|@enfrente@
@on the right@|@drechi@
@on top@|@ariba@
@once more@|@atrobe, trobe(1)@
@one@|@un, un hende, unu@
@one hundred@|@shen@
@one thousand@|@mil@
@onerous@|@pisá@
@onion@|@ciboyo@
@only@|@djis, so, solamente@
@only just@|@apenas@
@open@|@habri@
@open up@|@habri@
@opening@|@apertura@
@openly@|@públikamente@
@opera@|@òpera@
@operation@|@operashon@
@operative@|@obrero, trahadó@
@ophtalmologist@|@okulista@
@opinion@|@huisio, opinion@
@opium@|@opio@
@opportunist@|@oportunista@
@opportunity@|@akontesimientu@
@opposed to@|@anti, kontra@
@opposite@|@anti@
@oppress@|@primi@
@optimism@|@optimismo@
@optimist@|@optimista@
@option@|@alternativo@
@optitism@|@opitimismo@
@optmist@|@optimista@
@or@|@o, òf@
@orange@|@apelsina, apusina, orañe, oraño@
@orchestra@|@orkestra@
@order@|@manda, pedido@
@ordinarily@|@normalmente@
@organism@|@organismo@
@oriental@|@oriental@
@origin@|@orígen, oríhen, prosedensia@
@original@|@original@
@orphan@|@wérfano@
@ortography@|@ortografia@
@ostrich@|@abestrus@
@other@|@otro@
@other than@|@eksepshonalmente@
@ougth to@|@mester@
@our@|@nos@
@out@|@pafó, pafor, pafór@
@out of date@|@antiguo, antikuá, antikuado, antiwa@
@outer@|@eksterno@
@outfit@|@bistí, flus@
@outside@|@eksterno, pafó, pafor, pafór@
@oval@|@oval@
@over@|@ariba, riba@
@over there@|@aya@
@overall@|@enté, enter, henté, henter, hèntèr, total, tur@
@overcoat@|@bachi, yas@
@overground@|@aério@
@overhead@|@aério, ariba@
@owe@|@debe@
@owing to@|@a kousa di, debí na@
@own@|@propio, tin(1), tini@
@owner@|@doño, proprietario@
@oxygen@|@zürstòf@
@oyster@|@uster@
@pace@|@paso@
@pacifist@|@pasifista@
@package@|@empaketá, paketá@
@packet@|@paki@
@pad@|@blòki@
@pagan@|@pagano@
@paganism@|@paganismo@
@page@|@página@
@pail@|@èmer, hèmber, hèmchi@
@pain@|@doló, dolór, due@
@painful@|@doloroso@
@paint@|@ferf@
@painter@|@ferfdó, pintor@
@painting@|@kuadro@
@pair@|@duo, par@
@pal@|@kompai, kompañero@
@palace@|@palasio@
@pale@|@blek@
@palm@|@palma@
@palmtree@|@palma@
@pamphlet@|@foyeto, pamfleta@
@Panama@|@Panamá@
@panties@|@djòki, karson di abou, karsonsio@
@pants@|@karson, karson largo, karson largu, kashon, kashon largo@
@papaya@|@papaya@
@paper@|@documento, papel@
@paperback@|@foyeto@
@paper-basket@|@prùlebak@
@paprika@|@promenton, promèntòn@
@parachute@|@parashüt@
@paradise@|@paradiso@
@paraffin-oil@|@zeta@
@parafin-oil@|@petroleo, zeta@
@paragraph@|@paragraf@
@Paraguay@|@Paraguai@
@parallel@|@paralèl@
@paralyse@|@paralisá@
@parasite@|@parasit@
@parcel@|@paki@
@pardon@|@piedat, pordon@
@parent@|@ruman@
@parenthesis@|@kram@
@parents@|@mayónan, mayornan, mayórnan@
@parents-in-law@|@suegronan, suegrunan@
@parish@|@parokia@
@park@|@park, parker, parki@
@parliament@|@parlamento@
@parlour@|@sal, sala@
@parrot@|@papagai@
@part@|@parti, ròl@
@partially@|@parsialmente@
@particular@|@apart, espesial, speshal, spesial@
@partly@|@parsialmente@
@party@|@fiesta, partida, partido@
@pass away@|@muri@
@passenger@|@pasahero@
@passer-by@|@transeunte@
@passion@|@pashon@
@passionate@|@pashonal@
@passport@|@pasport@
@pastor@|@domi@
@pate@|@kabes@
@patience@|@parenshi@
@patient@|@enfermo, pashènt@
@patrol@|@patruya@
@pavement@|@alsera, asera, stupi, tròtuar@
@pawn@|@sòldá@
@pay@|@paga@
@payment@|@pago@
@peace@|@pas, sosiegu@
@peacock@|@pòwis@
@pear@|@per, pera@
@pearl@|@perla@
@peculiar@|@strabagante, straño@
@pedal@|@pedal@
@peel@|@kaska, pela@
@peg@|@aperitivo@
@pelican@|@ganshi, pelikan@
@pencil@|@pòtlot@
@penicilin@|@penisilin@
@penicillin@|@penisilin@
@peninsula@|@península@
@penis@|@kolochi, patin@
@pen-knife@|@sambèchi@
@penny@|@dòsplaka@
@Pentecost@|@Pentekòste@
@people@|@pueblo@
@pepper@|@peper@
@per@|@den, na (1), pa@
@perchance@|@kisas, podisé, talbes@
@perfect@|@perfekto@
@perform@|@cumpli, drenta, hasi@
@perfume@|@perfume@
@perhaps@|@kisas, talbes, talbes(1)@
@peril@|@peliger, peligro@
@period@|@periodo, punto@
@periodical@|@korant, revista@
@permanent@|@konstant@
@permission@|@permiso@
@persecution@|@persekushon@
@persia@|@Iran@
@persist@|@persistí@
@person@|@persona@
@personal@|@persona, propio@
@personality@|@karakter@
@perspective@|@perspektiva@
@perspiration@|@sodó, transpirashon@
@Peru@|@Perú@
@Peruvian@|@peruano@
@pessimism@|@pesimismo@
@pessimist@|@pesimista@
@petrol@|@gasolin@
@petroleum@|@petroleo, zeta@
@phantom@|@beako, fantasma, spirito, spiritu, zumbi@
@pharmaceutical@|@remedi@
@phase@|@fase@
@phenomenon@|@fenómeno@
@Philippines@|@Filipina@
@philosopher@|@filósofo@
@philosophy@|@filosofia@
@phonetic@|@fonétiko@
@phonetics@|@fonétika@
@phonograph@|@pikòp, tokadisko@
@phosphorus@|@fòsfòr@
@photograph@|@foto@
@photographer@|@fotógrafo@
@photography@|@fotografia@
@photoprint@|@fotokopia@
@physical@|@físico, sísiko@
@physician@|@dòkter, dòkto@
@physicist@|@físiko@
@physics@|@física@
@pianist@|@pianista@
@piano@|@piano@
@pick out@|@kis, skohe@
@picnic@|@piknik@
@picture@|@figura, kuadro@
@pie@|@bolo, tént, tèrt@
@piece@|@parti@
@piece of furniture@|@mueble@
@piece of music@|@piesa@
@pig@|@hochi, kochino, porko@
@pigeon@|@paloma, palombra@
@pigeonhole@|@vak(1)@
@pile@|@monton@
@pill@|@pilder, pildo, píldora@
@pilot@|@pilot@
@pincess@|@prensès@
@pinch@|@kinipí@
@pineaplle@|@anasa@
@pineapple@|@anasa@
@pink@|@klavel, ros@
@pioneer@|@pionero@
@pionner@|@pionero@
@pious@|@deboto, religioso@
@pipe@|@pipa@
@pirata@|@piramida@
@pirate@|@pirata@
@pitch black@|@djuku@
@pity@|@duele, kompashon, kondolensia, piedat@
@place@|@adaptá, buta, logá, pone@
@plain@|@kla@
@plait@|@flèkt, vlèkt, vlèktu@
@plan@|@intenshon, proyekto@
@plane@|@airoplano, avion, planeta@
@planet@|@planeta@
@plank@|@bòrchi@
@plant@|@plachi, planchi, planta@
@plataform@|@podium, programa, waf@
@plate@|@plato, tayó@
@platinum@|@platina@
@platter@|@plato@
@plausible@|@kreibel@
@play@|@hunga komedia@
@plea@|@argumento@
@pleasant@|@agradabel@
@please@|@por fabor@
@pleased@|@kontento, kontentu@
@pleasure@|@bich, delisia, prèt@
@plenty@|@abundansia, abunsansha@
@plot@|@kòmplòt@
@plough@|@ara, plug@
@plug@|@sparplùk@
@plum@|@preimu, prùim@
@plunder@|@roba@
@plunge@|@sambuyá@
@pocket@|@sacu@
@podium@|@podium@
@poem@|@poesia@
@poet@|@poeta@
@poetry@|@poesia@
@point@|@punto@
@point out@|@munstra, mustra@
@poise@|@zoya@
@poison@|@veneno, venenu@
@poisonous@|@venenoso@
@Poland@|@Polonia@
@pole@|@bara, palo, palu@
@policeman@|@polis@
@policy@|@polítika@
@polish@|@pòlesh, pòlshi@
@Polish@|@polako@
@polite@|@galante, gentil@
@politeness@|@gentilesa@
@politician@|@polítiko@
@politics@|@polítika@
@polítiko@|@polítika@
@pool@|@djòin, pul, zuèmpul@
@poor@|@malo, malu, pober@
@popular@|@popular@
@population@|@populashon@
@porch@|@veranda@
@pork@|@carni'porco, porco@
@pornography@|@pòrno, pòrnografia@
@porperty@|@propiedat@
@port@|@haf, puerto@
@portable@|@pòrtebel@
@portal@|@drentada, entrada, porta@
@portrait@|@portrèt, portrèt, potrèt@
@Portugal@|@Portugal@
@Portuguese@|@portugues@
@position@|@posishon@
@positive@|@pósitivo@
@positively@|@definitivamente@
@possess@|@poseé, tin(1), tini@
@possession@|@propiedat@
@possibility@|@oportunidat, posibilidat@
@possible@|@posibel@
@possibly@|@kisas, podisé, talbes(1)@
@post@|@palo, pòst, puesto@
@post office@|@pòstkantor@
@postage stamp@|@stampia@
@postcard@|@pòstkart@
@postman@|@brievenbesteller, pòsterei@
@pot@|@pòchi@
@potato@|@batata@
@pound@|@liber@
@pour@|@basha@
@pour out@|@drama@
@poverty@|@pobresa@
@powder@|@pòlbu, pòlvo@
@power@|@poder, potensia@
@powerful@|@poderoso, potente@
@practical@|@práktiko@
@practice@|@ehersisto, práctica@
@praise@|@alabá, alabansa, gaba, gabamento, gabamentu@
@prawn@|@kabaron@
@pray@|@resa@
@prayer@|@orashon@
@preacher@|@predikant@
@precipice@|@abismo, precipicio@
@precise@|@nèt, nèta, presis@
@precision@|@presishon@
@prefix@|@prefiho@
@pregnan@|@dek@
@pregnant@|@dek, ku bariga, ku barika, na estado, priñá@
@prejudice@|@prehuisio@
@premium@|@premio@
@preparation@|@praparashon@
@preposition@|@preposishon@
@presence@|@presensia@
@present@|@aktual, opsekio, presente, regaldo@
@presentation@|@presentashon@
@present-day@|@aktual@
@presentiment@|@presentimentu@
@president@|@presidente@
@press@|@primi@
@pretext@|@preteksto@
@pretty@|@amabel, bunita, nèchi@
@previous to@|@antes cu, promer cu@
@previously@|@antes, dilanti@
@price@|@preis@
@pricey@|@kostoso@
@pride@|@orguyo@
@primitive@|@primitivo@
@princess@|@prensès, prinsesa@
@principle@|@prinsipio@
@print@|@imprenta, imprimi@
@printed matter@|@imprenta@
@prison@|@piskalat, prison, prizon, prizòn@
@private@|@privá@
@privilege@|@privilegio@
@prize@|@premio@
@probable@|@probable@
@probably@|@probablemente@
@problem@|@labatida, problema@
@procedure@|@prosedimento@
@process@|@prosedimento@
@proclamation@|@deklarashon, proklamashon, publikashon@
@produce@|@produsí@
@product@|@produkto@
@production@|@produkshon@
@profession@|@profeshon@
@professor@|@profesor@
@profit@|@ganashi@
@profound@|@profundo@
@programme@|@programa@
@progress@|@mehorashon, progresá, progreso@
@prohibit@|@prohibí, taha@
@project@|@proyekto@
@projector@|@proyèktòr@
@prologue@|@prólogo@
@promise@|@promesa@
@pronounciation@|@pronunshashon, pronunsiashon@
@proof@|@preba, proba, prueba@
@propaganda@|@porpaganda, propaganda@
@property@|@kalidat, propiedat@
@prophet@|@profeta@
@prostitute@|@mohé di bida@
@prostitution@|@prostitushon@
@protection@|@protekshon@
@protein@|@proteina@
@protest@|@protesta, protestá@
@Protestant@|@protestant@
@protocol@|@protokól@
@proud@|@orguyoso, tribí@
@prove@|@preba, proba@
@proverb@|@proverbio@
@provided that@|@en caso cu, si@
@province@|@provinsia@
@provisional@|@temporal@
@psalm@|@psalm@
@public@|@públiko@
@publication@|@publikashon@
@publicity@|@propaganda@
@publisher@|@editor@
@pudding@|@pudin@
@puechaser@|@kompradó@
@puge@|@limpia, purifiká@
@pull@|@hala, trèk@
@pulley@|@katròl@
@pulse@|@pòls@
@pump@|@pòmp@
@pumpkin@|@pampuna@
@punishment@|@kastigo, kastigu@
@puppet@|@pòpchi@
@purchase@|@kompra, kumpra@
@pure@|@puro, puru@
@purity@|@limpiesa, puresa@
@purple@|@püs@
@purpose@|@meta@
@purse@|@pòtmòni@
@pursuit@|@persekushon@
@pus@|@pus@
@push@|@pusha, stot@
@pussy@|@blònchi, doshi, tonto@
@put@|@buta, pone@
@put down@|@buta, pone@
@put up with@|@sufri@
@putrefy@|@putri@
@puzzle@|@charada, misterio, pùzel@
@pyjamas@|@pidjama@
@pyramid@|@piramida@
@Pyrenees@|@Pirineo@
@quadrangle@|@virhuk@
@qualification@|@kualifikashon@
@quality@|@kalidat@
@quantity@|@kantidat@
@quarrel@|@helengue, pleita, pleito, pleitu, tròbel@
@quarter@|@bario@
@quay@|@waf@
@queen@|@reina@
@question@|@pregunta@
@question mark@|@komia@
@quick@|@ráoido, rápido@
@quickly@|@rápidamente@
@quicksilver@|@luek@
@quik@|@rapido@
@quinine@|@kinina@
@quite@|@altamente, basta, bastante, hopi, marsha, mashá@
@quiver@|@trel@
@quote@|@komia@
@rabbit@|@konèchi, koneu@
@race@|@rasa@
@radical@|@radikal@
@radio@|@radio@
@raffle@|@loteria@
@rain@|@yobe@
@rain season@|@tempu di awaceru@
@rainy season@|@tempu di awaceru@
@raise@|@hisa, rasa, subi, takser@
@rake@|@haladó, harka@
@rand@|@rant@
@random@|@aksidental@
@rank@|@fila, grado, kareda, turno@
@rapid@|@rápido@
@rat@|@djaka@
@rate@|@grado, taksa, takser@
@rather@|@basta, bastante, krenchi, poko@
@raw@|@krudo, kurú@
@ray@|@rayo, strepi@
@razor@|@blet, nabaha@
@reaction@|@reakshon@
@read@|@lesa@
@reader@|@lesado@
@ready@|@kla@
@real@|@efektivo@
@realist@|@realista@
@reality@|@berdá, berdat@
@realize@|@kèch@
@really@|@realmente@
@rear@|@rasa@
@reason@|@causa, motibu@
@reasonable@|@moderá@
@rebate@|@rebaha@
@rebel@|@rebelde@
@rebellion@|@rebelion@
@receipt@|@recibu@
@receive@|@haña, haya@
@recent@|@fresku@
@recognizable@|@rekonosibel@
@recollection@|@memoria@
@recommendation@|@rekomendashon@
@record@|@disko, regester@
@record-player@|@pikòp, tokadisko@
@rector@|@rèktòr@
@red@|@còrá, kòrá@
@red indian@|@indjan@
@redords@|@argif@
@reed@|@kabana@
@reek@|@hole, ole@
@refrigerator@|@frishidèr@
@refuse@|@nenga@
@regal@|@real@
@regard@|@wak, weita, weta@
@register@|@regester@
@regrettable@|@deplorabel, lamentabel@
@regrettably@|@lamentabelmente, lástimamente@
@regular@|@regular@
@regularly@|@regularmente@
@regulary@|@regularmente@
@regulation@|@regla@
@reign of terror@|@teror@
@reject@|@nenga@
@relate@|@conta@
@relative@|@miembro di famía, relativo@
@release@|@laga, libra@
@religion@|@religion@
@religious@|@religioso@
@remaider@|@resto, restu@
@remain@|@keda, resta@
@remainder@|@restu@
@remark@|@observacion@
@remarkable@|@notifikabel, riparabel@
@remote@|@leu@
@rendezvous@|@deit@
@renown@|@distinshon, gloria@
@rent@|@hür@
@renter@|@hürdó@
@repair@|@drecha@
@replete@|@pestá@
@reply@|@kontesta, kontestashon, respondi@
@repose@|@deskanso@
@representation@|@figura@
@representative@|@representante@
@reproach@|@reproche@
@reproduction@|@reprodukshon@
@republic@|@repúblika@
@republican@|@republikano@
@require@|@mester@
@rescue@|@salba@
@resemble@|@liga, parse@
@reservoir@|@kònchi@
@residence@|@kas@
@resist@|@risinbèn@
@respect@|@rèspèt@
@respiration@|@aliento@
@responsible@|@responsabel@
@rest@|@deskanso, resto, restu@
@restaurant@|@restorant@
@restrain@|@goberná, reina@
@result@|@resultado@
@resumé@|@resúmem@
@return@|@bolbe, regreso@
@revenge@|@revancha@
@revolt@|@rebelion@
@revolution@|@revolushon@
@revolver@|@revòlver@
@revue@|@revista@
@reward@|@rekompensa@
@rheumatism@|@reumatismo@
@rhyme@|@reim@
@rhythm@|@ritmo@
@rhythmic@|@rítmiko@
@rice@|@aros@
@rich@|@riko, riku@
@riddle@|@charada, misterio, puzzle@
@ridiculous@|@ridíkulo@
@rifle@|@skòpet@
@right@|@korekto, rason@
@right away@|@inmediatamente, mesora, umbé, umbes@
@right now@|@umbé@
@righteous@|@husto, hustu@
@rigid@|@steif@
@rigour@|@severidat@
@rim@|@rant@
@ring@|@renchi@
@ripe@|@berdè, echu, hecho, hechu, schu@
@ripen@|@hecha@
@risk@|@rísiko, riska@
@rival@|@rival@
@river@|@riu@
@ro conduct oneself@|@komportá@
@road@|@kaminda, karetera@
@roast@|@rosti, rosto, tost@
@rob@|@roba@
@robe@|@bistí, shimí, shimis@
@rock@|@baranka@
@rod@|@bara@
@rogue@|@desgrasiado, desgrasiadu, kanaya@
@rôle@|@ròl@
@role/roll@|@ròl@
@roll@|@ròl@
@roman@|@novela@
@Romania@|@Rumania@
@Romanian@|@rumano@
@romantic@|@romántiko@
@Rome@|@Roma@
@room@|@karto, kuartu@
@rooster@|@gai@
@root@|@rais@
@rope@|@kabuya, liña@
@ros@|@pink@
@rose@|@rosa, roza@
@rostrum@|@tribuna@
@rot@|@puti, putri@
@rough@|@krudo@
@round@|@rondó, rònt@
@route@|@kaminda, karetera, trevesia@
@routine@|@rutina@
@row@|@fila, kareda, rema, turno@
@royal@|@real@
@rub@|@frega@
@rubber@|@kondon, kòndòn, rùber@
@ruby@|@rubí@
@rudder@|@stür@
@rude@|@grosero@
@rudiments@|@alfabèt@
@ruin@|@ruina@
@rule@|@regla, reina@
@ruler@|@gobernadó, gobernador, liñal, linial@
@rum@|@ròm@
@rumor@|@rumor@
@rump@|@kul@
@run@|@huimento, huimentu, kore@
@run across@|@raka@
@run away@|@hui@
@run for election@|@solicitá@
@run up@|@hisa, isa@
@Russia@|@Rusia@
@Russian@|@ruso@
@rust@|@frus, frusa, frustia, frusto@
@Sabbath@|@djasabra@
@sack@|@tas@
@sacred@|@dibino, sagrado, santo, santu@
@sad@|@tristu(1)@
@sadism@|@sadismo@
@sadist@|@sadista@
@sadness@|@disgustu, ferdrit@
@safety@|@seguridat@
@safety pin@|@frèkè, prèkè@
@sagacious@|@inteligente@
@Sahara@|@Sahara@
@sail@|@zeilo, zeilu@
@sailor@|@marinero, nabegante@
@salad@|@salada@
@salary@|@ganamentu, salario, sueldo@
@sales activity@|@merkado@
@salesman@|@bendedó@
@saleswoman@|@bendedora@
@saliva@|@baba@
@salivate@|@baba@
@sallow@|@blek@
@salmon@|@salmou@
@salon@|@sal, sala@
@salt@|@salga, salo, salu@
@salt water@|@awasá@
@salty@|@salu@
@sample@|@muestra@
@sand@|@santo, santu@
@sandal@|@sandalia@
@sandbank@|@klef, ref@
@sandwich@|@sèntuich@
@sap@|@djus@
@sarcasm@|@sarkasmo@
@satellite@|@satelit@
@satisfied@|@kontento, kontentu@
@Saturday@|@dia sabra, djasabra@
@Saturn@|@saturno, sturno@
@sauce@|@sous@
@saucer@|@skotter@
@sausage@|@wòrs, wòrst@
@savage@|@brabu@
@saw@|@za, zag@
@saxophone@|@saksofon@
@say@|@bisa@
@scales@|@balansa@
@scarcely@|@apenas@
@scatter@|@basha@
@scene@|@esena@
@scenery@|@paisahe@
@scent@|@holó, oló@
@scheme@|@proyekto@
@school@|@skol@
@scorpion@|@alakran, lakran, skòrpion@
@scratch@|@huña, huñá@
@scream@|@grita, gritu@
@screen@|@pantaya@
@screw@|@hunga, kohe, koi, kue, limpia, skruf@
@screwdriver@|@skrufdrai@
@scuffle@|@bataya, brigamentu, pelea, peleya@
@sculptor@|@eskultor@
@sea@|@lamá, laman@
@sea turtle@|@tortuga di laman@
@seamstress@|@kosedó, kosturerá@
@seaside@|@kosta@
@season@|@temporada@
@second@|@di dos@
@secret@|@misterio, secretu, sekreto@
@secretary@|@sekretaria, sekretario@
@section@|@vak(1)@
@security@|@seguridat@
@see@|@kontra, mira, sorù, topa@
@see you later@|@te awero, te otro biaha@
@see you later!@|@te despues!@
@see you!@|@te mañan@
@seek@|@buska, rista@
@seem@|@parce@
@seemingly@|@aparentemente@
@seize@|@kohe, koi@
@self@|@mes(1)@
@selfinterest@|@egoismo@
@selfshness@|@egoismo@
@sender@|@afzènder@
@sensation@|@heful, sentimento, sentimentu@
@sense@|@sinti@
@sentence@|@frase, sentido, zin@
@sentido@|@to adjudicate@
@separate@|@apart@
@sepia@|@sekat@
@September@|@september, sèptèmber@
@serenade@|@serenata@
@series@|@seri@
@serious@|@grave, importante, serio@
@sermon@|@predikashi@
@servant@|@kriá@
@serve@|@sirbi@
@set@|@aparato, grupo, kuadria, seri@
@settlement@|@kolonia@
@seven@|@shete, siete@
@seventee@|@djashete@
@seventeen@|@djeshete@
@seventy@|@setenta@
@several times@|@akaso, tia bia, tin bia@
@severity@|@severidat@
@sew@|@kose@
@sewer@|@riol@
@sex@|@sèks@
@sexual@|@seksual@
@shack@|@barak@
@shade@|@sombra@
@shame@|@bergwensa@
@shampoo@|@shampu, zjampo@
@shanty@|@barak@
@shape@|@fasun, forma@
@share@|@parti, sher@
@shark@|@tribon@
@shave@|@feita@
@shawl@|@shal@
@she@|@e@
@shear@|@barak, basha@
@sheep@|@karné@
@sheet@|@blachi, laker, laker di kama@
@she-goat@|@cabritu@
@shell@|@kaska, kokolishi, pela@
@shelling@|@bombardeo@
@shine@|@bria, brilia@
@shinishi@|@grey@
@ship@|@bapor@
@shirt@|@kamisa@
@shiver@|@trel@
@shoe@|@sapato, sapatu@
@shoe-lace@|@feter, veter@
@shoemaker@|@sapaté@
@shoes@|@sapato, sapatu@
@shomaker@|@sapaté@
@shop@|@tienda@
@shore@|@kosta@
@short@|@corticu@
@shortage@|@manko@
@shortcoming@|@manko@
@shorten@|@abreviá@
@shorthand@|@stenografia@
@shortness of breath@|@asma@
@shorts@|@karson, karson di kòrtiko, karson kòrtiko, karson kòrtiku@
@should@|@mester@
@shoulder@|@skouder@
@shout@|@grita, grito, gritu@
@show@|@munstra, mustra@
@shower@|@ducha, dush@
@shuffle@|@meks, meskla@
@shut@|@cera@
@sick@|@malu@
@side@|@banda, kanchi, partida, partido@
@sideboard@|@kashi@
@sideline@|@hòbi@
@sidewalk@|@alsera, asera, stupi, tròtuar@
@sieve@|@koladó, sefta, seftu, tefi@
@sift@|@kola, sefta, skuri@
@sight@|@aspekto, bista@
@sign@|@firma, preba, proba, prueba, seña, señal@
@signal@|@seña, señal@
@signature@|@firma@
@sill@|@drèmpi@
@silver@|@plata@
@sin@|@piká@
@since@|@desde, di, dor, komo, komokiera, pasobra@
@sing@|@kanta@
@singer@|@kantante@
@sink@|@zink@
@sir@|@Mener, señor@
@sister@|@ruman, ruman mohé, ruman muhé@
@sister-in-law@|@kuñá@
@sit@|@brui@
@sitting room@|@hadrei@
@sitting-room@|@hadrei, sal, sala@
@situation@|@situacion@
@six@|@seis@
@sixteen@|@djesseis@
@sixty@|@sesenta@
@sizable@|@konsiderabel@
@size@|@grandura, tamaño@
@skillful@|@hèndi@
@skimpy@|@delegá, flako, flaku@
@skin@|@kueo, kuero, kueru@
@skinny@|@delegá, flako, flaku@
@skirt@|@saya@
@sky@|@shelo, shelu@
@slaughterhouse@|@matansia@
@slaugtherhouse@|@abatuar, matansia@
@slave@|@katibo, katibu@
@slay@|@mata@
@sleep@|@drumi@
@sleeve@|@manga@
@slender@|@flako, flaku@
@slice@|@corta@
@slipper@|@slòf@
@Slovakian@|@eslovako@
@sly@|@bispou, djispou@
@small@|@chikí, chikito, chikitu@
@small room@|@kámara@
@smart@|@bispou, djispou@
@smell@|@hole, holó, ole, oló@
@smile@|@sonrisa@
@smoke@|@huma@
@smuggler@|@kontrabandista@
@snack@|@almuerso@
@snail@|@slak@
@snare@|@trampa@
@sneeze@|@nister, nistro@
@snifter@|@aperitivo@
@snore@|@ronka@
@snorter@|@aperitivo@
@snow@|@sneu@
@so@|@asina, pa@
@so long@|@asta la vista@
@so that@|@pa@
@soap@|@habon@
@sober@|@burachi@
@sobriquet@|@beinam@
@soccer@|@futbòl@
@social@|@soshal, sosial@
@socialism@|@soshalismo, sosialismo@
@socialist@|@soshalista, sosialista@
@society@|@klup, sociedad@
@sociologist@|@sosiólogo@
@sociology@|@sosiologia@
@sock@|@mea, meña, meya@
@sofa@|@sofa@
@soft@|@dushi, moli, suabe@
@soften up@|@molia@
@soil@|@susha, tera@
@soiled@|@fis, sushi@
@soldier@|@sòldá@
@sole@|@so@
@solicitor@|@abogado@
@solitary@|@so@
@solution@|@solushon@
@somber@|@tristu(1)@
@some@|@algun, un hende@
@somebody@|@un hende@
@someone@|@un hende@
@something@|@algu, un cos@
@something new@|@nobedat, notisia@
@sometimes@|@akaso, tia bia, tin bia@
@son@|@yiu homber@
@song@|@kansion@
@soon@|@pronto@
@sorcerer@|@tovernar (1)@
@sorcery@|@bruheria, magia@
@sorrow@|@disgustu, ferdit@
@sort@|@sorto@
@soul@|@alma@
@sound@|@zona, zonido, zonidu@
@soup@|@sòpi@
@sour@|@ásido@
@source@|@fuente@
@south@|@sur, zuid@
@South Africa@|@Sur-Afrika@
@South Afrika@|@Sur-Afrika@
@sow@|@sembra@
@spade@|@koba@
@Spain@|@Spaña@
@Spanish@|@spañó@
@Spanish (person)@|@spañó@
@spare time@|@fakansi, vakashon@
@spark@|@chispa@
@spark plug@|@sparplük@
@speak@|@papia@
@speaker's plataform@|@tribuna@
@spear@|@lansa@
@special@|@apart, espesial, speshal, spesial@
@specialist@|@baké, bakiá, bakianu@
@speciality@|@vak(1)@
@specific@|@spesífiko@
@specimen@|@muestra@
@spectacles@|@brel, brel di bista@
@speechless@|@mudo, mudu@
@speedy@|@rápido@
@sperm@|@djus, spechi@
@spider@|@araña, haraña@
@spiderweb@|@spenderá@
@spinach@|@spinazi@
@spinster@|@soltera@
@spiral@|@spiral@
@spirit@|@ánimo, spiritu@
@sponger@|@parasit@
@spoon@|@kuchara@
@sport@|@deporte@
@spot@|@logá, punto@
@spouse@|@esposa@
@spring@|@bula, fer, fuente, salta, sprin@
@spy@|@spion@
@square@|@firkant, kuadrá, kuadrat@
@square decameter@|@grupo, kuadria@
@squash@|@pampuna@
@squeeze@|@primi@
@ssummon@|@yama@
@stable@|@stabil@
@stage@|@etapa, fase, stashon@
@staid@|@serio@
@staircase@|@trapi@
@stairs@|@trapi@
@stake@|@palo, palu@
@stallion@|@cabai muchu@
@stamp@|@stampia@
@stanchion@|@palo, palu@
@standard@|@norma@
@staple@|@kram@
@star@|@strea, streya@
@star fish@|@strea di laman@
@start@|@cuminsamentu@
@statement@|@deklarashon@
@statement of policy@|@programa@
@station@|@stashon@
@statistics@|@statistik@
@statue@|@estatua@
@stay@|@estadía, keda@
@stay on@|@resta@
@stay over@|@keda@
@steak@|@bifstek, bistek@
@steal@|@hòrta, roba@
@steamship@|@bapor@
@steel@|@stal@
@steer@|@stür@
@stenography@|@stenografia@
@step@|@paso@
@sterile@|@steril@
@sterness@|@severidat@
@stewardess@|@stiwardès@
@stick@|@baston, bastòn, leim, palu, takon, takòn@
@stiff@|@steif@
@still@|@aínda@
@stipulation@|@kondishon@
@stir@|@ánimo, emoshoná@
@stock@|@stòk@
@stocking@|@mea, meña, meya@
@stomach@|@stoma@
@stone@|@pieda, piedra@
@stop@|@para, stashon, stòp@
@storage battery@|@bateria@
@store@|@tienda@
@storey@|@piso@
@stork@|@oyevar@
@storm@|@skual@
@story@|@historia, piso@
