@English@|@Hebrew@
@try (vb.)@|@nissa@
@try on@|@madad@
@t-shirt@|@h'ultsat-ti@
@tube@|@rakevet tah'tit@
@Tuesday@|@yom shlishi@
@turkey@|@tarnegol hodu@
@Turkish (language)@|@turqit@
@turmoil@|@hamon@
@turn (vb.)@|@savav@
@turn in@|@hisgir@
@turn over@|@hafakh@
@turtle@|@tsav@
@TV@|@televizya@
@twelve (f.)@|@shteym-esre@
@twelve (m.)@|@shneym-asar@
@twelvth (f.)@|@hashteym-eser@
@twelvth (m.)@|@hasheym-eser@
@twenty (m. & f.)@|@esrim@
@twenty-one (f.)@|@essim ve'ah'at@
@twenty-one (m.)@|@esrim ve'eh'ad@
@twins (boys)@|@te'omim@
@twins (girls)@|@te'omot@
@two (f.)@|@shtayim@
@two (m.)@|@shnayim@
@two hundred@|@matayim@
@two thousand@|@alpayim@
@type@|@min@
@types of@|@miney@
@UAE@|@ha'emeyruyot hame'uh'adot@
@unanimously@|@pe eh'ad@
@uncle@|@dod@
@unclean@|@tame'@
@under@|@mitah'at, mitah'at (l-), tah'at@
@underground (train)@|@rakevet tah'tit@
@undermine@|@irel (al)@
@underneath@|@mitah'at, mitah'at (l-), tah'at@
@understand@|@hevin@
@understanding@|@bina, leqah'@
@unit@|@yehida@
@United Arab Emirates@|@ha'emeyruyot hame'uh'adot@
@United Kingdom@|@hammamlakha hame'uh'edet@
@United States of America@|@artsot-habrit@
@universe@|@olam@
@university@|@universita@
@until@|@ad, ad ki, ad she@
@upon@|@al@
@upright@|@ken@
@upwards@|@ma"al@
@USA@|@artsot-habrit@
@use@|@histamesh@
@user@|@mishtamesh@
@utensil@|@kli@
@utterance@|@motsa@
@vacation@|@h'ofesh, h'ufsha, pagra@
@valley@|@biq"a@
@value@|@erekh@
@vase@|@agartal@
@vegetable@|@yaraq, yereq@
@vegetables@|@yeraqot@
@vengeance@|@naqam, niqama@
@verb@|@po"al@
@verb pattern@|@binyan@
@verify@|@badaq@
@vertical@|@anakh@
@very@|@me'od@
@very slowly@|@le'at le'at@
@vessel@|@kli@
@vest@|@afuda@
@vet@|@vetrinar@
@veterinarian@|@vetrinar@
@via@|@derekh@
@victory@|@nitsah'on@
@Vietnam@|@vyet-nam@
@villain@|@bliya"al, rasha"@
@vine@|@gafen, gefen@
@vineyard@|@kerem@
@violence@|@h'amas, shod@
@violet@|@sagol@
@virgin (n. f.)@|@betula@
@Virgo (astr.)@|@mazzal-betula@
@vision@|@h'azon, h'izzayon, mar'a@
@visit (vb.)@|@biqer@
@voice@|@qol@
@volunteer (f.)@|@mitnadevet@
@volunteer (m.)@|@mitnadev@
@vow (vb.)@|@nadar@
@voyage@|@derekh@
@voyage (n.)@|@nesi'a@
@vulture@|@nesher@
@wailing@|@misped@
@wait@|@h'ika, tsipa, yih'el@
@waiter@|@meltsar@
@waitress@|@meltsarit@
@walk@|@h'alakh, halah', halakh@
@wall@|@h'oma, qir@
@want@|@ava, ratsa@
@war@|@milh'ama@
@warm@|@h'am@
@warrant@|@tsav@
@wash (vb.)@|@rah'ats@
@wash away@|@shataf@
@wash clothes@|@kibes@
@watch@|@sha"on@
@watch (vb.)@|@histakel (b-/al)@
@water (always pl.)@|@mayim@
@water colours@|@tsiv"ey mayim@
@wave@|@gal@
@way@|@derekh, orah'@
@weak@|@h'allash@
@weak: be ~@|@h'ala@
@wealth@|@osher@
@weapon@|@h'imesh@
@wear@|@lavash@
@weather@|@mezeg-avir, mezeg ha"avir@
@weather forecast@|@tah'azit mezeg ha'avir, tah'azit mezeg ha"avir@
@Wednesday@|@yom revi'i@
@week@|@shavua"@
@week: nice ~ !@|@shavua" tov!@
@weekday@|@yom h'ol@
@weekend@|@sofshavua"@
@weep@|@bakha@
@weight@|@kavod@
@welcome! (pl.)@|@brukhim haba'im@
@welcome! (sg.)@|@barukh haba!@
@welcome: you are ~ !@|@al lo davar!, bevakasha!@
@well@|@beseder, tov@
@well (n.)@|@ma"iyan@
@well (of water)@|@be'er@
@well: be ~@|@yatav@
@west@|@ma"arav@
@whale@|@livyatan@
@what@|@ma@
@What is your (f. s.) name?@|@ma shmekh?@
@What is your (m. s.) name?@|@ma shimkha?@
@what time is it?@|@ma hasha"a?@
@wheat flour@|@solet@
@when@|@ka'asher, ki, kshe-, matay@
@where@|@aye@
@where (directive)@|@le'an@
@where (locative)@|@eyfo@
@where from@|@me'an, me'ayin@
@where to@|@le'an@
@which@|@asher, ma, she-@
@which (f. s.)@|@eyzo@
@which (m. s.)@|@eyze@
@white@|@lavan@
@who@|@asher, mi, she-@
@who does not have... ?@|@lemi eyn...?@
@who has... ?@|@lemi yesh... ?@
@whole@|@kol, shalem, tam@
@whole: be ~@|@shalam@
@wholeness@|@tom@
@whom@|@asher, she-@
@why? for what purpose?@|@lamma@
@why? for what reason?@|@madua"@
@wickedness@|@roa"@
@widow@|@almana@
@widower@|@alman@
@width@|@roh'av@
@wife@|@isha@
@wild animals (collective)@|@h'aya@
@willing: be ~@|@ava@
@win@|@nitsah'@
@wind@|@ruah'@
@window@|@h'allon@
@wine@|@yayin@
@wing@|@kanaf@
@winter@|@h'oref@
@wipe out@|@hikhh'id@
@wisdom@|@bina@
@wise@|@h'akham@
@wish@|@h'afets@
@wish (n.)@|@h'efets@
@with@|@et, im@
@with feeling@|@bregesh@
@with great joy@|@bshimh'a raba@
@with her@|@ita@
@with him@|@ito@
@with me@|@iti@
@with them (f.)@|@itan@
@with them (m.)@|@itam@
@with us@|@itanu@
@with what@|@bamma@
@with you (f. pl.)@|@itkhen@
@with you (f. sg.)@|@itakh@
@with you (m. pl.)@|@itkhem@
@with you (m. sg.)@|@itkha@
@within@|@pnima@
@without@|@bliadey@
@without reason@|@h'inam@
@witness@|@ed@
@wolf@|@ze'ev@
@wolf: she-~@|@ze'eva@
@woman@|@isha@
@womb@|@beten, reh'em@
@wonder@|@pele@
@wonderful: be ~@|@nifla'@
@wood@|@ets@
@woods@|@ya"ar@
@word@|@davar, mila@
@work@|@avoda@
@worker (f.)@|@po"elet@
@worker (m.)@|@po"el@
@world@|@olam@
@worn: become ~@|@hishtafshef@
@worthwhile@|@kda'i@
@write@|@katav@
@writer (f.)@|@soferet@
@writer (m.)@|@sofer@
@writing@|@ktav@
@written: be ~@|@nikhtav@
@yacht@|@ya'khta@
@year@|@shana@
@yellow@|@tsahov@
@Yemen@|@teyman@
@yes@|@ken@
@Yeshiva@|@yeshiva@
@yesterday@|@etmol@
@yet@|@adayin@
@Yiddish@|@yidish@
@yoke@|@mota@
@you (fem. pl.)@|@aten@
@you (fem. sing.)@|@at@
@you (masc. pl.)@|@atem@
@you (masc. sing.)@|@ata@
@you are welcome!@|@al lo davar!, bevakasha!@
@young@|@tsa"ir@
@young bull@|@par@
@young lady@|@na"ara@
@young man@|@bah'ur, gever@
@young ram@|@kavas@
@young woman@|@bah'ura@
@your (f. pl.)@|@shelakhen@
@your (f. sg.)@|@shelakh@
@your (m. pl.)@|@shelakhem@
@your (m. sg.)@|@shelkha@
@you're welcome@|@bevaqasha@
@yourself (fem.)@|@atsmekh@
@yourself (masc.)@|@atsmekha@
@yourselves (fem.)@|@atsmekhen@
@yourselves (masc.)@|@atsmekhem@
@youth@|@bah'ur@
@zebra@|@zebra@
@zero (m. & f.)@|@efes@
@zinc@|@avats@
@Zion@|@tsiyon@
@Zionism@|@tsiyonut@
@zipcode@|@miqqud@
@zoology@|@zo'ologiya@

