@English@|@Estonian@
@speak ill of behind your back@|@taga rääkima@
@speak in riddles@|@mõistujuttu rääkima@
@speak of the devil@|@kus hundist juttu@
@speak to@|@rääkima@
@speak up@|@arvamust välja ütlema, sõna võtma, valjemini rääkima@
@speak your piece@|@suu puhtaks rääkida@
@speakeasy@|@labrakas@
@speaker@|@kõlar, kõneleja, rääkija, spiiker@
@speaking@|@rääkiv ; rääkimine@
@speaking of@|@kui juba jutuks tuli, mis puutub@
@speaking tube@|@ruupor@
@speaking-tube@|@ruupor@
@spear@|@oda@
@spear point@|@odaots@
@spear thrower@|@odaviskaja@
@spearhead@|@odaots@
@spearman@|@odamees@
@spearmint@|@piparmünt (Mentha spicata)@
@spear-thrower@|@odaviskaja@
@spear-throwing@|@odavise@
@special@|@eri-, eriline@
@special case@|@erijuhtum@
@special effect@|@eriefekt@
@special favor@|@eriline teene@
@special knowledge@|@erioskus, eriteadmine@
@special question@|@eriküsimus@
@specialisation@|@spetsialiseerumine@
@specialise@|@spetsialiseeruma, täpsustama@
@specialised@|@erialane, spetsiaalne@
@specialism@|@eriala@
@specialist@|@asjatundja, spetsialist@
@speciality@|@erioskus@
@speciality of the house@|@firmaroog@
@specialize@|@sepetsialiseeruma@
@specialized@|@erialane, kohandatud, spetsiaalne ; eriala-@
@specially@|@spetsiaalselt@
@species@|@liigid, liik@
@specifiability@|@tähistatavus@
@specific@|@eriomane, kindel, spetsiifiline@
@specific gravity@|@erikaal@
@specific performance@|@kohustuste täitmine@
@specifically@|@just, nimelt@
@specification@|@detailne kirjeldus, spetsifikatsioon, täpsustus@
@specifics@|@üksikasjad@
@specify@|@täpselt määratlema, täpsustama@
@specimen@|@eksemplar, isend, näidis@
@specious@|@veenvana näiv@
@speck@|@kübe, täpp@
@speckle@|@laik ; täpitama, tähn, täpp@
@speckled@|@tähniline@
@speckledbill@|@laukhani@
@speckledness@|@tähnilisus@
@speckless@|@plekitu@
@spectacle@|@etendus, näitemäng@
@spectacle case@|@prillitoos@
@spectacle frame@|@prilliraam@
@spectacle furnace@|@prilliraamid@
@spectacle stone@|@< selenite@
@spectacled@|@prill-, prillidega@
@spectacular@|@imetlusväärne, silmapaistev@
@spectator@|@pealtnägija, vaataja, vaatleja@
@spectator sport@|@publikurohke spordiala@
@spectators@|@publik, vaatajad@
@specter@|@minevikumälestus, viirastus@
@spectral@|@spektri-@
@spectral classification@|@spektraalliigitus@
@spectral line@|@spektrijoon@
@spectral type@|@spektriklass, spektritüüp@
@spectro-@|@spektro-@
@spectrography@|@spektrograafia@
@spectrometry@|@spektromeetria@
@spectroscope@|@spektroskoop@
@spectroscopic@|@nähtav, spektroskoopiline@
@spectroscopy@|@spektroskoopia@
@spectrum@|@skaala, spekter@
@spectrum color@|@6 vikerkaarevärvi, spektrivärvid@
@specular@|@peegel-@
@speculate@|@oletama@
@speculation@|@arutlus, spekulatsioon@
@speculative@|@oletuslik, spekulatiivne@
@speech@|@kõne@
@speech abnormality@|@kõnehälve@
@speech act@|@kõneakt@
@speech analysis@|@kõneanalüüs@
@speech recognition@|@kõnetuvastus@
@speechless@|@sõnatu@
@speechway@|@kohalik eripära kõnes@
@speed@|@kiirus ; kiirust ületama@
@speed limit@|@kiirusepiirang@
@speed of sound@|@heli kiirus, helikiirusel@
@speed record@|@kiirusrekord@
@speed recorder@|@kiirusmeerik@
@speed trap@|@kiirusemõõtmispunkt, politseipatrull@
@speed up@|@kiirendama, kiirenema@
@speedboat@|@kiirkaater@
@speeder@|@kihutaja@
@speedily@|@kiiruga@
@speeding ticket@|@trahv kiiruse ületamise eest@
@speedometer@|@spidomeeter@
@speedway@|@krossirada@
@speedwell@|@mailane (Veronica)@
@speedy@|@nobe@
@speleologist@|@speleoloog@
@speleology@|@speleoloogia (koopauurimine)@
@spell@|@(tähthaaval) veerima, jutustama ; mana, loits@
@spell of rain@|@vihmaperiood@
@spell of work@|@(töö)vahetus@
@spellbinding@|@haarav, köitev@
@spellbound@|@lummuses@
@spelling@|@kirjapilt, ortograafia, tähtesitus, õigekiri@
@spelling check@|@õigekirja kontroll@
@spelling checker@|@speller@
@spelling reform@|@õigekirjareform@
@spelling rule@|@aapereegel, õigekirjareegel@
@spelling system@|@kirjaviis@
@spelunker@|@harrastuskoopauurija@
@spend@|@kulutama, veetma@
@spend the time@|@aega veetma@
@spender@|@kulutaja, raiskaja@
@spending@|@kulutamine, kulutus, väljaminekud@
@spendthrift@|@pillaja, pillamine, rahaloopija@
@spent grain@|@õlleraba@
@Spergula@|@näljahein@
@sperm@|@seemnevedelik, sperma@
@sperm whale@|@kaelott@
@spermbank@|@spermapank@
@sperm-whale@|@kaelott, võidisvaal@
@spew@|@välja paiskama ; okse, öökima@
@sphagnum@|@turbasammal@
@sphagnum bog@|@turbaraba@
@sphagnum moss@|@turbasammal@
@sphecid@|@kaevurherilane@
@sphene@|@titaniit@
@Sphenisciformes@|@pingviinilised@
@spheno-@|@kiil- (kiilukujuline), sfeno-@
@sphenography@|@kiilkiri@
@sphere@|@-vald, piikond, sfäär@
@sphere of influence@|@mõjupiirkond@
@sphere of work@|@tegevusvald@
@spherical@|@kerakujuline, sfääriline, ümmargune@
@spherical trigonometry@|@sfääritrigonomeetria@
@spherical zone@|@kera vöö@
@spheroid@|@pöördellipsoid, sferoid@
@spheroidal@|@kerakujuline@
@spherometer@|@sferomeeter@
@spheterize@|@omistama@
@sphincter@|@sulgurlihas@
@Sphingidae@|@surulased@
@sphingine@|@kõigutamatu, sfinksilik@
@sphinx@|@sfinks@
@Sphinx@|@Sfinks@
@sphragistics@|@pitseriteadus, sfragistika@
@spice@|@maitseaine, vürts@
@Spice Islands@|@Vürtsisaared@
@spiced@|@vürtsi-, vürtsitatud@
@spicily@|@elavalt, pikantselt, vürtsikalt@
@spiciness@|@pikantsus, vürtsikus@
@spick and span new@|@tuliuus, tuttuus@
@spick-and-span@|@puhtusest särav, tuttuus@
@spicular@|@nõeljas@
@spicule@|@protuberants@
@spicy@|@pikantne, vürtsikas@
@spider@|@ämblik@
@spider monkey@|@ämmalahv@
@spider plant@|@tupsrohtliilia@
@spider's web@|@ämblikuvõrk@
@spiderweb@|@ämblikuvõrk@
@spiderwort@|@tradeskantsia@
@spidery@|@peenekirjaline, ämblikke täis, ämblikutaoline@
@spiel@|@heietama, müügijutt ; pikalt kiitma@
@spiflicate@|@jõuga asju ajama, peksma@
@spigot@|@kraan, prunt, punn@
@spike@|@pii@
@spike your guns@|@tagasi hoidma@
@spikes@|@(reha, naelkingad, äkke) piid@
@spile@|@(kasemahla) renn, punn, teivas@
@spill@|@välja pudenema ; leke, üle ajama@
@spill blood@|@verd valama@
@spill over@|@laiali valguma, üle serva voolama@
@spill the beans@|@saladust välja lobisema@
@spillage@|@leke, mahavalgunud vedelik@
@spin@|@tiirlema, tsentrifuugima@
@spin the bottle@|@pudelit keerutama@
@spinach@|@spinat@
@spinal@|@selja-@
@spinal cord@|@seljakeelik@
@spindrier@|@trummelkuivati, tsentrifuug@
@spin-drier@|@trummelkuivati@
@spin-dry@|@(pesu) tsentrifuugima@
@spine@|@selg (ka raamatu), selgroog@
@spinebone@|@selgroog@
@spine-chilling@|@jube, judinaid tekitav@
@spinel@|@spinell@
@spineless@|@selgrootu@
@spinnaker@|@spinnaker@
@spinning@|@pöörlev ; ketramine@
@spinning axis@|@pöörlemistelg@
@spinning frame@|@raamketrusmasin@
@spinning machine@|@ketrusmasin@
@spinning top@|@vurr, vurrkann@
@spinning wheel@|@vokiratas, vokk@
@spin-off@|@heit- (ettevõte), kõrvalsaadus@
@spinous@|@ogakujuline, ogaline, okkaline@
@spinous-tailed@|@ogalise sabaga@
@spinster@|@ketraja, vanatüdruk@
@spin-the-bottle@|@pudelikeerutamine (mäng)@
@spiny-tailed@|@oga-@
@Spiraea@|@enelas@
@spiral@|@spiraalköites ; spiraal, spiraalne@
@spiral arm@|@spiraalharu@
@spiral binding@|@spiraalköide@
@spiral galaxy@|@spiraalgalaktika@
@spiral nebula@|@spiraalne udukogu@
@spiral spring@|@spiraalvedru@
@spiral staircase@|@keerdtrepp@
@spiral stairs@|@keerdtrepp@
@spire@|@kirikutorn, tornitipp@
@spirit@|@hing, piiritus, vaim@
@spirit lamp@|@piirituslamp@
@spirit level@|@piirituslood, vaaderpass, vesilood@
@spirit of the time@|@aja vaim@
@spiritedly@|@elavalt, hingestatult@
@spiritism@|@spiritism@
@spiritless@|@hingetu@
@spirit-level@|@vaaderpass, vesilood@
@spirit-refreshing@|@hingekosutav@
@spirits@|@alkohol, aurud, hinged@
@spirits of salt@|@soolhape@
@spiritual@|@vaimne ; spirituaal@
@spiritual leader@|@vaimne juht@
@spiritualism@|@spiritism, spiritualism@
@spiritualist@|@spiritist, spiritualist@
@spirituality@|@vaimsus@
@spiritually@|@vaimselt@
@Spirochaetaceae@|@keeritsbakterilised@
@spirochaete@|@keeritsbakter@
@spirula@|@mollusk@
@spit@|@(kass) turtsuma ; maasäär, sülitama@
@spit it out@|@suud puhtaks rääkima, välja ütlema@
@spit on your hands@|@pihku sülitama@
@spitball@|@süljelärakas@
@spite@|@kihvatama, kihvatus, vahkviha ; haavama@
@spitting cobra@|@kaeluskobra@
@spitting image@|@teisik, täpne koopia@
@spittoon@|@süljekauss@
@spitz@|@spits@
@spiv@|@(Br) pisispekulant, pisisuli, tööta toime tulija@
@spizzerinctum@|@võidutahe@
@splanchnic@|@sisikonna-@
@splash@|@läigatus ; pladistama, plärtsatus, pritsima@
@splash system@|@(mootori) õliprits@
@splay@|@laiali ajama, nikastama ; kohmakas, välja sirutama@
@spleen@|@põrn@
@splendent@|@kiiskav, läikiv@
@splendor@|@ilu, silmipimestavus, suursugusus@
@splendour@|@hiilgus, suursugusus, sära@
@splenetic@|@õel@
@spleno-@|@põrna-, spleno-@
@splice@|@liitekoht, pleiss ; ühendama, pleissima, tappima@
@splice the main brace@|@besaanroot sisse (käsklus)@
@spline@|@tihvt@
@splint@|@lahas@
@splinter@|@peerg, pind@
@split@|@lõnenema ; lõhe ; poolitatud@
@split hairs@|@juuksekarva lõhki ajama@
@split nut@|@lõhestusmutter@
@split personality@|@isiksuse kahestumine, lõhestatud isiksus@
@split the difference@|@poolele teele vastu tulema@
@splits@|@spagaat@
@splitting headache@|@lõhkuv peavalu@
@splodge@|@larakas, plekk@
@splotch@|@laik, plekk@
@splutter@|@pritsima, sõnu sülitama, turtsud, turtsuma ; podin@
@spoil@|@riknema@
@spoiled child@|@ülekäte läinud laps@
@spoiler@|@rõõmurikkuja, spoiler@
@spoilt@|@rikutud@
@spoke@|@kodar@
@spoke clip@|@kodarapinguti@
@spoken@|@kõne-, räägitud@
@spoken language@|@kõnekeel@
@spokes@|@kodarad@
@spokesman@|@pressiesindaja, pressisekretär@
@spokesperson@|@eestkõneleja@
@spokeswoman@|@esindaja@
@spondulix@|@(raha) rull, nuts@
@spondylitis@|@selgroopõletik, spondüliit@
@sponge@|@käsn (ka loom), tampoon@
@sponge cake@|@keeks@
@spongebag@|@kosmeetikakott@
@spongecake@|@keeks@
@sponging@|@(käsnaga) hõõrumine@
@spongio-@|@käsn-, spongio-@
@spongy@|@käsnjas, poorne@
@sponsor@|@sponsor ; sponsoreerima@
@sponsorship@|@sponsorlus@
@spontaneity@|@spontaansus@
@spontaneous@|@spontaanne@
@spontaneously@|@spontaanselt@
@spook@|@ehmatama, kolli tegema@
@spooky@|@tondi-@
@spooky castle@|@tondiloss@
@spool@|@pool (fototarvik)@
@spoon@|@lusikas, musitama, ullike ; lusikaga ammutama@
@spoon oar@|@keerdus labaga aer@
@spoonbill@|@luitsik@
@spoondrift@|@tuisklumi (merel), vahupritsmed (laineharjadelt)@
@spooney@|@kudrutav, kõrvuni sisse võetud, musitav@
@spoonful@|@lusikatäis, supilusikatäis@
@spoon-meat@|@lusikaga söödav toit@
@spoonwood@|@mägiloorber (Kalmia latifolia)@
@spoony@|@armastusega löödud, tobe@
@spoor@|@(metslooma) jäljed, junnid ; jälitama, jäljerada@
@spor-@|@< sporo-@
@Sporades@|@Sporaadid@
@sporadic@|@juhuti esinev, sporaadiline@
@sporadically@|@juhuti, sporaadiliselt@
@sporangium@|@eosla, sporangium@
@spore@|@eos, spoor@
@spore cell@|@basiid, eoskand@
@spore sac@|@eoskott@
@sporidium@|@sporiidium@
@sporo-@|@eose-, sporo-@
@sporocarp@|@eospesa, sporokarp@
@sporocyst@|@kotlane, sporotsüst@
@sporocyte@|@sporotsüüt@
@Sporozoa@|@eosloomad@
@sporozoite@|@sporozoiit@
@sport@|@huvi ; sporti tegema, sport, sportima@
@sport car@|@sportauto@
@sport medicine@|@spordimeditsiin@
@sporting goods@|@spordikaubad@
@sportive@|@mänguline, sportlik@
@sportiveness@|@ajaviide, mängulisus@
@sports car@|@sportauto@
@sports jacket@|@spordijakk@
@sportscaster@|@spordireporter@
@sportsmanship@|@aus mäng, spordiosavus, sportlaslikkus@
@sportswear@|@spordirõivad@
@sporty@|@kenitlev (riie), moodsalõikeline, spordi-, sportlik@
@spot@|@laik ; märkama@
@spot card@|@kliber (brid˛is mittehonöör)@
@spot check@|@huupi proovima@
@spotlight@|@rambivalgus@
@spotlit@|@eredalt valgustatud, tähelepanu keskpunktis olev@
@spot-on@|@punktuaalne, ülitäpne@
@spotted crake@|@täpikhuik (Porzana porzana)@
@spotted sandpiper@|@tumetilder (Tringa erythropus)@
@spotted skunk@|@laikvinuk@
@spotted woodpecker@|@kirjurähn@
@spotter@|@julgestaja, sisekontrolör, vaatleja@
@spotty@|@vinniline@
@spouse@|@abikaasa@
@spout@|@tila@
@spouter@|@(Br) pantima ; purse, purskama (er hooti), vadistama@
@sprain@|@nihestama, välja väänama@
@sprained@|@välja väänatud@
@sprat@|@kilu@
@Sprattus@|@kilu@
@sprawl@|@lösutama@
@spray@|@piserdama ; pihus, sprei@
@spray gun@|@värvipüstol@
@sprayer@|@pihusti, prits, pulverisaator@
@spread@|@(võileiva)kate, kõrvuti leheküljed, levima ; levik@
@spread 'em@|@jalad laiali (käsklus, nt politseinikult)@
@spread it on thick@|@(jutule) värvi lisama@
@spread out@|@hajuma, laiali laotama, levima@
@spread-eagle@|@käed-jalad laiali@
@spread-eagled@|@patriootiline@
@spreadsheet@|@arvutustabel@
@spree@|@hoog, joomatuur, tujudele järeleandmine@
@spreed@|@hinnavahe@
@spring@|@allikas ; kargama, kevad, vedru, välja purskuma@
@spring a leak@|@lekkima hakkama@
@spring chicken@|@esimeses nooruses@
@spring lock@|@vedrulukk@
@spring mattress@|@vedrumadrats@
@spring onion@|@noor sibulamugul@
@spring seat@|@vedruiste@
@spring to your feet@|@jalule kargama@
@spring up@|@tekkima, välja kasvama, võrsuma@
@spring vetch@|@hiirehernes, suvivikk@
@springboard@|@hoolaud, trampliin@
@spring-clean@|@suurpuhastust tegema@
@spring-cleaning@|@kevadine suurpuhastus@
@springing@|@hüplev, poegima hakkav, vetruv@
@springlike@|@kevad-, vedrukujuline@
@springlock@|@vedrulukk@
@spring-lock@|@vedrulukk@
@springs@|@vedrud@
@springtide@|@õitselepuhkemine@
@springtides@|@süsüügilised looded@
@springwater@|@allikavesi@
@sprinkle@|@piserdama, puistama@
@sprinkler@|@piserdi, veeprits, vihmuti@
@spritsail@|@priitpuri@
@sprocket@|@hammasrihmaratas, hammastrummel, ketiratas@
@sprout@|@idanema, võrsuma@
@sprouting@|@idanemine@
@sprouts@|@rooskapsas@
@spruce@|@kaunistama@
@spruce up@|@(rõivastust) kohendama, ilusamaks tegema@
@spruceness@|@hoolitsetus, korralikkus@
@spry@|@pealehakkamist täis, reibas@
@spud@|@istutuslabidas, kartul ; uuristama, koorimislabidas@
@spumescent@|@vahutav@
@spun@|@kedratud@
@spun silk@|@siidkedrus@
@spun yarn@|@kedratud lõng@
@spunk@|@särtsakus, südikus, tulehakatis@
@spunkie@|@() virvatuli@
@spunky@|@kartmatu@
@spunyarn@|@siimusgarn@
@spur@|@kannus ; kannustama@
@spurious@|@(laps) sohi-, muust allikast, õigustamatu@
@spuriousness@|@võltsitus@
@spurn@|@põlastusega tagasi lükkama, ära põlgama@
@spurs@|@kannused@
@spurt@|@juga, spurt, sööst ; purskuma, sööstma@
@spurtle@|@pudrukulp@
@sputter@|@kähmama ; turtsatus, sülge pritsima, turtsuma@
@spy@|@luuraja, nuhk ; nuhkima@
@spyglass@|@pikksilm@
@spyglasses@|@binokkel@
@spying@|@luuramine@
@sq@|@ruut-, ²@
@squab@|@pehme sohva ; jässakas, tuviliha, tuvipoeg@
@squabash@|@(kriitikaga) maatasa tegema@
@squabbish@|@trullakas@
@squabbling@|@nääklemine@
@squacco heron@|@koldhaigur (Ardeola ralloides)@
@squad@|@meeskond, patrull, rühm@
@squadron@|@eskaader, eskadron@
@squalid@|@armetu@
@squall@|@pagi@
@squally@|@hooti kärarikas, iilinguline, tuulepuhangutega@
@squalor@|@närusus, räpasus@
@squamous@|@lame, soomusekujuline@
@squander@|@hukka minna laskma, käest laskma; pillamine, pillama@
@squanderer@|@pillaja, raha tuulde loopija@
@squandering@|@ekstravagantne kulutamine@
@square@|@nurgik ; ruudukujuline, otsene, ruut, tasa, väljak@
@square accounts@|@arveid õiendama@
@square away@|@korda tegema, koristama@
@square bracket@|@nurksulg@
@square brackets@|@nurksulud@
@square deal@|@õiglane tehing@
@square foot@|@ruutjalg@
@square inch@|@ruuttoll@
@square measure@|@pinnaühik@
@square meter@|@ruutmeeter@
@square mile@|@ruutmiil@
@square number@|@...), täisruut (arvud 1@
@square of opposition@|@loogiline ruut@
@square off@|@rusikaid püsti ajama@
@square peg in a round hole@|@sea seljas sadul@
@square root@|@ruutjuur@
@square sail@|@raapuri@
@square the circle@|@ringi kvadratuuri leidma, võimatut tahtma@
@square topsail@|@marsspuri@
@square up@|@arveid klaarima, tagasi maksma@
@square with@|@häid suhteid looma, kooskõlla viima@
@square with the facts@|@faktidega kooskõlas olema@
@squared@|@ruudus@
@squarely@|@otse (keset)@
@square-rigged@|@raapurjedega@
@squash@|@kabatokk, seinatennis ; laiaks litsuma@
@squashed flat@|@laiaks litsutud@
@squashing@|@lurtsuv@
@squashy@|@lirtsuv@
@squat@|@kükitama ; peavari@
@squat down@|@kükitama, maha kükitama@
@squatty@|@töntsakas@
@squawk@|@protestikarje ; prääksatama, prääksatus, vinguma@
@squawk box@|@valjuhääldi@
@squeak@|@kriiksuma ; koputaja@
@squeal@|@vigisema, vinguma@
@squeamish@|@(toidu suhtes) valiv, peps, pirtsakas@
@squeamishness@|@iiveldustunne@
@squeegee@|@aknakaabits, filmipühkur, kummiraakel@
@squeeze@|@pigistama, pitsitama@
@squeeze out@|@välja pigistama@
@squelch@|@lämmatama, maha suruma@
@squib@|@humoorikas vahepala, pila, tulikonn (ilutulestikus)@
@squid@|@kalmaar@
@squidge@|@suur kirp (kirbumängus)@
@squidgy@|@rõske@
@squiffed@|@purjus@
@squiffy@|@< squiffed@
@squiggle@|@loetamatu käekiri, lühike väänlev joon@
@squint@|@kallak, kissitama, kõõritama ; kiirpilk@
@squint-eyed@|@kõõrsilmne@
@squirm@|@vingerdama@
@squirrel@|@orav@
@squirrel away@|@oma urgu koguma@
@squirt@|@joana purskama ; juga, prits, pritsima, törts@
@squirt can@|@õlikann@
@squirt gun@|@veepüstol, värvipüstol@
@squirts@|@kõhulahtisus@
@SR@|@SR (erirelatiivsus)@
@Sri@|@Sri@
@Sri Lanka@|@Sri Lanka@
@SSE@|@lõunakagu@
@SSR@|@sekundaarradar@
@St Elmo's fire@|@püha Elmo tuli@
@St Vitus's dance@|@korea, tantstõbi@
@St. Charles's Church@|@Kaarli kirik@
@St. George's Night@|@Jüriöö@
@St. John's Church@|@Jaani kirik@
@St. Nicholas's Church@|@Niguliste kirik@
@St. Olaf's Church@|@Oleviste kirik@
@stab@|@torkama@
@stab in the back@|@nuga selga lööma, reetma@
@stabbing pain@|@torkav valu@
@stabbingly@|@torkavalt@
@stabiles@|@püsilased@
@stabilise@|@stabiliseerima, stabiliseeruma, tasakaalu viima@
@stabiliser@|@stabilisaator@
@stability@|@(laeva) püstivus, stabiilsus@
@stabilize@|@stabiliseerima@
@stabilizer@|@stabilisaator, stabiliseerija@
@stable@|@stabiilne ; tall@
@stable door@|@talliuks@
@stableboy@|@tallipoiss@
@stabling@|@hobuse majutamine, talli viimine@
@staccato@|@staccato (katkestatult)@
@stack@|@hakk ; üksteise otsa kuhjama, virn@
@stack up@|@kuhjama@
@stacked@|@järjestatud, pakitud@
@stadium@|@(arengu)staadium, staadion (ka mõõtühik ca 185m)@
@staff@|@koosseis, personal, sau, töötajad@
@staff angle@|@nurgapost (krohvi, tapeedi kaitseks)@
@staff department@|@personaliosakond@
@staff turnover@|@kaadri voolavus@
@stag@|@isahirv@
@stag-beetle@|@põderpõrnikas (Lucanus cervus)@
@stage@|@aste, etapp, lava@
@stage coachman@|@postipoiss@
@stage direction@|@lavastamine@
@stage door@|@näitlejate sissekäik@
@stage fright@|@lavakramp@
@stage lighting@|@lavavalgustus@
@stage name@|@lavanimi@
@stagecoach@|@reisivanker@
@stage-coach@|@postitõld@
@stage-manager@|@inspitsient@
@stagestruck@|@näitlejakarjäärist unistav, teatrist sisse võetud@
@stagey@|@poosetav, teatraalne@
@stagger@|@rivist välja viima, vaaruma, vaheldumisi paigutama@
@staggered@|@jaotatud, järkjärguline, vahelduv@
@staggering@|@tuikuma panev, vaaruv, vapustav@
@staggering belief@|@kõikumalöönud usk@
@staggering blow@|@oimetuks tegev hoop@
@Stagirite@|@stageiralane (Aristoteles)@
@stagnant@|@seisva veega, tagurlik@
@stagnation@|@arenguseisak, stagnatsioon@
@stag-party@|@meeste pidu@
@stagy@|@lavastatud, teatraalne@
@staid@|@kindel, tõsine, vaoshoitud@
@staidness@|@tasakaalukus, väärikus@
@stain@|@määrima, peits ; toonima, plekk@
@stained@|@peitsitud, plekiline, toonitud@
@stained glass@|@toonitud klaas, vitraa˛@
@stained glass window@|@vitraa˛aken@
@stainless@|@roostevaba@
@stainless steel@|@roostevaba teras@
@stainless-steel@|@roostevabast terasest@
@stair@|@trepiaste@
@staircase@|@trepikoda, trepp@
@staircase curve@|@trepimade@
@stairs@|@trepp@
@stairway@|@trepp@
@stairwell@|@trepiaht@
@stake@|@osak, tuleriit, vai, võidusumma@
@stake out@|@märgistama, piirkonda määrama, silma all hoidma@
@stakeholder@|@aktsionär, osanik, sidusgrupp@
@stakeout@|@valvepost@
@stakes@|@mängupandud rahasumma, panus@
@Stakhanov@|@Stahhanov@
@Stakhanovism@|@stahhanovlus@
@Stakhanovite@|@stahhanovlane@
@stalactite@|@stalaktiit (laes)@
@stalagmite@|@stalagmiit (põrandal)@
@stalemate@|@patt@
@staleness@|@ebaoriginaalsus, iganenus, luitumus@
@stalk@|@jälitama, kõmpima ; vars, luurama@
@stalked@|@tüvega, varrega@
@stalker@|@jälitaja, väsimatu sammuja@
@stalk-eyed@|@varre otsas asuvate silmadega@
@stalking@|@hiiliv, jälitamine, varitsev ; varitsemine@
@stalking-horse@|@kattevari@
@stalkless@|@varretu@
@stalky@|@varretaoline@
@stall@|@kabiin, latter, seismajäämine ; seiskama@
@stallage@|@kioskirent, müügiluba@
@stall-fed@|@lauda-, nuum-, talli-@
@stall-feed@|@laudas nuumama@
@stallholder@|@müügileti omanik@
@stallion@|@sugutäkk, täkk@
@stamina@|@sitkus, visadus@
@stammer@|@kogelema, raskustega ütlema ; kogelemine@
@stamp@|@mark, stants ; tembeldama, tempel@
@stamp dealer@|@margimüüja@
@stamp hammer@|@stants@
@stamp on@|@(millegi) peal trampima, pressima@
@stamp pad@|@templipadi@
@stamped@|@tembeldatud@
@stampede@|@kiin ; kiini jooksma@
@stamping@|@lehtstantsimine, markeerimine, surutrükk, tembeldus@
@stance@|@(keha)asend, hoiak, kehahoiak, suhtumine@
@stanchion@|@piller@
@stand@|@seisma ; alus, statiiv@
@stand a chance@|@väljavaadet omama, võimalust omama@
@stand a good chance@|@head väljavaadet omama@
@stand aside@|@kõrvale astuma@
@stand at attention@|@valvel seisma@
@stand at ease@|@vabalt seisma@
@stand away@|@selga pöörama, ära pöörduma@
@stand back@|@eemale hoidma, mitte liginema, tahapoole hoidma@
@stand back of@|@tahapoole hoidma@
@stand behind@|@garanteerima, pidevalt hooldama@
@stand by@|@kõrvalt vaatama, valmis olema@
@stand corrected@|@oma viga tunnistama@
@stand down@|@lõpetama (tööd, tegevust), tunnistajapingist lahkuma@
@stand firm@|@kindlaks jääma@
@stand first@|@esile tõusma, esimeseks tulema@
@stand for@|@(välja) kannatama, (välja) kannatama, esindama, esindama, toetama, toetama, tähistama, tähistama@
@stand guard@|@vahipostil seisma@
@stand guard over@|@valvama@
@stand in@|@(kellegi) kohale asuma, asendama@
@stand in stead@|@(heas) kirjas olema, kasulik olema@
@stand of arms@|@varustus (ka musket ja tääk)@
@stand off@|@kõrvale hoidma, merele suunduma, vältima@
@stand on@|@juurde kindlaks jääma@
@stand on a course@|@kurssi hoidma@
@stand on a straight course@|@kindlat kurssi hoidma@
@stand on ceremony@|@tavadest kinni pidama, tseremoonitsema@
@stand on end@|@otsa peal seisma, püsti seisma (juuksed)@
@stand on your own feet@|@iseseisev olema, jalgu alla saama@
@stand on your own two feet@|@ise hakkama saama@
@stand on your rights@|@oma õigusi nõudma@
@stand out@|@esile tõusma, mitte sekkuma@
@stand pat@|@enda juurde jääma@
@stand still@|@liikumatult seisma, paigal püsima@
@stand the test@|@proovi läbi tegema@
@stand to@|@(tegutsemiseks) valmistuma, valmis olema@
@stand to lose@|@kaotada võima@
@stand to reason@|@iseenesest selge olema, mõistetav olema@
@stand up@|@püsti tõusma, vastu pidama@
@stand up and be counted@|@avalikult toetama@
@stand up for@|@(kellegi) eest välja astuma, kaitsma@
@stand up to@|@vastu seisma@
@stand up with@|@isamees olema, pruutneitsi olema@
@stand with arms akimbo@|@käed puusas seisma@
@stand your ground@|@mitte taganema@
@standalone@|@eraldiseisev@
@standard@|@standardne ; standard, standart, tase@
@standard compass@|@peakompass@
@standard error@|@standardhälve@
@standard of living@|@elatustase@
@standard-gage@|@laiarööpmeline (raudtee)@
@standard-gauge@|@laiarööpmeline (raudtee)@
@standardise@|@standardiseerima, ühtsustama@
@standardization@|@standardiseerimine@
@standardized@|@standardiseeritud, standardne@
@standby@|@asendusnäitleja ; varu-, varumängija@
@stand-by@|@passiiv-, varu-@
@standing@|@seisus, staatus@
@standing broad jump@|@kohalthüpe (kaugushüpe)@
@standing order@|@püsikorraldus@
@standing orders@|@püsikorraldused, vahikorraldused@
@standing wave@|@seisev laine@
@standings@|@edetabel@
@standoffish@|@ebasõbralik, tõrjuv@
@standpoint@|@seisukoht@
@standstill@|@seisak@
@stand-to@|@koosviibimine, üritus@
@stannic@|@inglistina-, tina-@
@stannic acid@|@tinahape@
@stannous@|@tina-@
@stanza@|@salm@
@stanzaic@|@salmidest koosnev@
@stapes@|@jalus (kuulmeluu)@
@staphylo-@|@kobar-, kurgunibu-, stafülo-@
@staphylococcus@|@stafülokokk@
@staple@|@kirjaklamber, põhikaup, põhitoidus, toore ; peamine@
@staple fiber@|@staapelkiud@
@staple punch@|@klammerdaja@
@staples@|@esmatarbekaubad, kirjaklambrid@
@stapling press@|@kiirköitja@
@star@|@staar, täht, tärn ; peaosa mängima@
@star aniseed@|@tähtaniis@
@Star Chamber@|@salakohus, Tähekoda@
@star chart@|@taevakaart@
@star cluster@|@täheparv@
@star jelly@|@pilvvetikas@
@star map@|@taevakaart@
@Star of Bethlehem@|@Petlemma täht@
@star of David@|@Taaveti täht (juudimärk)@
@star system@|@tähesüsteem@
@Star Trek@|@Star Trek@
@Star Wars@|@Tähtede Sõda@
@starblind@|@poolpime@
