@English@|@Gothic@
@reject@|@bi-wandjan, wv., in-widan, sv., uf-brikan, sv., us-waírpan, sv.@
@rejoice@|@faginôn, wv., sifan, wv.@
@relate@|@spillôn, wv.@
@relationship@|@sibja, sf.@
@remain@|@af-lifnan, wv., bi-leiban, sv., ga-standan, sv., saljan, wv., þaírh-wisan, sv., wisan, sv.@
@remember@|@ga-máudjan, wv., ga-munan, pret.-pres.@
@remembrance@|@ga-máudeins, sf., ga-minþ sn., ga-munds, sf.@
@remind@|@ga-máudjan, wv.@
@remission@|@af-lageins, sf., af-lêts, sm., fra-lêts, sm.@
@remnant@|@láiba, sf.@
@remove@|@af-niman, sv.@
@rend@|@dis-skreitan, sv., ga-taúra, wm., tahjan, wv.@
@renew@|@ana-niujan, wv.@
@renounce@|@af-qiþan, sv.@
@renowned@|@mêrs, adj.@
@rent@|@dis-skritnan, wv.@
@repay@|@us-giban, sv., us-gildan, sv.@
@repent@|@idreigôn, wv.@
@repentance.@|@idreiga, sf.@
@report@|@háuseins, sf., mêriþa, sf.@
@reproach@|@id-weit, sn., id-weitjan, wv.@
@reproof@|@ga-sahts, sf.@
@reprove@|@ga-sakan, sv., id-weitjan, wv.@
@request@|@bida, sf.@
@requirement@|@þaúrfts, sf.@
@resemble@|@ga-leikôn, wv.@
@reside@|@bauan, wv.@
@resound@|@swêgan@
@respect of persons@|@wilja-halþe wf.@
@response@|@anda-hafts, sf.@
@restore@|@aftra gabôtjan, ga-satjan, wv.@
@restrain@|@suwen@
@resurrection@|@ur-rists, sf., us-stass, sf.@
@reveal@|@and-huljan, wv., baírhtjan, wv., ga-baírhtjan, wv.@
@revelation@|@and-huleins, sf.@
@revenge@|@fra-weit, sn.@
@reverence@|@áistan, wv., blôtan, sv., ga-áistan, wv., in-weitan, sv.@
@revile@|@id-weitjan, wv., lauan, sv.@
@reviled@|@fra-kunþs, pp.@
@reward@|@láun, sn., mizdô, wf., sigis-láun, sn., us-giban, sv., us-gildan, sv.@
@rich@|@gabigs (gabeigs), adj.@
@riches@|@gabe wf., mammôna, wm.@
@right@|@raihts, adj., taíhswa, w. adj.@
@right hand@|@taíhswa, sf., taíhswô@
@righteous@|@ga-raíhts, adj., us-waúrhts, adj.@
@righteousness@|@ga-raíhte wf., ga-raíhteins, sf.@
@rightly@|@raíhtaba, adv., waíla, adv.@
@rip up@|@dis-skreitan, sv.@
@ripped apart@|@dis-skritnan, wv.@
@rise@|@reisan, sv., ur-rinnan, sv., us-standan, sv.@
@rise quickly@|@us-hláupan, sv.@
@rise up@|@us-standan, sv.@
@river@|@a£a, sf.@
@road@|@gaggs, sm.@
@rob@|@bi-ráubôn, wv., fra-wilwan, sv., wilwan, sv.@
@rock@|@stáins, sm.@
@rocky@|@stáinahs, adj.@
@roll@|@at-walwjan, wv.@
@roll about@|@waltjan, wv.@
@roll away@|@af-walwjan, wv.@
@roof@|@hrôt, sn.@
@room@|@hêþjô, wf., rûms, sm.@
@rooster@|@hana, wm.@
@root@|@waúrts, sf.@
@round about@|@bi-sunjanê, adv.@
@rub@|@bnauan, sv.@
@rule@|@faúra-standan, sv., ga-fráujinôn, wv., ga-waldan, sv., reik sn., reikinôn, wv., waldan, sv.@
@rule over@|@fráujinôn, wv.@
@ruler@|@faúr-stasseis, sm., faúra-maþleis, sm., fráujinônds, m., kindins, sm., reiks, m.@
@ruler: be the ~@|@raginôn, wv.@
@rumour@|@mêriþa, sf.@
@run@|@du-at-rinnan, sv., du-rinnan, sv., rinnan, sv., þragjan, wv.@
@run about@|@bi-rinnan, sv.@
@run hasten together@|@ga-rinnan, sv.@
@run to one@|@und-rinnan, sv.@
@running@|@runs, sm.@
@running out@|@ur-runs, sf., ur-runs, sm.@
@rush@|@sniwan, sv.@
@rush violently@|@run gawaúrkjan sis@
@rust@|@nidwa, sf.@
@Sabbath@|@sabbatô@
@Sabbath: day before the ~@|@fruma sabbatô@
@sackcloth@|@sakkus, sm.@
@sacrifice@|@hunsl, sn., hunsljan, wv., sáuþs, sm.@
@sad: become ~@|@in-drôbnan, wv.@
@sad: grow ~@|@in-drôbnan, wv.@
@safe@|@háils, adj.@
@salary@|@annô, wf.@
@salt@|@salt, sn., saltan, sv.@
@salute@|@gôljan, wv., in-weitan, sv.@
@salvation@|@faúr-baúhts, sf., ga-nists, sf., naseins, sf.@
@same@|@sama, pr.@
@sample@|@brûkjan, wv.@
@sanctified@|@weihnan, wv.@
@sanctify@|@ga-weihan, wv., weihan, wv.@
@sand@|@malma, wm.@
@sang@|@saggws, sm.@
@satiate@|@fullnan, wv.@
@satisfied@|@saþs, adj.@
@satisfy@|@fulla-fahjan, wv., ga-sôþjan, wv.@
@save@|@alja, conj., ga-nasjan, wv., nasjan, wv.@
@saved: be ~@|@ga-nisan, sv.@
@saviour@|@nasjands, m.@
@savour@|@dáuns, sf.@
@say@|@qiþan, sv.@
@saying@|@qiss, sf.@
@scamper about@|@bi-rinnan, sv.@
@scorch@|@uf-brinnan, sv.@
@scorn@|@bi-hlahjan, sv., bi-láikan, sv.@
@scourge@|@us-bliggwan, sv.@
@scribe@|@bôkareis, sm.@
@scripture@|@þata gamêlidô@
@sea@|@mare wf., mari-sáiws, sm., sáiws, sm.@
@seal@|@sigljan, wv., sigljô, wn.@
@search@|@sôkns, sf.@
@season@|@£eila, sf., ga-supôn, wv., supôn, wv.@
@seasonably@|@ûhteigô, adv.@
@seat@|@sitls, sm.@
@second@|@anþar, adj.@
@secret@|@ana-láugns, adj., gi-rûn, rûna, sf.@
@secret: a ~@|@fulhsn sn.@
@secretly@|@ana-láugniba, adv., þiubjô, adv.@
@secure@|@ga-haban, wv.@
@see@|@bi-sai£an, sv., ga-saí£an, sv., sai£an, sv.@
@see fra-waúrhts@|@waúrhts, sf.@
@see through@|@þaírh-saí£an, sv.@
@see! lo! behold!@|@sá interj.@
@seed@|@fráiw, sn.@
@seek@|@ga-fraíhnan, sv., sôkjan, wv.@
@seem@|@þugkjan, wv.@
@seemed: it ~@|@þûhta, pret.@
@seemingly@|@þûhta, pret.@
@seize@|@ana-haban, wv., fâhan, sv., faír-greipan, sv., ga-fâhan, sv., greipan, sv., und-greipan, sv.@
@seize upon@|@dis-sitan, sv.@
@self@|@silba, pr.@
@sell@|@fra-bugjan, wv.@
@send@|@sandjan, wv.@
@send away@|@us-dreiban, sv., us-sandjan, wv.@
@send forth@|@in-sandjan, wv.@
@send out@|@us-sandjan, wv.@
@send peace on earth@|@lagjan ana aírþa@
@separate@|@skáidan, sv.@
@sequester@|@filhan, sv.@
@serene@|@ga-waírþeigs, adj.@
@serpent@|@waúrms, sm.@
@servant@|@and-bahts, sm., asneis, sm., magus, sm., skalks, sm., þiu-magus, sm., þius, sm.@
@serve@|@and-bahtjan, wv., fulla-fahjan, wv., skalkinôn, wv.@
@serve as soldier@|@driugan, sv.@
@service@|@andbaht sn., blôtinassus, sm., skalkinassus, sm.@
@set@|@ga-lagjan, wv., ga-ráiþs adj., satjan, wv., us-satjan, wv.@
@set free@|@fra-lêtan, sv.@
@set in place@|@lagjan, wv.@
@set lay@|@ga-satjan, wv.@
@set loose@|@láusjan, wv.@
@set on@|@us-satjan, wv.@
@set upon@|@bi-satjan, wv.@
@seven@|@sibun, num.@
@seventy@|@sibuntêhund, num.@
@several@|@fáus adj.@
@severely@|@harduba, adv.@
@severity.@|@£asse wf.@
@sew@|@siujan, wv.@
@shade@|@skadus, sm.@
@shadow@|@skadus, sm.@
@shake@|@ga-wagjan, wv., wagjan, wv., wiþôn, wv.@
@shake down@|@ga-wigan, sv.@
@shake off@|@us-hrisjan, wv.@
@shake out@|@us-hrisjan, wv.@
@shall@|@skulan, pret.-pres.@
@shall: I ~@|@skal, pret.-pres.@
@shame@|@skanda, sf., un-swêre wf.@
@shape@|@skapjan, sv.@
@share@|@dáiljan, wv., dáils, sf.@
@sharp@|@£ass, adj.@
@sharply@|@£assaba, adv.@
@sharpness@|@£asse wf.@
@shave@|@skaban, sv.@
@she-ass@|@asilus, sf.@
@shed@|@ga-skôhs, adj.@
@sheep@|@lamb, sn.@
@sheepfold@|@awistr, sn.@
@shepherd@|@haírdeis, sm.@
@shew-bread@|@hláibôs faúrlageináis@
@shield@|@skildus, sm.@
@shine@|@bierhtan, glitmunjan, wv., skeinan, sv.@
@shine round@|@bi-skeinan, sv.@
@shining@|@liuhadeins, adj.@
@ship@|@skip, sn.@
@shore@|@staþs sm.@
@shoulder@|@ams wm.@
@show@|@áugjan, wv., táiknjan, wv., us-táiknjan, wv.@
@shower@|@skûra, sf.@
@shun@|@bi-wandjan, wv.@
@shut@|@ga-lûkan, sv., lûkan, sv.@
@shut up: be ~@|@ga-luknan, wv.@
@sick@|@siuks, adj.@
@sickle@|@gilþa, sf.@
@sickness@|@sauil, sn. sun, siuke wf., un-háil sn.@
@sigh@|@ga-swôgjan, wv., swôgatjan, wv.@
@sigh deeply@|@uf-swôgjan, wv.@
@sight@|@faír-weitl, sn., siuns, sf.@
@sightless@|@blinds, adj.@
@sign@|@bandwa, sf., bandwô, wf., faúra-tan sn., táikns, sf.@
@signify@|@bandwjan, wv.@
@silent: be ~@|@af-dôbnan, wv., ana-silan, wv., ga-slawan, wv., ga-þahan, wv., slawan, wv., þahan, wv.@
@silver@|@silubr, sn., silubreins, adj.@
@similar@|@ga-leikô, adv., ga-leiks, adj., leiks, suffix@
@simple@|@áinfalþs, áinfalþs, num.@
@simplicity@|@áin-falþe wf.@
@sin@|@fra-waúrhts, sf., fra-waúrkjan, wv., missa-dêþs, sf.@
@since@|@fram, prep. c. dat., þandê, conj., untê, conj.@
@sinful@|@fra-waúrhts, adj.@
@sing@|@liuþôn, wv., siggwan, sv.@
@singer@|@liuþareis, sm.@
@single@|@áinfalþs, num.@
@sink@|@ga-sigqan, sv., sagqjan wv., sigqan, sv.@
@sinking@|@sagqs sm.@
@sister@|@swistar, f.@
@sit@|@ga-sitan, sv.@
@sit around@|@bi-sitan, sv.@
@sit at a table@|@ana-kumbjan, wv.@
@sit down@|@ga-sitan, sv.@
@sit near@|@bi-sitan, sv.@
@six@|@saihs, num.@
@sixth@|@saihsta, num.@
@sixty@|@saihs tigjus, num.@
@size@|@wahstus, sm.@
@skilful@|@glau@
@skill@|@lists, sf.@
@skin@|@haúrn, sn.@
@skull@|@£aírne wf.@
@slake@|@af-£apjan, wv.@
@slaughter@|@slaúhts, sf.@
@slay@|@af-slahan, sv., uf-sneiþan, sv.@
@sleep@|@slêpan, sv.@
@slight@|@ga-sleiþjan, wv.@
@slip@|@sliupan, sv.@
@slope@|@driusô, wf.@
@slothful@|@lats, adj.@
@small@|@leitils, adj., smals, adj.@
@smaller@|@minniza, adj.@
@smallest@|@minnists, adj.@
@smear@|@ga-smeitan, sv.@
@smell@|@dáuns, sf.@
@smite@|@slahan, sv., stáutan, sv.@
@smooth@|@slalhts, adj.@
@snare@|@wruggô, wf.@
@snow@|@snáiws, sm.@
@so@|@nu, adv., swa, swah, adv., þan-nu, þan-uh, conj.@
@so great@|@swa-láuþs, pr.@
@so that@|@e conj., þe conj.@
@so that. so as@|@swa-ei@
@so then@|@ja-u@
@sober@|@in-ahs, adj.@
@soberness@|@in-ahe wf.@
@sobriety@|@in-ahe wf.@
@soft@|@hnasqus, adj., þlaqus, adj.@
@soldier@|@ga-draúhts, sm.@
@sole@|@áins, num.@
@sole of a shoe@|@suljô, wf.@
@some one@|@sums, indef. pr.@
@some...and others@|@sumái(h)...sumáih@
@son@|@barnilô wn., baúr, sm., sunus, sm.@
@song@|@saggws, sm.@
@soon@|@áir, adv., spráutô, adv., suns, adv.@
@soot@|@azgô, wf.@
@sorrow@|@gáuriþa, sf., saúrga, sf., saúrgan, wv., winnan, sv.@
@sorrowful@|@gáurs, adj.@
@sorrowful: be ~@|@ga-nipnan, wv.@
@soul@|@sáiwala, sf.@
@sound@|@háils, adj., swinþs, adj.@
@sow@|@saian sv.@
@sow in@|@in-saian, sv.@
@sower@|@saiands, pres. part.@
@space@|@rûms, sm.@
@span of four days@|@fidur-dôgs, adj.@
@sparrow@|@sparwa, wm.@
@speak@|@maþljan, wv., qiþan, sv., rôdjan, wv.@
@speak evil of@|@ubil-waúrdjan, wv., ubil qiþan@
@speak evil of one@|@ubil qiþan@
@speak well of@|@waíla qiþan@
@speaking lose words@|@láusa-waúrds, adj.@
@spectacle@|@faír-weitl, sn.@
@speech@|@qiss, sf., razda, sf.@
@speech-impediment@|@stamms, adj.@
@speechless@|@un-rôdjands, pres. part.@
@spend@|@fra-qiman, sv.@
@spices@|@arômata, pl.@
@spin@|@spinnan, sv.@
@spirit@|@ahma, wm., sáiwala, sf.@
@spit@|@speiwan, sv.@
@spit upon@|@bi-speiwan, sv.@
@spoil@|@fra-wardjan, wv.@
@sponge@|@swamms, sm.@
@spread@|@stráujan, wv.@
@spread the news@|@ga-teihan, sv.@
@sprig@|@táins, sm.@
@spring@|@brunna, wm., us-keinan, sv.@
@spring up@|@keinan, sv., liudan, sv., ufar-steigan, sv.@
@spy@|@spaíkulâtur, m.@
@squander@|@fra-qisteins, sf.@
@st once@|@anaks, adv.@
@stable@|@uz-êta, wm.@
@stadium@|@spaúrds, adj.@
@staff@|@hrugga, sf., triu, sn.@
@stammering@|@stamms, adj.@
@stand@|@standan, sv.@
@stand fast@|@ga-standan, sv.@
@stand firm@|@standan, sv.@
@stand near@|@at-standan, sv., faúra-standan, sv.@
@stand off@|@af-standan, sv.@
@stand up@|@us-standan, sv.@
@star@|@staírnô, wm.@
@start@|@ana-stôdeins, sf., ana-stôdjan, wv., du-ginnan, sv., du-stôdjan, wv., frums, sm.@
@stature@|@wahstus, sm.@
@steal@|@hlifan, sv., stilan, sv.@
@steer@|@stiur, sm., stiuren@
@step@|@láists, sm.@
@step on@|@ana-trimpan, sv.@
@sterile@|@un-bairands, pres. part.@
@stern (of a ship/naut.)@|@nôta, wm.@
@steward@|@faúra-gagga, wm.@
@still@|@ake conj., aþþan, conj., naúh, adv., raíhtis, conj., þana-máis, adv., þana-seiþs, adv.@
@still yet@|@naúh-þanuþ, adv.@
@still: be ~@|@ga-slawan, wv., slawan, wv.@
@sting@|@gáiru, sn., gazds, sm.@
@stir@|@aúhjôdus, sm., ga-wagjan, wv.@
@stir up@|@drôbjan, wv., in-wagjan, wv.@
@stone@|@stáinam waírpan, stáins, sm.@
@stony@|@stáinahs, adj., stáineins, adj.@
@storm@|@skûra windis, wêgs, sm.@
@straight@|@raihts, adj.@
@straightway@|@raíhtaba, adv., suns-áiw, adv.@
@strange@|@alja-kuns, adj.@
@street@|@faúra-daúr sn., ga-runs, sf., gatwô, wf.@
@strength@|@mahts, sf., swinþe wf.@
@stretch oneself@|@uf-þanjan sik, wv.@
@stretch out@|@us-lagjan, wv.@
@stretch up@|@uf-rakjan, wv.@
@strew@|@stráujan, wv.@
@strictly charge@|@ga-£ôtjan, wv.@
@strife@|@bi-háit, sn., brakja, sf., háifsts, sf., sakjô, wf.@
@strike@|@bliggwan, sv., slahan, sv.@
@strike with the pal@|@káupatjan, wv.@
@strip@|@andwasjan, wv.@
@strive@|@and-rinnan, sv., háifstjan, wv., sakan, sv., us-dáudjan, wv.@
@stroke@|@slahs, sm., striks, sm.@
@strong@|@abrs, adj., in-swinþjan, wv., swinþs, adj.@
@strong drink@|@leiþu, sn.@
@strong: be ~@|@inswinþjan sik@
@strong: grrow ~@|@swinþnan, wv.@
@struggle@|@brikan, sv., weihan, sv., winnan@
@struggle against@|@and-sakan, sv.@
@struggle over words@|@waúrda-jiuka, sf.@
@stubborness@|@dáubiþa, sf.@
@student@|@sipôneis, sm.@
@stumbling@|@bi-stugq, sn.@
@submit@|@uf-háusjan wv.@
@subversive@|@us-walteins, sf.@
@such@|@swa-leiks, pr.@
@suckle@|@daddjan, wv.@
@suffer@|@arbáidjan, wv., ga-þulan, wv., lêtan, sv., þulan, wv., us-baíran, sv., winnan, sv.@
@suffer want@|@ga-þarban, wv.@
@sufferance@|@þuláins, sf.@
@suffering@|@þuláins, sf., wunns, sf.@
@suffices: it ~@|@ga-nah, pret.-pres.@
@sufficient@|@bi-naúhts, pp., ga-nôhs, adj.@
@suffix@|@în-, (-ein-), inassu- (-inassu), inôn, iska- (-iska), ôni-, ôþu-@
@suit@|@ga-timan, sv.@
@suitable@|@ge-dafen, tils, adj.@
@summer@|@asans, sf.@
@sun@|@sunna, wm., sunnô, wf. or wn.@
@superscription@|@ufar-mêl sn., ufar-mêleins, sf.@
@supper@|@nahta-mats, sm.@
@support@|@ga-fastan, wv.@
@supposition@|@ana-minds, sf.@
@supreme@|@háuhist sn.@
@surely@|@arniba, adv., áuftô (aúftô?), adv.@
@surname@|@gasatjan namô@
@sustenance@|@us-fôdeins, sf.@
@swallow up@|@fra-slindan, sv.@
@swear@|@bi-swaran, sv., swaran, sv.@
@sweep out@|@us-báugjan, wv.@
@sweet@|@wôþeis, adj.@
@swine@|@swein sn.@
@sword@|@haírus, sm.@
@sylvan@|@háiþiwisks, adj.@
@synagogue@|@ga-qumþs, sf., synagôgê, f.@
@tabernacle@|@hlijans@
@table@|@biuþs, sm., mês, sn.@
@take@|@and-niman, sv., fra-niman, sv., ga-tiuhan, sv., niman, sv.@
@take (prisoner)@|@greipan, sv.@
@take away@|@af-niman, sv., niman, sv.@
@take courage@|@þrafstjan sik@
@take down@|@at-hafjan, sv.@
@take down.@|@us-niman, sv.@
@take fire@|@tundnan, wv.@
@take forcibly@|@fra-wilwan, sv.@
@take heed@|@at-sai£an, sv., sai£an, sv.@
@take hold of@|@haldan, sv.@
@take off clothes@|@andwasjan, wv.@
@take out@|@us-niman, sv.@
@take pleasure in@|@ga-leikan, wv.@
@take possession of@|@ga-áiginôn, wv.@
@take up@|@us-hafjan, sv.@
@tale@|@spill, sn.@
@talk alot@|@filu-waúrdjan, wv.@
@talking vainly@|@láusa-waúrds, adj.@
@tame@|@ga-tamjan, wv., tamjan, wv.@
@taste@|@káusjan, wv.@
@taxation@|@gilstra-mêleins, sf.@
@teach@|@ga-láisjan, wv., láisjan, wv., talzjan, wv.@
@teachable@|@láiseigs, adj.@
@teacher@|@láisareis, sm., rabbe, talzjands, m.@
@teaching@|@láiseins, sf.@
@tear@|@dis-skreitan, sv., ga-taúra, wm., tagr, sn., tahjan, wv.@
@tear to pieces@|@ga-taíran, sv.@
@tear to shreds@|@dis-taíran, sv.@
@tell@|@ga-teihan, sv., qiþan, sv.@
@tell or bring the good news@|@þiuþ-spillôn, wv.@
@tempest@|@skûra windis, wêgs, sm.@
@temple@|@alhs, sf., gud-hûs, sn.@
@tempt@|@fráisan, sv.@
@temptation@|@fráistubn sf.@
@ten@|@taíhun, num.@
@tend@|@haldan, sv.@
@tender@|@hnasqus, adj., þlaqus, adj.@
@tent@|@hlijans@
@tenth@|@taíhunda, num.@
@terminus@|@andeis, sm.@
@terrify@|@ôgjan, wv., us-agjan, wv.@
@terror@|@agis sn.@
@test@|@ga-kusts, sf., káusjan, wv., kiusan, sv., kusts, sf., kustus, sm., us-kiusan, sv.@
@testify@|@weitwôdjan, wv.@
@testimony@|@weitwôd sm., weitwôde wf., weitwôdiþa, sf.@
@tetrarchate@|@fidur-ragineis, sm.@
@than@|@alja, conj.@
@that@|@e conj., jáins, dem. pr., sah dem. pr., þat-ei conj., þata, pr. neut., þê-e conj., þe conj.@
@the@|@þata, pr. neut.@
@the day of the preparation@|@paraskaíwê@
@the end that@|@du þamma@
@the flood@|@midja-sweipáins, sf.@
@the following@|@iftuma, adj.@
@the former@|@fruma, adj.@
@the one after@|@iftuma, adj.@
@the one the other@|@missô, adv.@
@theft@|@þiub sn.@
@then@|@an, interrog. particle, bi-þê conj., bi-þêh, adv., nuh, interr. particle, raíhtis, conj., þan-nu, þan-uh, conj., þan, rel. part.@
@thence@|@jáinþrô, adv., þaþrô, adv.@
@there@|@jáinar, adv., þar, adv.@
@therefore@|@du-þê, duþþê, conj., ei-þan, conj., þan-nu, þan-uh, conj., þar-uh, conj.@
@thereupon@|@þan, rel. part.@
@they are@|@sind@
@thief@|@hliftus, sm., þiufs (þiubs), sm.@
@thing@|@waíhts, f.@
@think@|@mitôn, wv., munan, pret.-pres., munan, wv., þagkjan, wv.@
@think: I ~@|@man, pret.-pres.@
@third@|@þridja, num.@
@thirst@|@þaúrsjan, wv., þaúrste wf.@
@thirty@|@þreis tigjus, num.@
@this@|@sah dem. pr., þata, pr. neut.@
@this day@|@und hina dag@
@thither@|@jáind adv.@
@þiwi sf. maid-servant@|@þiwi sf.@
@thorn@|@þaúrnus, sm.@
@thornbush@|@aí£a-tund sf.@
@thorny@|@þaúrneins, adj.@
@thou@|@þu, pers. pr.@
@thou art@|@is, def. v.@
@thought@|@ga-hugds, sf., mitôns, sf., muns, sm.@
@thousand@|@þûsund sf.@
@threaten@|@£ôtjan, wv., and-beitan, sv., ga-£ôtjan, wv., us-þriutan, sv.@
@threaten.@|@hwôpan@
@three@|@þreis num.@
@thresh@|@þriskan, sv.@
@threshing-floor@|@ga-þrask, sn.@
@thrive@|@þeihan, sv.@
@throng@|@hiuhma, wm., þreihan, sv.@
@through@|@þaírh, prep. c. acc.@
@throughout@|@and, prep. c. acc.@
@throw@|@waírpan, sv.@
@throw down@|@at-waírpan, sv., ga-waírpan, sv.@
@thrust@|@stigqan, sv.@
@thunder@|@þei£ô, wf.@
@thus@|@nu, adv., swa, swah, adv.@
@thy@|@þeins, poss. pr.@
@tickle@|@suþjôn, wv.@
@till now@|@und hita nu@
@time@|@£eila, sf., áiws, sm., ajukdûþs, sf., mêl, sn., sinþs, sm.@
@tire@|@af-dôjan, wv.@
@tired: be ~@|@â-þrêotan@
@title@|@striks, sm.@
@together@|@sam-lîce@
@together in one place@|@samana, adv.@
@together with@|@miþ, prep. c. dat.@
@toil@|@arbáiþs, sf.@
@tolerate@|@þulan, wv.@
@toll-taker@|@môtareis, sm.@
@tongue@|@tuggô, wf.@
@too@|@swa, swah, adv.@
@topmost@|@aúhumists adj.@
@torment@|@balwjan, wv.@
@torn up@|@dis-skritnan, wv.@
@toss@|@waírpan, sv.@
@touch@|@têkan, sv.@
@toward: go ~@|@af-gaggan, sv.@
@towards@|@du, prep. c. dat., in, prep. c. acc.@
@town@|@baúrgs, f.@
@track@|@láists, sm.@
@trade@|@in-máideins, sf.@
@tradition@|@ana-filh, sn., ana-fulhanô, pp. n.@
@traffic@|@káupôn, wv.@
@trample on@|@ana-trimpan, sv.@
@transfigure@|@in-máidjan, wv.@
@transgress@|@ufar-gaggan, sv.@
@transgressor@|@un-sibjis, adj.@
@transient@|@£eila-£aírbs, adj.@
@travel@|@ga-leiþan, sv., wratôn, wv.@
@travelling companion@|@miþ-ga-sinþa, wm.@
@tread@|@trudan, sv.@
@tread on@|@ana-trimpan, sv.@
@treasure@|@huzd, sn.@
@treat shamefully@|@ga-náitjan, wv.@
@treat with violence@|@hôlôn, wv.@
@tree@|@bagms, sm., triu, sn.@
@tremble@|@reiran, wv.@
@trembling@|@reirô, wf.@
@trial@|@kustus, sm.@
@tribe@|@kun sn.@
@tribulation@|@aglô, wf.@
@tribute@|@gilstr, sn., káisara-gild, sn.@
@trip up@|@bi-stugq, sn.@
@triumphant@|@hrôþeigs, adj.@
@trouble@|@dráibjan, wv., saúrgan, wv.@
@troubled@|@gáurs, adj.@
@troubled: become ~@|@ga-drôbnan, wv.@
@true@|@sunjeins, adj., sunjis, adj., triggws, adj.@
@truly@|@aíþþáu jah, amên adv., bi sunjái, sunjaba, adv., triggwaba, adv.@
@trumpet@|@haúrnjan, wv.@
@trust@|@ga-trauan, wv., trauan, wv.   trust@
@truth@|@sunja, sf.@
@try@|@us-dáudjan, wv.@
@tumult@|@aúhjôdus, sm.@
@turn@|@wandjan, wv.@
@turn around@|@ga-wandjan, wv.@
@turn away@|@af-wandjan, wv.@
@turn round@|@wandjan, wv.@
@turtle-dove@|@hráiwa-dûbô, wf.@
@twelve@|@twalif, num.@
@twelve years old@|@twalib-wintrus, adj.@
@twenty@|@twái tigjus, num.@
@twig@|@asts, sm., táins, sm.@
@two and two@|@twans £anzuh@
@two each@|@tweihná num.@
@two: we ~@|@wit, pers. pr.@
@ultimate@|@aftuma, adj.@
@unbelief@|@un-ga-láubeins, sf.@
@unbelieving@|@un-ga-láubjands, pres. part.@
@unbind@|@and-bindan, sv.@
@unbound: become ~@|@and-bundnan, wv.@
@unceasing@|@un-sweibands, pres. part.@
@unchaste@|@agláite wf.@
@unclean@|@ga-máins, adj., un-hráins, adj., un-þwahans, pp.@
@unclean spirit@|@un-hulþa, wm., un-hulþô, wf.@
@uncover@|@baírhtjan, wv., ga-baírhtjan, wv.@
@under@|@uf, prep. c. dat. and acc., undar, prep. c. acc., undarô, prep. c. dat.@
@under age@|@niu-klahs, adj.@
@under an oath@|@uf-áiþeis, adj.@
@understand@|@fraþjan, sv.@
@understanding@|@aha, wm., fraþ sn., frôde wf.@
@undertake@|@du-ginnan, sv.@
@unendurable@|@un-wêrjan, wv.@
@unfeigned@|@un-liuts, adj.@
@unfit@|@un-fagrs, adj.@
@ungodliness@|@af-gude wf.@
@unholy@|@un-aírkns, adj., un-sêls, adj., us-weihs, adj.@
@unjust@|@in-winds, adj.@
@unknown@|@un-kunþs, adj.@
@unlearned@|@un-tals, adj., un-weis, adj.@
@unleavened bread@|@azymus, sm.@
@unless@|@alja, conj., nibá niba, conj.@
@unlocked@|@us-luknan, wv.@
@unquenchable@|@un-£apnands, pres. part.@
@unrest@|@brakja, sf.@
@unrighteous@|@in-winds, adj.@
@unrighteousness@|@un-sêle wf.@
@unruly@|@un-ga-£aírbs, adj.@
@unsalted@|@un-saltans, pp.@
@unsheath a sword@|@us-lûkan, sv.@
@unsuitable@|@un-fagrs, adj.@
@until@|@þandê, conj., und, prep. c. acc., untê, conj.@
@until that@|@þandê, conj.@
@untimely@|@un-ûhteigô adv.@
@unto@|@und, prep. c. acc.@
@unwashed@|@un-þwahans, pp.@
@up@|@und, prep. c. acc.@
@upbraid@|@and-beitan, sv.@
@upon@|@ana, prep. c. acc./dat.@
@upper-room@|@kêlikn, sn.@
@upwards@|@iup, adv.@
@use@|@brûkjan, wv.@
@use up@|@fra-qiman, sv., fra-wisan, sv.@
@useful@|@brûks, adj., nuts adj.@
@useful: make ~@|@ga-bôtjan, wv.@
@utilize@|@fra-qiman, sv.@
@vain@|@us-wiss, adj.@
@vainly@|@arwjô, adv.@
@valley@|@dal, sn.@
@value@|@haban@
@various@|@missa-leiks, adj.@
@veil@|@faúra-hâh sn.@
@vengeance@|@fra-weit, sn.@
@verbal@|@waúrdahs, adj.@
@verbose: be ~@|@filu-waúrdjan, wv.@
@verdict@|@dôms, sm.@
@verifying@|@sunjôns, sf.@
@verily@|@aíþþáu jah, amên adv., bi sunjái, ja@
@veritable@|@sunjeins, adj., sunjis, adj.@
@very much@|@abraba, adv., filu@
@very needy@|@ala-þarba, w. adj.@
@very poor@|@ala-þarba, w. adj.@
@very precious@|@filu-ga-láufs@
@vessel@|@kas, sn.@
@vessel for water@|@katils, sm.@
@victorious@|@hrôþeigs, adj.@
@victory@|@sigis, sn., sihu, sn.@
@vigilant@|@us-skáus, adj.@
@village@|@háims, sf., weihs sn. wn.@
@vine@|@weina-triu, sn.@
@vine-branch@|@weina-táins, sm.@
@vinegar@|@akeit@
@vineyard@|@weina-gards, sm.@
@violence: do ~@|@ana-mahtjan, wv.@
@viper@|@nadrs, sm.@
@virginity@|@magaþe wf.@
@virttue@|@gôde wf.@
@visible@|@ana-siuns, adj.@
@visit@|@ga-weisôn, wv.@
@visit.@|@bi-tiuhan, sv.@
@voice@|@stibna, sf.@
@wages@|@annô, wf.@
@wail loudly@|@wái-faír£jan, wv.@
@wake@|@ur-ráisjan, wv., wakan, sv.@
