@Indonesian@|@English@
@sadel@|@saddle@
@sadur@|@coating of metal; meny-, plate; adapt (story)@
@safir@|@sapphire@
@sagu@|@sago@
@sah@|@confirmed, rightful@
@sah@|@legal@
@sah menurut hukum@|@legitimate@
@sahabat@|@pal, crony, chum@
@sahabat@|@close friend@
@saham@|@concern, share, stock@
@saham@|@share/stock (in co.); contribution; part/role; para pemegang -, shareholders@
@sahut@|@answer s.o.'s call@
@sai@|@contain@
@saikan@|@outstanding@
@sailing ~:perahu layar@|@boat@
@saing@|@ber-, compete; daya ber-, competitiveness; -an, competitor/rival; per-an, competition@
@sais gajah@|@mahout@
@saja@|@sheer@
@saja@|@only, nothing else then@
@sajak@|@verse, strain, poem, poetry@
@sajak@|@poem, verse, lyrics, rhyme, be in rhyming, recite poetry@
@sajak 14 baris@|@sonnet@
@sajak 4 baris@|@quatrain@
@sajak bebas@|@blank verse@
@sajak jenaka 5 brs@|@limerick@
@sajak kepahlawanan@|@epic@
@sajak kurang baik & tdk teratur@|@doggerel@
@sajak/nyanyian sedih@|@elegy@
@saji@|@meny-kan, to serve, place ready; to offer; bring question to fore; peny-an, presentation; -an, food serving/dish@
@sajian@|@dish@
@sak@|@canker, undo, cripple@
@sak@|@bag, sack@
@sak nama baik@|@scandalous@
@sakelar, saklar, seklar@|@electric swith@
@saking@|@(coll.) on account of@
@sakit@|@spasm, ache, complaint, pinch, sore@
@sakit@|@pain@
@sakit@|@ill/sick; sore/painful; peny-, disease/illness; meny-i, hurt/offend (melukai)@
@sakit hati@|@wound, writhe, resentful, resentment, mortification@
@sakit kepala@|@splitting headache@
@sakit kepala@|@headache@
@sakit kuning@|@yellow fever, jaundice@
@sakit pd syaraf (pd wajah & kepala)@|@neuralgia@
@sakit perut & usus@|@colic@
@sakit pinggang@|@lumbago@
@sakit spt tertusuk@|@prick@
@sakit syaraf@|@neurotic@
@sakit syaraf krn ledakan bom@|@shell shock@
@sakit tenggorokan/hidung krn debu dll@|@hay fever@
@sakit/cacat@|@rehabilitate@
@sakit/sedih@|@pine@
@saklek@|@stiff/rigid; clumsy/awkward; kaku; -/kaku benarsih (very)@
@sakral@|@sacred@
@saksama@|@seksama; accurate, exact, thorough; meny-kan, arrange in orderly way; deal w/ s.t. thoroughly; ke-an, accuracy@
@saksi@|@witness, attest@
@saksi@|@witness; memper-an, meny-kan, (verb)@
@saksi mata@|@eye witness@
@sakti@|@unearthly@
@sakti@|@magic power, super natural power@
@saku@|@pocket@
@saku@|@bag, sack; pocket@
@salah@|@fallacious, erroneous, improper, erroneous, perverse, loose@
@salah@|@aberration, error, mistake@
@salah@|@fault; o. of the, o. out of several@
@salah 1 kayu silang yg dipasang di atas tunggak -@|@bail@
@salah alamat@|@miscarriage@
@salah asuhan@|@misguided@
@salah bagi@|@misdeal@
@salah cetak@|@misprint@
@salah faham@|@misunderstanding@
@salah kata/nama@|@misnomer@
@salah menaruh@|@displace@
@salah mengarti/paham@|@misconceive@
@salah mengerti@|@misunderstand@
@salah satu belahan yard@|@yard-arm@
@salah seorg dr 2 penguasa sblm Romawi mjd kekai-@|@consul@
@salah tangkap/terima/mengartikan@|@misconstrue@
@salah tulis/cetak@|@erratum@
@salak anjing@|@bark@
@salam@|@salutation, remembrance, regard, compliment@
@salam@|@greeting@
@salam@|@peace, greetings@
@salaris@|@salary, wage, wages@
@saleh@|@pious, virtuous, devout, godfearing, godly, holy@
@salep@|@ointment, salve@
@salib(dgn patung Kristus)@|@crucifix@
@salin@|@ber-, change clothes (- nama, - name); give birth@
@salin@|@ber-2, changing continuously/erratic; meny-/- s.t./copy/translate@
@salin ... menyalin@|@copy@
@salinan@|@replica, triplicate, transcipt@
@salinan persis@|@facsimile@
@salinan yg jelas & bersih utk suatu rencana@|@fair copy@
@saling@|@mutual, reciprocal@
@saling@|@one another, mutually (satu sama lain)@
@saling berhadapan muka@|@vis-a-vis@
@saling berhub@|@relative@
@saling me-@|@mesh@
@saling memberi/menerima@|@reciprocate@
@saling menghormati@|@esprit de corps@
@saling menolong@|@hang together@
@salip@|@meny-, overtake; pass@
@salju@|@snow@
@salju yg mencair@|@slush@
@salpeter@|@nitre@
@salur@|@-an, channel/gutter/duct; line (tel.); di-kan, channel s.t.; distribute/market@
@saluran@|@duct, channel@
@saluran air@|@ditch, conduit@
@saluran air dr beton yg letaknya lebih tinggi dr-@|@aqueduct@
@saluran air/listrik bawah tanah@|@culvert@
@saluran pencernaan@|@alimentary canal@
@saluran udara panas@|@flue@
@saluran utk meluncurkan barang ke bawah@|@chute@
@salut/mendukung@|@quote@
@sama@|@tantamount to, tantamount to, akin, alike, uniform, equivalent, conformable, even, mutual, correspond, common@
@sama@|@same; ber-, with; -2, same as; together, with; sama sekali, altogether@
@sama@|@ber-, with@
@sama artinya@|@symonymous@
@sama benar@|@self-same@
@sama benar kata demi -@|@literal@
@sama dgn@|@amount@
@sama jauh@|@equidistant@
@sama kuat/seri@|@tie@
@sama penting@|@co-ordinate@
@sama sekali@|@quite, utter, utterly, sheer, altogether, diametrically, outright, hilt, thoroughgoing, stark, sheer, sound, radical, complete@
@sama sekali@|@altogether@
@sama seklai@|@flat@
@sama2@|@boat@
@sama2 kuat@|@close@
@samapta@|@ready, prepared (ke-an) preparedness, readiness@
@samar@|@vague@
@samar@|@dim/vague/indistinct; obscure/hidden; disguised/masked; meny-kan, conceal; peny-an, camouflage/disguise@
@samar2@|@hazy, dim@
@sambal@|@containing chili peppers; - ulek, sauce made by crushing spices in a mortar@
@sambal dr buah2an@|@chutney@
@sambar@|@meny-, strike repeatedly (lightning); swoop down & seize (hawk)@
@sambil@|@while (during/at the same time)(1 pers, 2 activities together); -an, part time@
@sambung@|@connect to; continue (Tolong sambungkan saya… Please connect me..)(Salah -.  Wrong #.)@
@sambungan@|@joint, appendage, extension, coupling, continuation@
@sambut@|@answer; ber-, -ed; ber-an, respond to e.o.; in accordance; meny-, welcome/receive@
@sambutan@|@greeting@
@sambutan luar biasa/gembira@|@ovation@
@sampah@|@offal, rubbish, waste, refuse, litter@
@sampah@|@rubbish, trash, garbage; meny-, become -, rot; per-an, - can/pile@
@sampah masyarakat@|@scum@
@sampai@|@get, get at, get up to, come to@
@sampai@|@to, till, as far as, arrive, reach, attain; so that, so much so; meny-kan, convey, deliver@
@sampai@|@to/till/as far as/arrive/reach/attain; so that/so much so; meny-kan, convey/deliver@
@sampai jumpa lagi@|@adieu@
@sampai mati@|@mortally@
@sampai selesai@|@through@
@sampai skr@|@hitherto@
@sampan@|@gondola, lighter@
@sampan@|@boat (perahu)@
@samping@|@side; di -, beside; as well as, including, along w/; meny-kan, put aside, ignored@
@sampo@|@shampo@
@sampul@|@envelope; cover, wrapper; ber-, covered, wrapped, placed in envelope; meny-(i) (v)@
@sampul pita@|@knot@
@sana@|@there, yonder; di -, there; ke -, to there@
@sana@|@there; di -, there; ke -, to/go there@
@sanak@|@folk@
@sanak@|@relative@
@sanak saudara@|@kinsfolk@
@sandal@|@slipper@
@sandal@|@sandal@
@sandang@|@shoulder strap; meny-, carry, strapped over the shoulder; clothing; - pangan, food and clothing@
@sandar@|@recline@
@sandar@|@ber-, lean on, depend on (kalang)@
@sandaran kapal@|@berth@
@sandaran papan tulis@|@easel@
@sandera@|@hostage@
@sandera@|@hostage; meny-(kan), take as hostage; ter-, taken -@
@sandi@|@password@
@sandi@|@code; kata -, code word; ber-, in code; meny-(kan), encode@
@sandiwara@|@play, drama; theatrical troupe@
@sandiwara jenaka@|@farce@
@sandiwara kuno dgn kisah Injil@|@mystery play@
@sandung@|@meny-, to stumble; trip up; undermine; ter-, ke-, stumble (v)@
@sang@|@honourific epithet or article (proceeds title) (jeri)@
@sangat@|@exceedings, vital, dearly, particular, widely, sore, sorely@
@sangat@|@very@
@sangat (kegirangan)@|@transport@
@sangat bagus@|@wonderful, grand@
@sangat baik@|@saintly@
@sangat baik/prima@|@superfine@
@sangat berharga@|@costly@
@sangat berkuasa@|@paramount@
@sangat berkuasa/bsr@|@mighty@
@sangat berminat pd@|@bound up in@
@sangat besar@|@vast@
@sangat bsr@|@crass@
@sangat buruk@|@execrable@
@sangat capai/lesu@|@down & out@
@sangat cerdas@|@brilliant@
@sangat disayangkan@|@pitiful@
@sangat gelisah@|@frantic@
@sangat gembira@|@rapturous@
@sangat gembira krn berhasil@|@elate@
@sangat hemat/berhati2@|@parsimonious@
@sangat indah/bagus@|@gorgeous@
@sangat indah/menarik@|@idyllic@
@sangat indah/menyenangkan@|@heavenly@
@sangat ingin@|@eager, vehement, pant, hotly@
@sangat ingin/rindu@|@pine@
@sangat jahat@|@diabolical, diabolic@
@sangat jelek@|@awful@
@sangat kejam@|@outrageous@
@sangat ketat@|@watertight@
@sangat kuat@|@herculean@
@sangat kusut@|@distraught@
@sangat lapar@|@ravenous@
@sangat lelah@|@exhausted@
@sangat lembut/halus@|@ethereal@
@sangat marah@|@fury@
@sangat melelahkan@|@gruelling@
@sangat memarahkan@|@infuriate@
@sangat memperhatikan@|@address@
@sangat memuaskan@|@classic@
@sangat menakutkan@|@frightfully@
@sangat menarik@|@irresistable, glamorous@
@sangat mencintai/menginginkan@|@slobber over@
@sangat mendesak@|@imperative@
@sangat menekankan pengajaran/peraturan@|@pedantic@
@sangat mengagumi/mencintai@|@idolize@
@sangat mengganggu@|@prey, prey upon@
@sangat menggembirakan@|@delightful@
@sangat menggembirakan/membesarkan hati@|@enrapture@
@sangat mengherankan@|@flabbergast@
@sangat mengherankan shg tdk tahu apa yg hrs diper-@|@nonplus@
@sangat mengherankan/takjub/terperanjat@|@astound@
@sangat menghormati@|@kowtow@
@sangat menyayangi@|@dote on, cherish@
@sangat menyesal@|@remorse@
@sangat menyiksa/parah@|@excruciating@
@sangat merendahkan diri@|@subservient@
@sangat mewah/indah@|@princely@
@sangat mirip@|@world like, speaking likeness@
@sangat miskin@|@poverty-stricken@
@sangat mudah shg org dungu pun bisa@|@foolproof@
@sangat murah hati@|@munificent@
@sangat ngeri/takut@|@horror-struct, horror-stricken@
@sangat pandai@|@crack@
@sangat penting@|@urgent, importunate, momentous@
@sangat penting/berbahaya@|@vitaly@
@sangat penuh dgn@|@bursting with@
@sangat rapat@|@cheek by jowl@
@sangat sayang/setia/taat@|@devoted@
@sangat sibuk@|@hectic@
@sangat tabah@|@stoic@
@sangat takut@|@funk@
@sangat tamak.rakus@|@insatiable@
@sangat teliti@|@meticulous, pernickety, exacting@
@sangat teliti/berhati2@|@punctilious@
@sangat terasa@|@exquisite@
@sangat terburu2@|@post-haste@
@sangat terpelajar@|@erudite@
@sangat/penuh perhatian@|@regardful@
@sanggah@|@meng-, protest, oppose, contradict@
@sanggul@|@bun@
@sanggup@|@capable, afford, manage, competent@
@sanggup@|@able, capable@
@sanggurdi@|@stirrup@
@sangka@|@meny-, suspicion; idea, supposition; ber-, expect/intend/imagine; ter-, suspected@
@sangka krn pergaulan luas dgn bbg bgs@|@cosmopolitan@
@sangkaan@|@assumption, supposition, presumption@
@sangkal@|@ber-, be unwilling; meny-, deny, reject@
@sangkalan@|@rebuttal, denial@
@sangkar@|@cage@
@sangkar@|@bird cage, chicken coop; meny-kan, cage s.t.@
@sangkut@|@hook onto; meny-, concerned w/, involved, related to@
@sangkut paut@|@truck, concern, bearing@
@sangkutan@|@peg, hook@
@sangkutan di tepi perahu utk meletakkan dayung@|@rowlock@
@sangsi@|@qualm, misgiving, distrust, distrustful@
@sangsi@|@doubt (unlikely to occur) (v)@
@sangu makanan@|@wallet@
@sanjung@|@honor/praise; meny-(kan), (v); appease/cater to; ter-, flattered@
@sanjungan@|@adulation, eulogy, flattery@
@sanksi@|@sanction(s)@
@Sansekerta@|@Sanskrit@
@santai@|@lax, lounge, relaxation@
@santai@|@relax(ed); ber-(2), (v); meny-kan, cause s.t. to -; ke-an, state of -@
@santap@|@ber-, dine, formal eating; -an, food, meal@
@santapan@|@meal@
@santapan (resmi)@|@repast@
@santek@|@(Jv) latch@
@santo pelindung@|@patron saint@
@santo/santa@|@saint@
@santun@|@manner@
@santun@|@well behaved, good manners@
@sanubari@|@bosom@
@saos tomat@|@tomato sauce; ketchup@
@sapa@|@ber-an meny- greet e.o@
@sapaan@|@greeting@
@sapi@|@kine@
@sapi@|@cow@
@sapi muda yg belum pernah beranak@|@heifer@
@sapi perah@|@milchcow@
@sapu@|@broom@
@sapu@|@broom; meny-, sweep@
@sar@|@tough, blunt@
@sar tapi ramah & jujur@|@rugged@
@sar2@|@crown@
@saraf@|@nerve@
@saran@|@rekomendasi, proposisi, hint, hint, recommendation, proposition, consul@
@saran@|@-, -an, suggestion; meny-kan, propose/suggest s.t. (usul) (mengemukakan)@
@saran yg berguna@|@wrinkle@
@saran yg dikemukakan utk mengeta-@|@feeler@
@saran2@|@counsel@
@sarana@|@medium; tool; means@
@sarang@|@nest; web (spider); - madu (honeycomb); ber-, (v) nest@
@sarang (burung)@|@nest@
@sarang laba2@|@cobweb@
@sarang lebah@|@beehive@
@sarang madu@|@honeycomb@
@sarang/tempat memelihara lebah@|@hive@
@sarangan@|@colander@
@sarap@|@1.skin rash 2.litter 3.crazy@
@sarapan@|@breakfast@
@sarapan@|@-, ber-, have breakfast@
@sarat@|@groan@
@sarat@|@loaded/laden/full; meny-kan, load s.t.; ke-an, too loaded/full; density@
@sarat dgn@|@laden with@
@sarat hampir tenggelam@|@waterlogged@
@sari@|@concentrate, essence@
@saring@|@meny-, strain, filter; refine, distill; sift, separate, sort; -an, seive, strainer@
@saringan@|@sieve, screen, strainer@
@saringan bsr@|@riddle@
@sarjana@|@scholar@
@sarjana@|@scholar; academician degree-holder; title of degree similar to the bachelor's@
@saruk@|@-2, dragging of feet; (dgn langkah ter-2)@
@sarung@|@sarong, case@
@sarung@|@sarong; case, container; sheath; wrapper; condom@
@sarung (pedang)@|@sheath@
@sarung bantal@|@upholster, pillow-case, pillow-slip, slip@
@sarung bantal dll@|@upholstery@
@sarung biji tumbuhan@|@capsule@
@sarung jari@|@thimble@
@sarung pistol dr kulit@|@holster@
@sarung tangan@|@glove@
@sarung tangan tentara (dulu) dgn piringan logam@|@gauntlet@
@sarung tangan yg kuat@|@gauntlet@
@sasar@|@mad/insane/dazed; (me)ny-, miss o's target; go astray; ter-, ke-, lost/strayed away@
@sasaran@|@object, objective, mark@
@sasaran@|@target/aim/objective (relative to object)@
@sasaran tembakan/ejekan@|@butt@
@sasi@|@settlement@
@sastra@|@sastera; books, literature@
@sastra@|@books, literature; ber-, compose literature; -wan, man of letters@
@satpam@|@security guard; - bar, bouncer@
@satu@|@one@
@satu gerakan pena/renang/dayung@|@stroke@
@satu2nya@|@sole@
@satuan panas@|@therm@
@satu-persatu@|@singly@
@satwa@|@wild animal@
@saudagar@|@merchant@
@saudara@|@relative; family; (brother, sister)@
@saudara angkat@|@foster-brother, foster-sister@
@saudara kandung@|@sibling@
@saudara laki2 seayah/seibu@|@half-brother@
@saudara perempuan seayah/seibu@|@half-sister@
@saudara seayah/seibu@|@half-blood@
@saudara/penguasa@|@parricide@
@sauh@|@sail@
@saus@|@sauce@
@sawah@|@paddy field, farm@
@sawah@|@irrigated rice-field@
@sawan@|@fit@
@saya@|@I, me, mine@
@Saya kira…@|@I think…, I guess…..@
@saya org@|@syllogism@
@Saya turut berdukacita.  (If s.o. dies)@|
@sayang@|@attach, dear, coddle@
@sayang@|@love; pity, regret; dear, darling; - sekali, That's too bad.@
@sayang@|@love; pity; dear, darling@
@sayang (sekali).  (That's too bad)@|
@sayang!@|@alas@
@sayap@|@limb@
@sayap@|@wing@
@sayap@|@wing; meny-, outflank@
@sayap pesawat terbang@|@plane@
@sayap roda@|@mudguard@
@sayat@|@shave@
@sayat@|@slice; -2, scratches on legs, etc.; meny-, slice, slash into; touch profoundly@
@sayatan@|@slice@
@sayembara@|@prize contest; meny-kan, make a contest of an activity@
@sayu@|@wistful, glassy, glaze@
@sayu krn terlalu capai/cemas@|@drawn@
@sayup@|@soft, faint (of sound), blurred; -2, blurred, faintly, hardly, barely@
@sayup2@|@faint@
@sayur@|@vegetable(s); - mayur, all kinds of vegetables@
@sayur)@|@hot-pot@
@sbg akibatnya@|@consequent, thereupon, hereupon, consequent@
@sbg ganti@|@instead@
@sbg penasehat@|@advisory@
@sbg pengarang@|@authorship@
@sbg rahasia@|@confidence@
@sbg yg diakui@|@confessedly@
@sbgmn mestinya@|@scrappy@
@sbgn@|@partial@
@sbgn bsr@|@mainly, majority@
@sbgn dr pujian/celaan (pd sajak)@|@meed@
@sblm@|@prior, before@
@sblm Natal@|@advent@
@sblmnya@|@genealogy, beforehand@
@scatter@|@throw about@
@scr bercanda@|@arch@
@scr bergegas@|@pell-mell@
@scr birokrasi@|@bureaucratic@
@scr diagonal@|@crosswise@
@scr dpt dilihat/dimengerti@|@perceptibly@
@scr ingin tahu@|@curiously@
@scr jasmani@|@physically@
@scr kebetulan@|@adventitious, haphazard, casual@
@scr keseluruhan@|@bodily@
@scr kotor@|@filthlity@
@scr kurang menarik@|@drily@
@scr lain@|@otherwise@
@scr licik/curang/di bawah tangan/busuk@|@underhand@
@scr lisan@|@viva voce@
@scr masuk akal@|@sanely, credibly@
@scr medis@|@medically@
@scr meluas@|@widely@
@scr menakutkan@|@appallingly@
@scr mencemooh@|@tauntingly@
@scr mengejek@|@mockingly@
@scr mengutuk@|@damnably@
@scr menindas/menekan@|@oppressively@
@scr merendahkan/mengecilkan@|@disparagingly@
@scr mudah/sederhana@|@simply@
@scr pandai@|@knowingly@
@scr pelan2@|@settle@
@scr praktis@|@practically@
@scr rahasia@|@confidential@
@scr rahasia/diam2/gelap@|@clandestine@
@scr sangat merendahkan diri@|@slavishly@
@scr tdk sehat/wajar@|@morbitly@
@scr tdk sungguh2@|@perfunctorily@
@scr tdk wajar@|@unduly@
@scr teratur/tetap@|@regularly@
@scr tertegun2/ragu2/bimbang@|@hesitatingly, hesitantly@
@scr upacara@|@solemn@
@scr/dgn paksa@|@forcibly@
@sdh@|@before@
@sdh basi@|@hackneyed@
@sdh jelas@|@self evident@
@sdh selesai@|@see the last of@
@sdh siap & diputuskan@|@cut & dried@
@sdh tdk terlatih lagi@|@rust@
@sdh umum@|@prevalent@
@sdh wktnya utk dibayar@|@mature@
@sdng di-@|@brew@
@sdng mengerjakan sesuatu@|@midst@
@se-@|@slack, coincide@
@seabad lamanya@|@agelong@
@seadanya@|@scratch, pot luck@
@seajahtera@|@prosperous; safe@
@seakan2@|@quasi-..., as if, as though@
@seangkatan@|@contemporary@
@seasal@|@cognate@
@sebab@|@occation, inasmuch as@
@sebab@|@reason@
@sebab@|@because; cause@
@sebagai@|@as, how, like, such as@
@sebaik@|@patch on@
@sebal, sebel@|@resentful@
@sebaliknya@|@conversely, contrarily@
@sebanding@|@pro rata@
@sebangsa nyamuk kecil@|@gnat@
@sebar@|@menye-luaskan spread, disseminate, propagate (peny-luasan) dissemination, spread, promulgation@
@sebaya@|@coeval, contemporary@
@sebelah timur@|@easterly@
@sebelas @|@ke-an soccer team@
@sebelum@|@ere, ante-@
@sebelum@|@before@
@sebelum jam 12 siang@|@forenoon@
@sebelumnya@|@foregoing@
@sebelumnya@|@ahead, formerly, previously@
@sebenarnya@|@actually, virtual, proper, practically, matter@
@sebentar@|@suspend@
@sebentar@|@a while, moment@
@sebentar@|@a moment/instant@
@sebentar lagi@|@presently@
@sebentar timbul sebentar hilang@|@flicker@
@seberang@|@trans-@
@seberang@|@across, opposite; foreign (ber-an, on both sides, opposite e.o.)@
@seberang@|@meny-i, cross to other side@
@seberang lautan@|@oversea@
@sebetulnya@|@practically@
@sebidang tanah tinggi yg terbuka & kosong@|@down@
@sebut@|@-, ter-, mention, name, call; -an, term, expression, designation; quotation; meny-, (v) mention@
@sebutan utk hakim@|@honour@
@secercah harapan@|@gleam@
@secucup (air)@|@thimbleful@
@sedan@|@saloon@
@sedang@|@moderate, temperate, middling@
@sedang@|@-, while, in the process of; -kan, while/as long as@
@sedang@|@average/moderate/medium; sufficient; fits (clothes,etc.)@
@sedang saja@|@mediocre@
@sedang tjd/berlaku@|@afoot@
@sedangkan@|@whereas@
@sedap@|@appetizing, luscious, balmy, comfy@
@sedap@|@delicious, tasty (enak/lezat); nice, pleasing; refreshing (segar)@
@sedap dipandang@|@fancy@
@sedap dipandang/dilihat@|@harmonious@
@sedekah@|@alms@
@sedemikian rupa@|@such@
@sederet kamar dlm rumah bsr ditempati pengacara@|@chamber@
@sederet penguat pegangan tangga@|@balustrade@
@sederhana@|@unpretending, unpretentious, unassuming, rustic, artless, modest, humble, bald, temperate, severe, spare, straight forward, rude, plain, homely, conservative@
@sederhana@|@simple, straightforward@
@sederhana@|@simple, plain, unpretentious@
@sederhana & bagus@|@neat@
@sedia@|@ready; willing; ber-, -/prepared; meny-kan, prepare/equip/set aside@
@sedia@|@per-an, stock/provisions@
@sedia mematuhi peraturan@|@sportsmanlike@
@sedia menolong@|@favour@
@sedih@|@joyless, mope, spasm, forlorn, forlorn, doleful, dolorous, disconsolate, dismal, dejected, cut, pathetic, gloom, funereal, sore, regretful, poignant, mournful, miserable, low, downcast, downhearted, comfortless, cast@
@sedih@|@sad@
@sedih krn cinta tak terpenuhi@|@lovesick@
@sedih krn kehilangan (kematian)@|@bereaved@
@sedih krn pisah@|@wrench@
@sedikit@|@lean(er, est), narrow, slim, diminutive, slender, slight, certain, trifle, stingy, scant, somewhat, spare, remote, peep@
@sedikit@|@a little, few@
@sedikit anggur@|@tot@
@sedikit banyak@|@extent, certain extent@
@sedikit banyak kurang memuaskan@|@fashion, fashion@
@sedikit demi sedikit@|@bit by bit, piecemeal, gradual@
@sedikit memuaskan@|@edge@
@sedikit pengetahuan ttg@|@acquaintance@
@sedikit sekali@|@barely, thimbleful@
@sedikit2@|@pilfer@
@sedikitpun@|@pin@
@sedot@|@meny-, suck; inhale, sip from; -an, straw (for drinking)@
@see ~ to ~:sependpt@|@eye@
@see one through:membantu mengatasi@|@see@
@see one through:pai berhasil@|@see@
@seenaknya saja@|@offhand@
@segala@|@everything (seluruh, semua)@
@segala macam perasaan@|@gamut@
@segalanya utk-Mu@|@totus tuus@
@segan@|@linger, loath, loth, shy, shrink from, spare, reluctant, indisposed@
@segan@|@keep in o's place; feel that dealing w/ person of higher position; meny-hormati, respect; meny-i, have mutual respect@
@segan krn berttgan dgn suara hatinya@|@scruple@
@segan pd@|@chary@
@segar@|@exuberant, succulent, sweet, sound, spanking@
@segar@|@fresh, refreshed/ing@
@segel@|@seal@
@segel@|@seal, stamp (notarizing, etc.); ration coupon; ber-, sealed; meny-, (v)@
@segelintir@|@sprinkling@
@segenggm@|@handful@
@segera@|@forthwith, shot, straight away, prompt@
@segera@|@soon@
@segera@|@quickly, immediately; (serta merta, at once)@
@segera -@|@pat@
@segi@|@aspect@
@segi@|@side (geometry); angle/aspect/facet; sector (bidang/bagian)@
@segi 8@|@octagon(al)@
@segi3 siku2 dr kayu@|@set-square@
@segilima@|@pentagon@
@segini@|@this much@
@sehaluan@|@congenial@
@seharga 1 penny@|@pennyworth, penn'orth@
@sehari2an@|@livelong day@
@seharusnya@|@necessarily, ought@
@sehat@|@lusty, robust, sane, confer, exuberant, sanitary, hearty@
@sehat@|@healthy, well@
@sehat@|@healthy, sound; ke-an, health@
@sehat@|@healthy/sound; ke-an, health (n); peny-an, sanitation/health@
@sehat walafiat@|@fiddle@
@sehelai benang@|@ply@
@sehrsnya menerima@|@claim@
@sehub dgn@|@toward, respect@
@sehub.dgn@|@pertinent@
@sehub/bertalian dgn@|@regarding@
@seikal (rambut)@|@wisp@
@seikat (jerami)@|@wisp@
@seikat bunga@|@posy, nosegay@
@seikat rambut/bulu@|@tuft@
@seimbang@|@commensurate, co-ordinate@
@sejajar@|@square, flush, compatible@
@sejak@|@since (sedari)@
@sejak itu@|@thenceforth, thenceforward@
@sejarah@|@antecedent, chronicle@
@sejarah@|@story, history@
@sejarah@|@history@
@sejati@|@genuine@
@sejauh2nya@|@furthermost@
@sejenak@|@momentary, fleeting@
@sejenak@|@a moment/instant@
@sejenis@|@akin@
@sejenis bu-@|@stock@
@sejenis helicak@|@pedicab@
@sejenis kupu2@|@moth@
@sejenis permainan judi@|@bingo@
@sejenis semak/tumbuhan@|@hawthorn@
@sejml kecil@|@streak@
@sejodoh@|@brace@
@sejuk@|@clement@
@sejuk@|@cool@
@sekali@|@dearly, sorely, intense@
@sekali@|@once; -2, seldom (jarang); very (sangat, amat)@
@sekali@|@very@
@sekali^2@|@- tdk, jangan -, never; under no circumstances; hanya -, only a few times@
@sekali2@|@once in a away, from time to time, while@
@sekaligus@|@outright, body@
@sekaligus@|@all at once@
@sekalipun@|@notwithstanding, spite@
@sekalipun demikian@|@nevertheless@
@sekam@|@bran, husk, chaff@
@sekangkangan@|@groin@
@sekap@|@men-ripen fruit by enclosing it in s.t@
@sekarang@|@currently, nowadays, these days@
@sekarang@|@now; - juga, immediately; - ini, just now@
@sekarang juga@|@instantly@
@sekarat@|@gasp@
@sekat@|@partition, screen@
@sekat@|@screen ; partition; isolate, insulate@
@sekedar@|@just enough to; around, approximately@
@sekejap@|@fleeting, flash@
@sekelilingnya@|@aqueduct@
@sekelompok@|@feather@
@sekelompok (hewan sejenis)@|@flock@
@sekelompok org ahli yg diundang utk menjwb perta-@|@Brains Trust@
@sekelompok org yg dipilih utk-@|@council@
@sekelompok rumah yg dibatasi oleh 4 jln@|@block@
@sekepul asap@|@wisp, whiff@
@sekering@|@fuse@
@seketika@|@momentary@
@sekilak@|@hand@
@sekitar@|@vicinity, neighbourhood, circa, circumference@
@sekitar@|@about, approximately, near@
@sekitar itu@|@thereabouts@
@sekitar tempat itu@|@thereabouts@
@sekoci@|@gig, shuttle, sloop@
@sekoci darurat@|@lifeboat@
@sekolah@|@cadet corps@
@sekolah@|@school@
@sekolah campur utk putra-putri@|@co-education@
@sekolah di mana muridnya diasramakan@|@boarding-school@
@sekongkol@|@accessary, accomplice, confederate@
@sekop@|@hoe, scoop, spade@
@sekop tanah@|@shovel@
@sekrup@|@screw@
@seksama@|@scrupulous@
@seksi@|@section@
@sekte@|@sect@
@sekumpulan org yg ditugaskan utk memaksa org2 ma-@|@press-gang@
@sekunder@|@secondary@
@sekutu@|@partner, ally; ber-, united, allied@
@sel@|@cell, lock-up@
@sel darah@|@corpuscle@
@sela@|@crack; opening; gap; interval; interrupt@
@sela gunung@|@saddle@
@sela2@|@chink@
@selada@|@salad@
@selai@|@jam, preserve@
@selai@|@jam, jelly; - kacang, peanut butter@
@selain@|@except@
@selain itu@|@furthermore, well@
@selain/kecuali itu@|@besides@
@selak@|@meny-, insist; ke-, ter-, choked (ter, formal)@
@selalu@|@frequent, constantly@
@selalu@|@always@
@selalu hijau sepanjang thn@|@evergreen@
@selalu mau & bersedia uutk bekerja@|@glutton for work@
@selalu mengharapkan/mendambakan@|@hanker@
@selalu mengomel@|@nag@
@selalu teringat@|@catchy@
@selam@|@meny-, to dive; scuba dive; peny-, diver; kapal -, submarine@
@selama@|@course@
@selama setahun@|@yearlong@
@selamanya@|@forever@
@selamat@|@survive@
@selamat@|@greeting; safe; welfare, hapiness, prosperity; congratulations, wish good luck@
@selamat tinggal@|@farewell@
@selamat/sembuh dr@|@pull through@
@selampit@|@braid@
@selang@|@hiatus@
@selang@|@interval/break; ber-, alternately/ing (gilir); intermittent; tak lama ber-, not long afterwards, a short moment later@
@selang@|@hose@
@selang air@|@hose@
@selanjutnya@|@forth@
@selaput@|@film@
@selaput@|@membrane/film/coating@
@selaput jari kaki itik/kelelawar@|@webbed@
@selaput pelangi@|@iris@
@selaput/kulit lendir@|@mucous membrane@
@selaras@|@square, harmonious@
@selaras/sesuai/tdk berttgan dgn@|@consistent@
@Selasa@|@Tuesday@
@selat@|@strait@
