@English@|@Bambara@
@umbrella@|@sanjibènnan@
@un@|@diñèforobatònba@
@unbelief@|@dannabaliya@
@unbeliever@|@kafiri@
@unboiled@|@wulibali@
@uncircumcised@|@bolokobali@
@uncircumcised person@|@bolokobali@
@uncle@|@bènkè@
@uncooked@|@kènè@
@under@|@koro@
@underneath@|@jukòrò@
@understand@|@mèn@
@understanding@|@faamuli@
@unemployed person@|@baarantan@
@unending@|@banbali@
@unfaithfulness@|@kanntanya@
@unique@|@kelenpe@
@unite@|@jè'@
@united nations@|@diñèforobatònba@
@unity@|@kelenya@
@universe@|@duniya@
@university@|@kalansoba@
@unleavened@|@fununbali@
@unless@|@fò@
@unroll@|@walawala@
@unseen@|@yebali@
@untie@|@foni@
@until@|@fo@
@unwashed@|@kobali@
@uprightness@|@tilennenya@
@urine@|@sugunè@
@us@|@an@
@usefulness@|@nàfa@
@useless@|@kolon@
@utensil@|@minèn@
@uterus@|@denso@
@vacation@|@kònze@
@vaccinate@|@boloci@
@vaccination card@|@bolociseben@
@vanity@|@yerejira@
@vegetation@|@falenfenw@
@vehicle@|@bolifen@
@vein@|@jolisira@
@venerate@|@bato@
@venom@|@baga@
@veranda@|@ga@
@verb@|@wale@
@verse@|@werese@
@vertebra@|@kokoloden@
@vertical line@|@ci jolen@
@very much@|@haali@
@vet@|@bagandogotoro@
@victor@|@setigi@
@victory@|@se@
@vietnam@|@wiyètinamu@
@village@|@dugu@
@villager@|@dugulen@
@vinegar@|@winègiri@
@viper@|@fònfònnin@
@virgin@|@npogotigi@
@virginity@|@npogotigiya@
@visa@|@wisa@
@visible@|@yeta@
@vision@|@jiralifèn@
@visitor@|@dunan@
@vitamin@|@witamini@
@volcano@|@takulu@
@vomit@|@fòònò@
@vote@|@kalafili@
@voter@|@wotekèla@
@voting card@|@kalatasèbèn@
@vow@|@dafalen@
@vowel@|@dafalen@
@vulture@|@dùga@
@wages@|@sara@
@wagon@|@wotoro@
@wahabite@|@wahabiya@
@wait for@|@kò'nò@
@wake up@|@kunun@
@walk@|@yaala@
@wall@|@kogo@
@wander@|@yaala@
@want@|@be ... fe@
@war@|@kèlè@
@warm up@|@wòlòkò@
@warn@|@lasòmi@
@warning@|@lasòmili@
@warrior@|@kèlècèfarin@
@was the day peaceful?@|@hèrè tilenna?@
@was the night peaceful?@|@hèrè sira?@
@wash@|@kò@
@washing board@|@jirinin@
@waste@|@tiñè@
@watch@|@mònturu@
@watch out@|@kòlòsi@
@water@|@ji@
@water carrier@|@jitala@
@water pot@|@jifiñèn@
@water seller@|@jitigi@
@watering@|@sònni@
@watering can@|@arosuwari@
@watermelon@|@nsèrè@
@wave@|@jikuru@
@way@|@sira@
@way of life@|@balocogo@
@we@|@an@
@wealth@|@nafolo@
@wear@|@don@
@weaver@|@gesedala@
@weaving@|@dali@
@wedding@|@furusiri@
@wednesday@|@araba@
@weed@|@bín@
@weed killer@|@binfagalan@
@week@|@dògòkun@
@weigh@|@suma@
@weighing scales@|@sumanikèlan@
@weight@|@girinya@
@welcome@|@aw bisimila, bonya, i bisimila@
@weld@|@sude@
@welder@|@sudelikèla@
@well@|@ko'lon@
@well water@|@kòlònji@
@west@|@tilebin@
@western@|@tilebinyanfan@
@wet@|@ñigin@
@what@|@mùn@
@what is your name?@|@i tògò?@
@what's your last name?@|@i jamu?@
@wheat@|@alikama@
@wheel@|@sen@
@wheelbarrow@|@bureti@
@when@|@ni@
@where@|@min@
@where are you from?@|@i bè bò min?@
@where are you going?@|@i bè taa min?@
@Where is my room?@|@N dayoro bè min?, N ka sunogoyoró bè min?@
@Where is the bar?@|@Dòlo minyoro bè min?, Minyoro bè min?@
@Where is the beach?@|@Bada bè min?, Kòda bè min?@
@whether@|@yala ni@
@which@|@jumèn@
@while@|@ka ... to ...@
@whip@|@gèñè@
@whirlwind@|@fununfunun@
@whisky@|@wisiki@
@whistle@|@filenin@
@white@|@jèman@
@white man@|@tubabukè@
@white person@|@farajè@
@whiteboard@|@tabulo@
@whiten@|@jè@
@who@|@jòn@
@whole@|@mumè@
@why@|@munna@
@widow@|@muso-cè-salen@
@wife@|@furumuso@
@wild animal@|@wara@
@wild boar@|@kungolè@
@will@|@sago@
@wind@|@fiñè@
@wind instrument@|@fòlifèn fiyèta@
@window@|@finètiri@
@wine@|@diwèn@
@wing@|@kama@
@wink@|@ñèkòmi@
@winnow@|@fiyè@
@wipe@|@jòsi@
@wisdom@|@hakilitigiya@
@wise person@|@hakilitigi@
@wish@|@sago@
@witch@|@soma, subaga@
@witchcraft@|@suya@
@with@|@fè@
@wither@|@fòsònfòsòn@
@without@|@ni ... tè@
@witness@|@seereya@
@woman@|@muso@
@womb@|@dèbè@
@women@|@musow@
@wonder@|@kabakoya@
@wonderful@|@kabakoma@
@wood@|@yiri@
@wood cutter@|@jiritigèla@
@wooden@|@jirilama@
@wool@|@sagasi@
@word@|@kuma@
@word game@|@dañèlatulon@
@work@|@baara@
@worker@|@baaraden@
@working place@|@baarakèyòrò@
@workplace@|@cakèda@
@workshop@|@baarakèyòrò@
@world@|@diñè@
@world cup@|@kupidimòndi@
@world war@|@alimankèlè fòlò@
@worm@|@ntumu@
@worry@|@hamina, jòrèli@
@worship@|@batoli@
@worshipper@|@batobaa, batokela@
@worthless@|@fu@
@wound@|@joginda, joli@
@wounded person@|@joginbaatò@
@wrap@|@meleke@
@write@|@sèbèn@
@writer@|@sebenbaa, sèbènnikèla@
@writing@|@sèbènni@
@wrong@|@gasi, hàkè@
@xylophone@|@bala@
@yam@|@ku@
@yawn@|@haalo@
@year@|@san@
@yeast@|@fununnan@
@yell@|@pèrèn@
@yellow@|@mugu, neremugu, nèrèmuguman@
@yes@|@òwò@
@yesterday@|@kunùn@
@yesterday night@|@su rò@
@yogurt@|@yawuru@
@yoke@|@zu@
@you@|@aw, i@
@young man@|@kamalen@
@young woman@|@musomisèn@
@younger brother@|@dògòcè@
@younger sister@|@dògòmuso@
@your@|@i@
@your skirt is yellow@|@i ka kulosi ye jauni ye, i ka kulosi ye neremuguman ye@
@youth@|@denmisènya@
@zaire@|@zayiri@
@zambia@|@zanbi@
@zero@|@fu@
@zimbabwe@|@zinbawe@
@zoo@|@warabaso@

