@English@|@Somali@
@hold in the ground@|@hataq@
@hold on deposit@|@rukun@
@holding a reception@|@martisoorid@
@hole@|@bahol, bahu, dalool@
@hole in the ground@|@god, hog, lun@
@holy war@|@jahaad, jihaad@
@home@|@hooy, rug, ruun@
@homecoming@|@hooyad@
@honest person@|@aammin@
@honesty@|@miigganaan@
@honey@|@malab, sur@
@honor@|@heybad, muunad, muuno, xurmee, xurmo, xurmo, xushmad@
@honor (1)@|@cees, cisee, ciso@
@honorable woman@|@marwo@
@hoof@|@qoob@
@hope@|@doorbid, rajo@
@hope for@|@rajeey@
@horizontal@|@dadab@
@horn@|@buun, gees@
@horse@|@ashkir, bullaale, bullaale. faraw, bullaale. faraw, faras, fardo@
@hospital@|@cisbitaal, cusbataal, isbitaal@
@hostile person@|@nacab@
@hot@|@hah, kulul@
@hot desert@|@qafro@
@hot season@|@hogo@
@hotel@|@hoteel@
@hot-tempered person@|@dabbaraale@
@hour@|@saac, saacad@
@house@|@aqal, beyd, darar, guri, miin, min, min@
@household@|@maacuun, raas@
@how@|@sida, sidee@
@how are you?@|@Iska warran?, Sidee tahay?@
@How often a trivial theme@|@Waxaan duluc sii ridnayn@
@How old are you?@|@Imisa jir baad tahay?, Imisaad jirtaa?@
@however@|@hase@
@huddled@|@kuudud@
@human@|@insi@
@human being@|@aadame, aadane, dad@
@humaneness@|@dadnimo@
@humanity@|@aadami, insaaniyo@
@humidity@|@qoyaan@
@humiliation@|@liidniin@
@humility@|@khushuuc@
@hundred@|@boqol@
@hundreds@|@boqollaal@
@hundredth@|@boqolaad@
@hunger@|@aq, baahi, gaajaysnaan, gaajo, hammuun, haqab@
@hunger (1)@|@hamuumanaan, hamuun@
@hunt@|@ugaad, ugaar@
@hunter@|@yahan@
@hurry@|@degdeg, degdegid, dhaqsad, dhaqso@
@hurt@|@iimee, makal@
@hurt caused by a fall@|@hantaaqo@
@hurt oneself@|@isyeel@
@hurting oneself@|@isyeel@
@husband@|@abbaanwarre, abbaanwarre, say@
@husbandry@|@xannaanad, xannaano@
@husk@|@qolof@
@hut@|@beni, beni, bul, buul, min, min@
@hyaena@|@warab@
@hybrid@|@muqshabeel@
@hydrogen@|@haydarojiin, hidrojin@
@hyena@|@waraabe@
@I@|@aan, aniga, i@
@I am@|@ahay@
@I am called@|@Magacaygu waa ___@
@I am coming@|@imaneyaa@
@I am from New York@|@Wahaan ka imid New York@
@I am not@|@ihi@
@I am saying@|@oraneyaa@
@I and@|@anoo@
@I came@|@idhi, imid@
@I come@|@imaaddaa@
@I don't understand@|@Maan fahmin@
@I embraced falsehood@|@Intaan isku duubay been@
@I feel bad@|@Waan yara bukaa@
@I knew@|@iqiin@
@I know@|@aqaan@
@I love you@|@waan ku jecelahay@
@I 'm__-years old@|@Waaxaan ahay ... jir@
@I must operate on you@|@Waa inaan ku qalaa@
@I often read a simple matter@|@Maxaan arrin dawlis dhow@
@I said@|@iri@
@I say@|@iraahdaa@
@I strengthened@|@adeygey@
@I was@|@ahaa@
@I was located at@|@iil@
@I won't hurt you@|@Waxba kuu dhimi mayo@
@ice@|@baraf@
@idle chatter@|@guryan@
@if@|@haddii@
@if (condition)@|@haddii@
@ignition@|@daarid@
@ignorance@|@jaahilnimo, jahli, moogaan@
@ignorant person@|@jaahil@
@ignore@|@tasee@
@ignoring@|@tasayn@
@illiterate@|@caamo@
@illness@|@jirro, shuush@
@illusion@|@khayaali@
@illustration@|@taswiir@
@I'm fine@|@Fiicaan, Waan ladnahay@
@image@|@taswiir@
@imitate@|@canjil, dhaaji, jil, kuddayo@
@imitation@|@dhaajin, dheegasho, jil, jil, kuddayasho, taqliid@
@imitator@|@jile@
@immigrants@|@koyto@
@immigrate@|@haayir@
@impartial person@|@caaddil, duur@
@impassable place@|@jiqjiq@
@impatience@|@bayr, dulxumo, farammaggaad, farammaggaadho, kadaalli, koranwaa@
@imperialism@|@imberiyaali@
@impersonation@|@taqliid@
@importance@|@muhimnimo, qaaya@
@imposition@|@kallif@
@improve@|@horumari, islaax, ray, roonee, roonee@
@improvement@|@dibuhabeyn, kaskaasbax, kororsad, roonaan@
@improving@|@suubbis@
@impure@|@nejis@
@impurity@|@najaaso@
@in@|@ku@
@in (through)@|@ku@
@In a dim ailse@|@Ku daawaday meel qarsoon@
@in front of@|@hortiisa@
@in the morning@|@subaxnimo@
@inarticulate person@|@afgarooc@
@incapability@|@cabbanaan@
@incapacitate@|@naafee@
@incendiary speeches@|@guubaabo@
@incention@|@unug@
@incompleteness@|@qabyo@
@increase@|@badi, bado, biir, kordhi, korodh, koror, koror, kororso@
@increase (1)@|@kor, koror, korudhig@
@increasing@|@kordhin@
@increment@|@koror@
@incubation@|@cuq@
@indecision@|@walaac@
@indentations@|@buusbuus@
@independence@|@istiqlaal, madaxbannaani@
@index finger@|@murdiso@
@India@|@hindiya@
@indication@|@daliil, ishaaro@
@indigestion@|@laabjeex@
@indiscretion@|@haldhac, haldhacsasho@
@indispensable thing@|@lamahuraan@
@induce someone to talk@|@hadli@
@industry@|@sancad@
@infant@|@cunug, dhalad, sebi@
@infect@|@hurgumi@
@infection@|@caabuq, hurgumo, hurgun@
@inferior rank@|@gunnimo@
@inflamation@|@ololid@
@inflating@|@neefayn@
@inflicting@|@gaarsii@
@inform@|@ogeysii, wargeli@
@information@|@dooc, macluumaad, wacaal, warfaafin, warran@
@information (1)@|@khabaar@
@informing@|@ogaysiin@
@ingratitude@|@jasaarnimo@
@inherit@|@dhaxal@
@inherit livestock@|@dhaxlo@
@inheritance@|@dhaxal@
@inject@|@irbadee@
@injection@|@mudnaan@
@injure@|@wiiq@
@injury@|@dhaawac, dhimaal, godob, jug, lafajebis@
@injustice@|@dawdarro, gardarro@
@inlet@|@khoori@
@inner feeling@|@kash@
@inquire@|@wareyso@
@inquiry@|@sheegsi@
@insanity@|@waalli@
@insatiable hunger@|@hamuungorgor@
@insecting@|@gelin@
@insects@|@cayayaan@
@insecure place@|@haad@
@insertion@|@gelis@
@inside@|@gude, gudihiisa, gudo@
@inspect@|@baaro, qaadaadhig@
@inspection@|@qaadaadhig@
@instability@|@kadaalli, qalalaas@
@instruction@|@barid@
@insubordination@|@amardiidnimo@
@insult@|@afxumo, deedifee, dhabbaqo, dhabdarro, fadeexee@
@insult (1)@|@aflaggaaddo, aflaggaaddo, cay, caytan, fuxshi, gur@
@insurance@|@caymis@
@insurrection@|@inqilaab@
@integration@|@iskuddar@
@intelligence@|@caqli, fahmad, fahmo, habi, kas, kasmo, khabaar, khabaar@
@intelligent person@|@caqlilow@
@intend@|@damacsanoow@
@intensification@|@badasho@
@intention@|@faad, haayid, niyeysasho, niyeysasho, qasad, qasad, qasad, ujeeddo, ujeeddo, ujeeddo, ulajeedo@
@interest@|@dan, danee, himmad, korsocod, ribo@
@interfere@|@farageli@
@interference@|@faragelin@
@interpret@|@afceli@
@interpreter@|@afceliye, afhaye, afnaqe@
@intervene@|@luggeli@
@intervention@|@luggelis@
@intestines@|@guudo@
@intimidate@|@gardarrayso@
@intimidation@|@cabsigelin, gardarraysasho, gardarro@
@into@|@ku@
@into (fraction)@|@ku@
@intoxication@|@sakhramid@
@introduction@|@arar, hordhac, istus@
@introductions@|@gogoldhig@
@invent@|@alkun, amaamud, hindis, mala-awaal@
@invention@|@ahaysiin, alkun, amaamud, hindiso, sannif@
@inventor@|@mala-awaal@
@investigate thoroughly@|@niibkeen@
@investigation@|@baadidoon, baarid, hubsado, hubsasho, mandaq@
@investiment@|@maalgelin@
@invitation@|@casuumad@
@invite@|@casum@
@inviting@|@casumid@
@Iraq@|@ciraaq@
@iron@|@bir, biro, xadiid@
@irrigation@|@waraabin@
@Is anyone there?@|@hooddi@
@is it constant?@|@Ma isdaba-joog baa?, Xanuunku@
@Islan@|@islaamka@
@island@|@gasiirad, jasiirad@
@islands@|@jasaair@
@isolated settlement@|@jees@
@Israeli@|@yuhuudi@
@it is located at@|@yaal@
@it is not@|@maaha, maahee@
@it was at@|@yiil@
@it was not@|@yiil@
@itch@|@cuncun@
@itching@|@cuncunid@
@item@|@shey@
@itself@|@is@
@jackal@|@dawaca, dawaco, dayo@
@jacket@|@garbaggale, gashi, jubbad@
@jar@|@agaan@
@jaw@|@fuq, qal@
@jealous person@|@masayrrow@
@jealousy@|@masayr@
@jerk@|@gundhi@
@Jew@|@yuhuudi@
@jewel@|@jowhar@
@jewelry@|@siyaakhad, suuqad@
@jiggle@|@nuuxnuuxi, nuuxnuuxso, nuuxsasho, nuuxso@
@jihad@|@jahaad, jihaad@
@jihad (holy war)@|@jahaad@
@jilid@|@wrapper@
@job@|@guclee@
@John went out@|@John ayaa baxay, John baa baxay, Waxaa baxay John@
@join@|@daran@
@joint@|@kalaggoys, laabato@
@joint (of the body)@|@kalaggoys@
@joke@|@dheeldheel, kaftan, kajan, maad@
@joking@|@likaaco, majaajillo@
@jouney@|@safar@
@journalist@|@saxafi@
@journey@|@safar@
@journey to a distant place@|@jadeerwac@
@Juba river@|@jubba@
@judge@|@garnaqe, garsoor, garsoore, qaaddi, qaalli@
@judgement@|@gayood@
@judging@|@garqayb@
@juice@|@juus@
@jump@|@bood, handad, hanfaf, hanfaf, rabbaas@
@jumping@|@booddo, bootin@
@jungle@|@duur@
@just@|@caaddil@
@justice@|@caddaalad, garsoor, xaq@
@justification@|@baarrimasho, cudaddaar, cudaddaarasho, qalladasho@
@karaar@|@plumpness@
@karan@|@feast@
@keen-sightedness@|@indhafirqoonaan@
@keep@|@hay@
@keep accounts with pebbles@|@quruurux@
@keep on folding@|@laablaab@
@keep on passing@|@marmar@
@keep on pulling@|@jiidjiid@
@keep on shaking@|@ruxrux@
@keeping@|@keydin@
@keeping the peace@|@nabadsugid@
@Kenya@|@kiinya@
@kettle@|@ibriiq, kidhli@
@key@|@fure@
@kick@|@cagcagee, karaati, laad@
@kidding@|@dheeldheel@
@kidnap@|@afduub, qafaal@
@kidnapping@|@qafaal@
@kidney@|@kali, kelli@
@kill@|@bakhtii, dil, kanbal, laa, laay@
@killer@|@dilaan, qaati@
@killing@|@baqtiin, dil, layn@
@kind@|@caynad, eyni, jinsi, jinsi@
@kind of acacia@|@sogsog@
@kind of aloe@|@xig@
@kindle@|@huri@
@kindle several fires@|@daardaar@
@kindling@|@jabo, lul@
@kindness@|@naxariis, same@
@kinds@|@anwaac@
@king@|@boqor, malaakh, malig@
@kingdom@|@boqortooyo@
@kinky hair@|@jareer@
@kinship@|@gacalnimo, jinsiyad@
@kis@|@small amout@
@kiss@|@shummee@
@kitchen@|@jiko, madbakh@
@knee@|@jilib, low, ruug@
@knife@|@mindi@
@knock@|@jugee@
@knot@|@guntin, gunud@
@know@|@beeq, garo, garo, qaan, qiin@
@know how@|@garo@
@know it!@|@oqoow@
@knowledge@|@aqoon, aqoonsi, macrufad, ogaal, ogaan, tacliin@
@knowledge (1)@|@dhaayo, macrifo, ogaansho, oqoon, tacliin, tacliin@
@Koran@|@quraan@
@kudu antelope@|@aderio@
@label@|@taarga@
@labor@|@hawl, muruqmaal, shaqeeysi, tabcid, tabcid@
@labor in vain@|@tafantoof@
@laboratory@|@shaybaar@
@labour pains@|@fool@
@lack@|@darro, naaqis@
@lack of@|@darri@
@lack of compassion@|@jimicdarro@
@lack of energy@|@itaaldarro@
@lack of success@|@guuldarrayso@
@ladle@|@gure@
@lady@|@afo, mimsaab@
@lake@|@badyaro, haro@
@lamb@|@baraar, hilib ido@
@lament@|@calaacal@
@lamentation@|@tawaawac@
@lamp@|@misbaax, siraad@
@land@|@arlo, bilaad, geyi, giyi@
@land (as opposed to sea)@|@birri@
@land conservation@|@dhuldhaqasho@
@landing@|@degid@
@language@|@af, luqad@
@lap@|@dhab, liq@
@large bowl@|@adar@
@large enemy force@|@haayir@
@large group of warriors@|@gaas@
@large needle@|@maxaad@
@large number@|@wadar@
@large spear@|@teeri@
@largeness@|@weynaan@
@larvae of mosquitos@|@luluno@
@last@|@abaad@
@last child of a family@|@guruddanbays@
@last night@|@xalay@
@late afternoon@|@galabgaad@
@late in the afternoon@|@casarliiq@
@late morning@|@barqin, barqo@
@lateness@|@daahid, dibudhac@
@latrine@|@musqul@
@laugh@|@qosol@
@laughter@|@qosol@
@lava@|@caad@
@law@|@qaynuun, qeydo, xeer@
@lawsuit@|@dacwad, gar@
@lawyer@|@garyaqaan@
@lay a foundation@|@tiirmud@
@lay down@|@jiifi@
@laziness@|@caajis, cajis@
@lead a horse by a rope@|@taxaab@
@lead in single file@|@horkac@
@leader@|@beeldaaje, duubis, hoggaamiye, sayid, taliye@
@leader (1)@|@horfiiq, horkac, hormuud, horyaal, jammaamuur@
@leader (2)@|@abbaan, duubis, qaafo@
@leaders@|@maqaawiir@
@leadership@|@hoggaan, horyaalnimo, madaxtinnimo@
@leading@|@hoggaamin@
@leading an animal by a rope@|@sandulle@
@leading warrior@|@halaqdile@
@leaf@|@caleen@
@league@|@jamciyad@
@leak@|@daroor, dindin, habay@
@leakage@|@daroor@
@leaky vessel@|@habayo@
@lean@|@liic@
@lean meat@|@burunji, jiidh@
@learn@|@abab, baro, deris@
@learn by heart@|@qayb@
@learning@|@barasho, cilmi, dhigasho@
@leather@|@cukad, idiin@
@leather strap@|@seeb, sheep-ako@
@leather water-vessel@|@wadaan@
@leave@|@anbabbax, dhaaf, reeb@
@leave alone@|@daay@
@leave for@|@aad-@
@leave open to the air@|@haawo@
@leave unguarded@|@halladaadi@
@leaving@|@bixitin@
@lecture@|@dersid, meeris@
@lectures@|@duruus@
@leech@|@colaacol@
@left hand@|@gur@
@left side@|@bidix@
@left-handed person@|@gurey@
@left-handedness@|@gurranaan@
@leftover@|@baaqi, daalaca@
@leftovers@|@hambo, hanbo@
@leg@|@lug@
@legal matter@|@xaajo@
@legal rights@|@xuquuq@
@legs@|@manjo@
@lemon@|@liimo@
@lemonade@|@liimonaato@
@lend@|@amaahi, daymi@
@length@|@dheeri@
@lengthen@|@dheeree, nud@
@leopard@|@shabeel@
@less@|@ka yar@
@lesson@|@cashar, daras, dersi, meeris@
@let air out of@|@neefi@
@let go@|@daa@
@let out a secret@|@haldhacso@
@letter (alphabet)@|@xaraf@
@letter (mail)@|@dhambaal@
@lettuce@|@saladh@
@level ground@|@baarax@
@liar@|@baaayir@
@liberate@|@xoreey@
@liberation@|@xorayn@
@liberation front@|@gobannimadoon@
@librarian@|@buugaghaye@
@library@|@maktabad@
@lick@|@leef@
@lid@|@dabool@
@lie@|@been, inkir@
@lie down@|@jiifso@
@lie with@|@was@
@life@|@cumri, dhuun, naf, nolol, noolaad@
@lift@|@dandaami, gundhi, koruqaade, riddaami@
@light@|@daar, feynuus, if, iftiin, ilays, khafiif, nuur@
@light work@|@hawlyari@
@lightness@|@fududaan@
@lightning@|@biriq, hillaac@
@light-skinned@|@gibilcad@
@like@|@calmo, jecloow, jeclow, sida@
@like that@|@sah@
@likeableness@|@jacsanaan@
@likeness@|@ekaansho@
@liking@|@xiiso@
@limb@|@mujin, xubin@
@lime@|@liimo, liin@
@limestone@|@xaraar@
@limit@|@cidhif@
@limp@|@heeti@
@line@|@daliig, dildil, mardin, xarig@
@line up@|@saf@
@linkage@|@iskuxiriir@
@lion@|@ar, bahal, libaax, maroodi@
@lip@|@bishin, bushin, dibin, faruur@
@liquefied butter@|@ghee@
@list@|@liis@
@listen@|@dhegeyso@
@listen to@|@maqal@
@listen to each other@|@ismaqal@
@listening@|@maqlid@
@liter@|@litir@
@literacy@|@farbarasho@
@literature@|@suugaan@
@little@|@yar@
@little boy@|@kimiscun@
@littleness@|@yaraan@
@live animals as food-supply@|@wareego@
@liver@|@Beer, tiro, traw@
@liverstock@|@nool@
@livestock@|@maal, nool, nool, xoolo@
@livestock market@|@seylad@
@living@|@dhaqaaqil, noolaan, noolaasho@
@living being@|@nooli@
@living creature@|@sankunneefle@
@lizard@|@muluca@
@load@|@rar, shixnad, shixnad, tuul, xamuul, xamuul@
@loading@|@rarid@
@loan@|@caariyo, ereg@
@location@|@oollaan@
@lock@|@qafil, qataar@
@log@|@ruud@
@long@|@dheer@
@long for@|@majeero, xiisee@
@long for in vain@|@hunguriyee@
@long period@|@keni@
@longing@|@hiddiwaale, jamasho, jamasho, jimiimic, majeerasho, xiiso@
@look@|@arkid, arkid, eeg, ilaali@
@look after@|@korso@
@look at@|@day, dhugo, fiiri, hoomaay, jeeqaaq, ollog@
@Look before you leap@|@Intaadan falin ka fiirso@
@look down on@|@quudhso@
@look for@|@baadiggoob, baadiggoob, dagaal, doon, look for@
@look haggard@|@jaynaf@
@looking@|@dayasho@
@looking for help@|@ciidansi@
@loose@|@khalkhal@
@loosen@|@rux@
@looseness@|@jimcoonaan@
@loquacity@|@hadaltiro@
@lose@|@beel, lumi@
@lose its newness@|@carjab@
@lose money@|@khasaari@
@losing@|@beelid, hallayn@
@loss@|@beel, khasaaro@
@loss of consciousness@|@diid@
@losses@|@khasaare@
@lost person@|@habaw@
@loud noise@|@dayaan, qablan@
@louse@|@injir@
@love@|@caashaq, calmo, calmo, jacayl, jeceyl, macaan, maxabbo@
@love (1)@|@caashaq, jan, jecloow, jeclow@
@lover@|@gacalo, gashaan@
@low caste people@|@boon@
@lower jaw@|@daan@
@lower part@|@hoos@
@loyalty@|@heellanaan@
@luck@|@ayaan, buruud, doobir, hoodo, nasiib, qadan@
@luck (1)@|@kadbasho@
@lump@|@fud, kuus@
@lunch@|@harimo, qado@
@lung@|@sambab@
@lungs@|@sambab@
@machine@|@makiinad, mishiin@
@machine gun@|@bamban, banban@
@madman@|@majnuun@
@magazine@|@magaasin@
@magnet@|@birdanab@
@magnetism@|@maqnaaddiis@
@mahrajaan@|@gathering@
@maid@|@adeegto@
@maidservant@|@jaariyad@
@maintenance@|@dayactir@
@maize@|@galley@
@majin@|@majin@
@major@|@gaashaanle@
@majority@|@badi, qaalib@
@make@|@fal, saamee, samee, tacab, tacab@
@make a circle@|@meegaar@
@make a decision@|@arrimi, ishaafalo@
@make a loud noise@|@dayaan, qablan@
@make a mistake@|@khatalan, qalad@
@make a noise@|@shanqar@
@make a noise of footsteps@|@janqaad@
@make a place stuffy@|@huuri@
@make a plan or decision@|@haami@
@make a poicy@|@ishaafalatee@
@make a profit@|@macaash@
@make a speech@|@khudbee@
@make a will@|@dardaaran@
@make an apology@|@afeefso@
@make an error@|@gef@
@make an excuse@|@marmarsiinyood@
@make an uproar@|@salow@
@make angry@|@caree@
@make arrangements@|@ballami@
@make better@|@roonee@
@make blunt@|@guxuun@
@make clever@|@fiicnee@
@make dizzy@|@daandaami@
@make dough@|@cajiin@
@make drunk@|@sakhraami@
@make easy@|@fududee, sahal@
@make empty@|@hungee@
@make even@|@iniif, itaal@
@make great@|@weynee@
@make happy@|@farxi, mustareexi@
@make into brothers or sisters@|@walaalee@
@make it in time@|@haleel@
@Make it of wood!@|@Qori ka samee!@
@make it real@|@dhabee@
@make jealous@|@masayri@
@make kind@|@boqor@
@make last@|@gaadhsii@
@make nice or good@|@wanaaji@
@make noise@|@buuq@
@make oneself close to@|@xigto@
@make pass@|@mari@
@make peace@|@nabadsii@
@make possible@|@suuraggeli@
@make preparations@|@qaanqaan@
@make progress@|@horumar, horummar@
@make reach@|@gaarsii@
@make someone laugh@|@qosli@
@make someone Muslim@|@Muslimiinta@
@make something round@|@hunbul@
@make sure of@|@hubi@
@make thirsty@|@oomi@
@make trouble@|@dhib, kadeed, make trouble@
@make use of@|@intifaac, isticmaal@
@make war@|@xarbi@
@make well@|@ladnee@
@make white@|@caddee@
@making@|@samays@
@making it in time@|@haleel@
@mal@|@feces of newborns@
@male@|@mun@
@male camel@|@rati@
@male cat (tomcat)@|@curre, curri@
@male slave@|@bidde@
@malnutrition@|@nafaqodarro@
@man@|@nin, war@
@man of religion@|@wadaad@
@manage@|@agaasin, dhabiil, farsamee@
@management@|@agaasin, maamul@
@manager@|@agaasime, maamuliye@
@mane@|@gama, guud@
@manhood@|@ragannimo@
@manjo@|@legs@
@manner@|@dabac@
@manners@|@asluub@
@many@|@badan@
@many cracks@|@jeexjeex@
@many splits@|@jeexjeex@
@map@|@khariidad, khariiddo@
@marble@|@marmar@
@march@|@dhacdhac@
@mare@|@geenyo@
@mark@|@baadisooc, tilmaan@
@market@|@suuq@
@market-trader@|@warato@
@marriage@|@aroos, guur, guursasho, mehersasho, tag, tagsi@
@married woman@|@arad, bilcan@
@marry@|@aroos, guurso@
@marrying@|@dhaxsad, dhaxsasho@
@marvel@|@cajab, cajiib@
@master@|@farsameeye@
@mat@|@darin@
@material@|@kharqad, maro@
@maternal aunt@|@habaryar@
@maternal uncle@|@abti@
@matter@|@ammuur, amuur, arrin, wax@
@matters@|@arrimaha@
@mattress@|@joodari@
@may@|@maajo@
@me@|@aan, aniga, i@
@meal eaten in sunset of Ramad@|@affur@
@mean@|@jeed@
@meaning@|@macne@
@meaningless chatter@|@nacnac@
@meaningless talk@|@booyaan@
@measure@|@cabbir, dhereri, jimee, kiil, qayd@
@measure out@|@miis@
@measurement@|@cabbir, qiyaas@
@meat@|@cooddi, hilib, soc@
@medal@|@billad@
@mediate@|@dhexdhexaadi@
@mediation@|@dhexdhexaadin, dhexgalka, garqayb@
@mediator@|@garnaqe@
@medical treatment@|@daawadhigasho, daaweysad, daaweysasho@
@medicine@|@daawo, daawooyin, dawo@
@meet@|@kulan@
@meeting@|@kulan, kulanti, lajnad, madar, qabbilaad, qabbilaad, urur@
@meeting place@|@madal, majlis@
@melody@|@hees@
@melt@|@dhalaal@
@melting@|@shubmid@
@membership@|@xubininimo@
@membership of a group@|@xubin@
@memory@|@cululbad, cululubasho, xusuus@
@men@|@dad, rag@
@mend@|@kab@
@mending@|@humasho, hun@
@mental confusion@|@miryaad@
@mention@|@xus@
@merchandise@|@badeecad@
@merchant@|@baayacmushtari, ganacsade, iibiye, iibiye@
@mercifulness@|@raxmad@
@mercy@|@jimic, jixinjix@
@mess@|@qaabdarro@
@message@|@daliigmo, farriin@
@metal@|@bir@
@metallic thread@|@tel@
@meter@|@mitir@
@method@|@hab@
@midday@|@duhur@
@middle@|@badhtan, bartame, dhex@
@midget@|@guuyo@
@midnight@|@saqbadh@
@midwife@|@dhaliye, ummuliso@
@migrate@|@guur@
@migration@|@guurid, guuris@
@migration to a distant place@|@hiilgurasho@
@mile@|@mayl, miil@
@military@|@ciidammo@
@milk@|@caano, leben, maal@
@milk jar@|@aagaan@
@milking@|@maal@
@million@|@malyuun, milyuun@
@mince@|@cadee, jarjar, jarjar, kidif@
@mind@|@dhimir, maan, niyad, niyo@
@mine@|@anigale@
@minerals@|@macdan@
@minister@|@wasiir@
@ministry@|@wasaarad@
@minus@|@naaqus@
@minute@|@daqiiqad, daqiiqo@
@mirage@|@dhalanteed@
@mirror@|@biladdaye, muraayad@
@misbehavior@|@basarxumo@
@miscarry@|@dhici@
@misery@|@eel, ilxumo@
@misfortune@|@hoog@
@misinterpretation@|@taxriif, taxriifi@
@misinterpreting@|@taxriifin@
@mislead@|@habaabi, khawaysii, luggooy@
@miss@|@ilduuf, seeg, xiisee, xiisee@
@miss each other@|@isgaf@
@mission@|@ergo@
@mist@|@ciryaamo, oomaar@
@mistake@|@gef, laxni, meelkadhac, meelkadhac@
@misunderstand@|@maandhaaf@
@misunderstanding@|@durqun, sarqaalibasho@
@mix@|@lab@
@mix milk with water@|@xarimay@
@mix something for self@|@qaso@
@mixing@|@labid@
@mixture@|@dhafdhaf, iskuddar, iskuddar, iskudhaf, lufluf, qoosh@
@mixture (1)@|@iskujir, murug, murugsanaan@
@moan@|@talal@
@moaning@|@guhaad, muusannaw@
@mobilization@|@kiin@
@modesty@|@khushuuc@
@Mogadishu@|@mogadisho, mogadishu, Muqdisho, xamar@
@moisture@|@qoyaan@
@monday@|@isniin@
@money@|@lacag@
@monkey@|@daanyeer, daayeer, daayeer@
@month@|@bil, shahar@
@moon@|@bil, dayax@
@moonlight@|@circaddaa@
@more@|@ka badan@
@morning@|@barii, foog, subax@
@morning walk@|@kalah@
@Morocco@|@marooko@
@morsel@|@biid, biid, kidif@
@mosque@|@masaajid@
@mosquito@|@dhilmaanyo, kaneeco@
@most@|@ugu badan@
@mother@|@habar, hiindo, hooyo@
@motherless boy@|@rajay@
@motion@|@dhaqdhaqaaq@
@motivate@|@dhiirri@
@motor@|@fatuurad, matoor@
@mountain@|@buur, taag@
@mountain pass@|@karin@
@mountain peak@|@qar@
@mountain top@|@duud@
@mourn@|@barooro@
@mouse@|@walo@
@mouth@|@af@
@mouthful@|@luqmad@
@move@|@dhaqaaji, dhaqaaq, rar@
@move a little@|@nuuxi@
@move apart@|@feeraari@
@move at night@|@dheelan@
@move forward@|@horummari@
@move slightly@|@siki@
@movement@|@dhabasho, dhaqaaq, dhaqdhaqaaq@
@movement forward@|@hormarid@
@Mozambique@|@moosambiik@
@mud@|@dhiiqo, dhoobo, libiq@
@mud hut@|@cariish@
@muddy water@|@calas@
@Mudug (region in Somali)@|@mudug@
@mug@|@fujaan@
@mule@|@baqal, genyo@
@multiplication@|@badasho, badnaan, iskudhufasho@
@multiply@|@bulaal, bulaal, taran@
@murderer@|@qaati@
@murmur@|@gunuunuc, gunuunuc, hugan, hunnuhunnu, nuunaas, nuunaas, nuxnuxlee@
@murmur (1)@|@nuxnux@
@muscle@|@muruq, xubin@
@museum@|@matxaf@
@music@|@muusiik, muusika@
@musk deer@|@bayr@
@Muslim@|@islaan@
@Muslim call to prayer@|@addan@
@Muslim law@|@sharci@
@Muslim regular prayers@|@salaad@
@Muslim statement of faith@|@shahaado@
@mutter@|@gunuunuc, hugan, nuunaas, nuunaas@
@muttering@|@hugun, nuunaas, nuunaas@
@mutual love@|@isjeclaan@
@mutual understanding@|@ismaqal@
@muzzle@|@gafuur@
@My eyes owe-inspired did shine@|@Indhuhu ku daraaandareen@
@My name is Joseph@|@Yuusuf baa la i yiraahdaa@
@myself@|@is@
@mystery@|@qarsoodi, qarsoonaan@
@na@|@khashiin@
@nail@|@musbaar, musmaar, qodob@
@naivety@|@khashiinnimo@
@nakedness@|@qaawanaan@
@name@|@isim, magac, magacaab@
@name as representative@|@wakiilo@
@nap@|@laamaddood, sardho@
@nape@|@sagan@
@narrow place@|@huluul@
@nation@|@qaran, umad, ummad, ummad@
@nationalization@|@tolayn@
@nationalize@|@tolee@
@nationhood@|@dawladnimo, qaranimo@
@native land@|@waddan@
@natural resource@|@nicmo, nimco@
@nature@|@dabeec, dabeecad, qurjad, qurjad, siiro@
@nausea@|@laballabo, lallabo, mantag, mantag, matag@
@navel@|@xuddun@
@near@|@ag, agtiisa, caw, gebi, kuur, xigeen@
@nearness@|@ag, dhowaan@
@necessity@|@lagamamaarmaan@
@neck@|@luqun, qoor, sur@
@necklace@|@bead, kuul@
@need@|@baahi, ceednaan, jeel, ubbaahasho, ubbaahasho@
@needing help@|@ciidanxumo@
@needle@|@irbad@
@needy person@|@muxtaaj@
@negative@|@diiddoley@
@neglect@|@gab, gab, haawasho, hawir@
@neglect of responsibility@|@hagar@
@neglected@|@layic@
@negligence@|@dayac@
@negociate@|@xaal@
@neighborliness@|@jaarnimo, jiiraannimo@
@neighbour@|@deris, jaar, jaaraan, jiiraan@
@neighbourhood@|@agaag, xaafad@
@neo-colonialism@|@gumeysi@
@nest@|@buul@
@neutral@|@dhexdhexaad@
@new@|@cusub@
@new grass@|@doog@
@new moon@|@bilad@
@new thing@|@cusayb@
@newborn child@|@muluq@
@newly-kindled fire@|@hulkan@
@newness@|@cusboonan@
@news@|@dooc, dooc, khabaar, khabaar, khabaar, qiso, war@
@newspaper@|@jariidad, jeriida, wargeys@
@next@|@xigeen@
@next to@|@gebi@
@nice to meet you@|@Barasho wacan@
@niceness@|@wanaagsanaan@
@nickname@|@koofaar, naanays, naynaas, neenaas@
