@English@|@Vietnamese@
@physical exercise@|@th‹ døc@
@piano@|@Ç©n; Çàn@
@piaster@|@ÇÒng@
@pick (garden)@|@cuÓc@
@pick a fight@|@sinh s¿@
@pick up on@|@tán@
@pick up something from the ground@|@nh¥t@
@picture frame@|@khung änh@
@piece of art work@|@tác phÄm@
@pierced@|@lûng@
@pig@|@l®n@
@pig (slang)@|@håm (lóng)@
@pig's feet@|@móng heo@
@pile@|@ÇÓng@
@pilgrimage@|@hành hÜÖng@
@pine tree@|@thông (cây)@
@pineapple@|@dÙa, khóm, thÖm@
@pipe@|@Óng@
@pipe (tobacco)@|@Óng vÓ@
@pit@|@hÓ@
@pitch dark@|@tÓi thui@
@pitfall@|@cåm bÅy@
@place@|@Ç‹, xÙ@
@placement@|@Ç¥t@
@plaintiff@|@nguyên cáo@
@plan@|@k‰ hoåch@
@plant@|@cây@
@plant (v)@|@trÒng@
@plasticize@|@làm chÃt plastic@
@plat du jour@|@b»a æn Ç¥c biŒt hôm nay@
@platform@|@bøc ÇÙng, cÜÖng lïnh (chính trÎ)@
@platitude@|@tÀm thÜ©ng@
@platonic@|@thánh thÜ®ng (không xác thÎt)@
@platonic love@|@tình yêu thánh thÜ®ng@
@play (drama)@|@v« kÎch@
@play a wind instrument@|@th°i kèn@
@play around@|@nô Çùa@
@play backup music (v)@|@ÇŒm nhåc@
@play cards@|@Çánh bài@
@play drum@|@Çánh trÓng@
@play musical keyboard or string instrument@|@Çánh Çàn@
@play safe@|@thû c£ng@
@play with fire@|@thº lºa@
@pleasant scent@|@thÖm@
@please (v)@|@chiŠu@
@pleased@|@thích thú@
@pledge (v)@|@nguyŒn@
@pliers@|@kìm, kŠm@
@poet@|@thi nhân, thi sï@
@point@|@chÃm, Çi‹m@
@point out@|@chÌ@
@point with finger (v)@|@chÌ chÕ@
@pointless@|@vô b°@
@poison@|@Ç¶c, Ç¶c dÜ®c@
@poison (v)@|@ÇÀu Ç¶c@
@poisonous@|@Ç¶c@
@Poland@|@Ba Lan@
@pole vault@|@nhäy xào@
@Poliburo@|@Chính TrÎ B¶@
@police@|@cänh binh, cänh sát@
@policy@|@chính sách@
@polite@|@lÍ Ç¶@
@political arena@|@chính trÜ©ng@
@political community@|@chính gi§i@
@political deputy@|@chính trÎ viên, chính ûy@
@politician@|@chính khách, chính trÎ gia@
@politics@|@chính trÎ@
@pontoon@|@cÀu n°i@
@poor@|@hàn vy, nghèo@
@poorly raised@|@vô giáo døc@
@poorly written@|@bÃt thành cú@
@popular@|@thÎnh hành@
@port@|@cäng@
@Portugal@|@BÒ ñào Nha@
@Portuguese@|@ti‰ng BÒ ñào Nha@
@position (hierarchical)@|@thÙ@
@position)@|@tæng chÙc@
@positive impression@|@thiŒn cäm@
@post@|@niêm y‰t@
@post mortem@|@truy thæng@
@post mortem funeral@|@truy ÇiŒu@
@post office@|@bÜu ÇiŒn@
@postal service@|@dÎch vø bÜu ÇiŒn@
@postpone@|@Çình hoãn@
@potential@|@tiŠm næng, tri‹n v†ng@
@pound on@|@vÒ@
@pour over (v)@|@d¶i@
@power@|@ÇiŒn l¿c, quyŠn l¿c, uy quyŠn@
@power off@|@t¡t ÇiŒn@
@power on@|@bÆt ÇiŒn@
@power station@|@tråm ÇiŒn l¿c@
@powerful@|@có quyŠn l¿c, månh më@
@powerhouse@|@nhà máy phát ÇiŒn@
@powerless@|@bÃt l¿c@
@powerstructure@|@cÖ cÃu quyŠn l¿c@
@practical@|@th¿c døng@
@practice@|@th¿c tÆp@
@pragmatism@|@chû nghïa th¿c t‰@
@praise@|@ca ng®i, ÇŠ cao, tán dÜÖng@
@praiseworthy@|@Çáng ÇÜ®c ng®i khen@
@prank@|@trò Çùa@
@pray@|@cÀu nguyŒn, khÃn, nguyŒn cÀu@
@prayer@|@nguyŒn cÀu@
@pre-@|@tiŠn@
@preach@|@thuy‰t pháp@
@precedence@|@tiŠn lŒ@
@preceptor@|@thÀy giáo@
@precise@|@chính xác@
@preclude@|@loåi ra, ngæn trª, trØ khº@
@precursor@|@tiŠn thân@
@predation@|@æn cÜ§p@
@predecessor@|@ngÜ©i tiŠn nhiŒm, tiŠn nhân@
@pre-destined@|@tiŠn ÇÎnh@
@predicament@|@nghÎch cänh, th‰ kËt@
@predicate@|@công bÓ, xác nhÆn@
@predict@|@tiên Çoán@
@predominant@|@khÓng ch‰@
@preferential treatment@|@Üu Çãi@
@pregnant@|@chºa, mang thai@
@pregnant woman@|@sän phø@
@prehensible@|@lÃy ÇÜ®c@
@prejudge@|@phán Çoán quá v¶i@
@preliminary@|@sÖ khªi, vòng ÇÀu@
@preliminary hearing@|@h†p sÖ khªi@
@prelude@|@mª màn (kÎch)@
@premise@|@giä thuy‰t@
@prep@|@sºa soån@
@preposition@|@gi§i tØ@
@prerequisite@|@ÇiŠu kiŒn tiên quy‰t@
@preschool@|@mÅu giáo@
@present@|@hiŒn diŒn@
@present one self to someone@|@tham ki‰n@
@presentation@|@thuy‰t trình@
@preside@|@chû t†a@
@presiding judge or justice@|@chánh án@
@press@|@báo chí@
@press a button@|@bÃm@
@pretend@|@giä v©, làm b¶, v©@
@pretend not to see or know (v)@|@l©@
@pretentious@|@khách sáo@
@pre-trial@|@d¿ thÄm@
@pretty@|@xinh x¡n@
@prevent@|@phòng ngØa@
@prevent an illness@|@phòng bÎnh@
@prevention@|@phòng, phòng ngØa@
@prevention of disease@|@phòng bŒnh@
@previous@|@trÜ§c kia@
@previous criminal records@|@tiŠn án@
@previous life@|@tiŠn ki‰p@
@pre-war@|@tiŠn chi‰n@
@price@|@giá, giá cä@
@price hike@|@tæng giá@
@priest@|@Çåo sï@
@prime minister@|@thû tÜ§ng@
@prince@|@thái tº@
@principal@|@chánh, chû y‰u@
@principal (school)@|@hiŒu trÜªng@
@principle@|@nguyên lš@
@priority@|@Üu tiên@
@privacy@|@riêng tÜ@
@private@|@tÜ@
@private ownership@|@tÜ h»u@
@private property@|@tÜ sän@
@private school@|@tÜ thøc@
@privatization@|@tÜ h»u hóa@
@privatize@|@tÜ h»u hóa@
@privilege@|@Ç¥c quyŠn@
@pro-active@|@chû Ç¶ng@
@procedure@|@thû tøc@
@proceed despite ...@|@m¥c nhiên@
@prodigy@|@thiên tài@
@produce from inside@|@xuÃt@
@product@|@sän phÄm@
@product of imagination@|@sän tÜªng@
@productivity@|@næng xuÃt@
@profession@|@nghŠ, nghŠ nghiŒp@
@professional@|@chuyên nghiŒp@
@professor@|@giáo sÜ@
@profit (v)@|@l©i, l®i tÙc@
@profound (meaning)@|@thâm thúy@
@profusely@|@trÀm trÒ@
@progress@|@ti‰n b¶@
@promenade@|@Çi dåo@
@promote (rank)@|@phong chÙc, thæng cÃp@
@promotion (rank@|@tæng chÙc@
@propeller@|@chong chóng@
@propensity@|@khuynh hÜ§ng@
@prosecute@|@truy tÓ@
@prosecutor@|@công tÓ viŒn@
@prosperity@|@thÎnh vÜ®ng, thÎnhvÜ®ng@
@prosperous@|@thÎnh vÜ®ng@
@prostitute@|@Çï, Çi‰m@
@protect@|@che chª@
@protégé@|@ÇŒ tº@
@protest@|@c¿ n¿, phän ÇÓi@
@protruding@|@lòi@
@prove@|@minh chÙng@
@proverb@|@tøc ng»@
@provide@|@cung cÃp@
@provisional@|@lâm th©i@
@provisional government@|@chính phû lâm th©i@
@proximity@|@cÆn, gÀn@
@pry@|@cÆy, nåy n¡p, t†c måch@
@pseudo@|@giä@
@pseudo doctor@|@lang bæm@
@psychological warfare@|@tâm lš chi‰n@
@psychology@|@tâm lš, tâm lš h†c@
@psychopath@|@ngÜ©i Çiên@
@pteriodology@|@m¶t trong các ngành thäo h†c@
@ptosis@|@m¡t bÎ xŒ xuÓng, m¡t nhÜ§ng@
@pub@|@quán rÜ®u@
@public@|@công, công chúng@
@public administration@|@công quän@
@public building@|@công th¿@
@public property@|@công sän@
@publicly@|@công, công khai@
@publish@|@xuÃt bän@
@puce@|@tím nâu ÇÆm@
@punitive damage@|@bÒi thÜ©ng trØng phåt@
@puppet government@|@chính phû bù nhìn@
@pure@|@tinh khi‰t@
@purge (from ranks)@|@thanh trØng@
@purple@|@tím@
@purpose@|@møc Çích@
@purse@|@bóp, ví@
@push food into mouth with chopsticks@|@và@
@push rice into mouth with chopsticks@|@và cÖm@
@put@|@Ç‹@
@quality@|@phÄm chÃt@
@quantity@|@khÓi lÜ®ng@
@question@|@câu hÕi@
@question oneself@|@t¿ vÃn@
@quietly@|@l£ng l¥ng, se së, thÀm kín@
@quizz (v)@|@v¥n@
@rabbit@|@thÕ@
@race (n)@|@nòi giÓng@
@racial discrimination@|@kÿ thÎ chûng t¶c@
@radio broadcasting@|@phát thanh@
@radio station@|@Çài phát thanh@
@raft@|@bè@
@ragged@|@tä tÖi@
@rain@|@mÜa@
@rank@|@thÙ, thÙ, thÙ, thÙ bÆc@
@ranking@|@thÙ bÆc, thÙ hång, thÙ t¿@
@rare@|@hãn h»u, hi‰m@
@rare (food)@|@tái@
@rare and well-done meat (Pho soup)@|@tái nåm@
@rasp@|@chà månh@
@rat@|@chu¶t@
@rat (big)@|@chu¶t trù@
@rathe@|@ÇÀu mùa, chín s§m, nª s§m@
@rather@|@thà r¢ng@
@raw (food)@|@sÓng@
@re (prefix)@|@tái@
@reach stardom@|@thành danh@
@reaction@|@phän Ùng@
@reaction (science)@|@phän l¿c@
@reactionary@|@phän Ç¶ng@
@read (v)@|@Ç†c@
@reader@|@Ç¶c giä@
@reading glasses@|@møc kÌnh@
@reaffirm@|@tái xác nhÆn@
@real@|@thÆt@
@real (Southern)@|@thiŒt@
@real estate tax@|@thu‰ th° tråch@
@realistic@|@thÙc th©i@
@reality@|@th¿c t‰@
@Really?@|@ThÆt sao?@
@reason@|@nguyên nhân@
@reason (n)@|@lš lë@
@reason (v)@|@lš luÆn, lš s¿@
@rebate@|@hoàn tiŠn@
@rebel@|@loån@
@rebel (v)@|@làm gi¥c@
@rebels' hideaway@|@bÜng@
@rebirth@|@tái sinh@
@recall (an official)@|@triŒu hÒi@
@receipt@|@biên lai@
@receive@|@hÜªng, nhÆn@
@receive a person@|@Çón@
@receive instruction@|@thø huÃn@
@recognize own mistake@|@giác ng¶@
@reconnaissance@|@thám thính@
@reconstruct@|@tái thi‰t@
@record@|@ghi chú, hÒ sÖ, hÒ sÖ@
@record (v)@|@ghi chú, ghi nhÆn, ghi xuÓng@
@recount@|@Ç‰m låi@
@recover@|@phøc hÒi@
@red@|@ÇÕ@
@redecorate@|@chÌnh trang@
@re-establish@|@tái lÆp@
@reference@|@chi‰u dÅn@
@referendum@|@trÜng cÀu dân š@
@reflect@|@phän änh, th‹ hiŒn@
@reflex@|@phän xå@
@reform@|@cäi cách@
@refuse@|@c¿ tuyŒt, tØ chÓi@
@refuse to carry out until demand is met@|@làm reo@
@refuse to undertake@|@thoái thác@
@regardless@|@bÃt chÃp@
@regret@|@ân hÆn, hÓi hÆn, hÓi ti‰c@
@reinforce@|@tæng cÜ©ng@
@reject@|@khÜ§c tØ, tØ chÓi@
@related to@|@liên hŒ@
@relationship@|@quan hŒ@
@relative (ant. absolute)@|@tÜÖng ÇÓi@
@relax@|@nghÌ@
@relay (v)@|@ti‰p vÆn@
@release@|@phát ra, thä ra@
@release water@|@xä nÜ§c@
@relentless@|@t§i tÃp@
@religion@|@Çåo@
@religious group@|@giáo phái@
@religious rule@|@giáo ÇiŠu@
@religious teaching@|@giáo lš@
@reluctant@|@miÍn cÜ«ng@
@reluctant to leave@|@nÃn ná@
@reluctantly go along@|@Çành lòng@
@rely on@|@Ì låi@
@remarry@|@tái gía, tái giá@
@re-marry@|@tøc huyŠn@
@remember (v)@|@nh§@
@remind@|@d¥n dò, nh¡c@
@remnant@|@tàn dÜ@
@renewal@|@tái tøc@
@rent (v)@|@mÜ§n@
@reorganize@|@cäi t°@
@re-organize@|@chÌnh ÇÓn@
@replace@|@thay th‰@
@replacement@|@ngÜ©i hay vÆt thay th‰@
@report@|@báo cáo@
@report (journalistic)@|@kš s¿@
@report to someone superior@|@tâu lên@
@reporter@|@phóng viên@
@represent@|@Çåi diŒn@
@representative@|@Çåi diŒn@
@reprint (article@|@tái Çæng@
@republish@|@tái bän@
@reputation@|@ti‰ng@
@request to leave@|@cáo tØ@
@require@|@b¡t bu¶c@
@research@|@nghiên cÙu@
@resemble@|@hao hao (diŒn måo)@
@reset@|@s¡p låi@
@resettle@|@tái ÇÎnh cÜ@
@reside at (v)@|@ngø@
@residence@|@tÜ gia@
@resign@|@tØ chÙc@
@resignation notice@|@ÇÖn tØ chÙc@
@resist@|@kháng c¿@
@resistance@|@kháng chi‰n@
@resolve a conflict@|@phân giäi, phân xº@
@respectful@|@lÍ Ç¶@
@respond@|@Çáp@
@respond to@|@Çáp Ùng@
@response@|@hÒi Çáp, trä l©i@
@rest@|@nghÌ@
@restaurant@|@tiŒm æn@
@restraint someone from@|@cän@
@restraint someone from (v)@|@kŠm hãm@
@restrict@|@hån ch‰@
@restriction@|@hån ch‰@
@retain@|@gi», lÜu tr»@
@retarded@|@tÆt nguyŠn tâm não@
@return@|@vŠ@
@return change ($) to buyer@|@thÓi tiŠn@
@return something@|@hoàn@
@reunion@|@h¶i ng¶@
@re-union@|@trùng phùng@
@reunited@|@h¶i ng¶@
@reveal@|@l¶, l¶ ra@
@revenge@|@báo oán, báo thù@
@revile@|@nguyŠn rûa@
@reward@|@thÜªng@
@rhyme@|@vÀn@
@rice patty@|@ru¶ng lúa@
@rice stalk@|@lúa@
@rice steamed@|@cÖm@
@rich@|@giàu@
@ride@|@Çi xe@
@right (direction)@|@phäi@
@right (law)@|@quyŠn@
@righteous way@|@chánh Çåo@
@riped@|@chín@
@risk@|@bÃt tr¡c@
@rivalry@|@høc h¥c@
@river@|@sông@
@riverbank (on the right side)@|@h»u ngån@
@rock@|@Çá@
@role@|@vai trò@
@roll (fall)@|@l¶n@
@roll call@|@Çi‹m danh@
@roll up@|@cuÓn, quÃn@
@roll up tobacco@|@vÃn thuÓc@
@rollerskate@|@thi‰t hài@
@Romania@|@Nam TÜ@
@room@|@phòng@
@roomy@|@thênh thang@
@rooster@|@gà trÓng@
@root@|@rÍ@
@rope@|@dây@
@rope)@|@ÇÙt@
@rose@|@hÒng@
@rough sex@|@båo dâm@
@round@|@tròn@
@round up people for arrest@|@ruÒng b¡t@
@royal court@|@triŠu Çình@
@royal court official@|@quan@
@royal court officials@|@triŠu thÀn@
@rub (v)@|@cå@
@rug@|@thäm@
@ruin@|@phá@
@ruined@|@tàn tå@
@rule@|@nguyên lš@
@ruler@|@thÜ§c@
@rumor@|@tin ÇÒn@
@run (v)@|@chåy@
@run (water)@|@chÄy@
@run over with a car@|@cán@
@run to and fro as to try to help@|@læng xæng@
@Russia@|@Nga@
@rusty (lack of practice)@|@mai m¶t@
@saddened@|@chånh lòng@
@saddness@|@sÀu@
@sagging@|@xŒ@
@sahib@|@Ngài (ti‰ng ƒn ñ¶ xÜa)@
@sailor@|@thûy thû@
@saint@|@thánh@
@sale tax@|@thu‰ mua bán@
@salt@|@muÓi@
@salty@|@m¥n@
@same@|@ÇÒng, giÓng@
@same race@|@ÇÒng loåi@
@same species@|@ÇÒng loåi@
@sân@|@court@
@sand@|@cát@
@satisfactory@|@mÏ mãn@
@saturated@|@bão hòa@
@save@|@Ç‹ dành@
@save (v)@|@cÙu, dành døm@
@save for dire time@|@phòng xa@
@savings@|@dành døm, ti‰t kiŒm@
@savings account@|@trÜÖng møc ti‰t kiŒm@
@saw (v)@|@cÜa@
@say@|@bäo@
@scanner@|@døng cø thu hình vào ÇiŒn toán@
@scarcity@|@khan hi‰m@
@scared@|@tªn@
@scatter@|@phân tán@
@scene@|@cänh@
@schedule (n)@|@th©i khóa bi‹u@
@schedule (v)@|@s¡p gi©@
@scholar@|@h†c giä@
@scholarship@|@h†c b°ng@
@school@|@h†c ÇÜ©ng, trÜ©ng h†c@
@school opening@|@khai trÜ©ng@
@school work@|@bài làm@
@scold@|@c¿ n¿, m¡ng@
@scold continuously@|@m¡ng nhi‰c@
@scope@|@phåm vi@
@scorched-earth@|@tiêu th° kháng chi‰n@
@score@|@Çi‹m@
@scorn@|@khinh@
@scour@|@Çi nhanh qua, Çi tìm@
@scourge@|@Çày Ç†a, ngÜ©i Çày Ç†a, roi quÃt@
@scout car@|@thi‰t giáp nhÕ Ç‹ thám thính@
@scouth@|@nhiŠu (Tô Cách Lan)@
@scouting@|@thám thính@
@scow@|@thuyŠn bè v§i Çáy bËt@
@scratch@|@cào@
@screen (picture)@|@màn änh@
@screw (v)@|@v¥n@
@scrub@|@chà, kÿ c†@
@sculpt@|@kh¡c tÜ®ng@
@sculpt a statue@|@tåc tÜ®ng@
@sea horse@|@cá ng¿a@
@sea monster@|@thûy quái@
@search (v)@|@ki‰m, tìm@
@season@|@mùa@
@second born knows better@|@hÆu sinh khä úy@
@second guess@|@Çoán mò@
@secretary@|@thÜ kš@
@Secretary@|@B¶ TrÜªng, T°ng TrÜªng@
@Secretary General@|@t°ng thÖ kš@
@secretly@|@ngÃm ngÀm@
@seduce@|@dø, dø d‡@
@seduced@|@mê mÄn@
@seize@|@n¡m@
@seldom@|@h†a ho¢n, hi h»u, mÃy khi@
@self (action)@|@t¿@
@self contradiction@|@mâu thuÅn@
@self-conscious@|@t¿ k› ám thÎ@
@self-pity@|@tûi thân@
@self-taught@|@t¿ h†c, t¿ luyŒn@
@sell (v)@|@bán@
@semi-colon@|@chÃm phÄy@
@sense (i.e. smelling)@|@giác quan@
@sensitive@|@giàu tình cäm@
@sentence (lang.)@|@câu@
@sentiment@|@tình cäm@
@separated from group@|@låc Çàn@
@sergeant@|@thÜ®ng sï@
@servant@|@gia nhân@
@serve@|@phøng s¿@
@serve (as a servant)@|@hÀu@
@serve a ball@|@sËc-via (Fr- servir)@
@servers@|@ngÜ©i hÀu bàn@
@service@|@dÎch vø@
@session@|@hÒi; màn@
@set (n)@|@b¶@
@set self on fire@|@t¿ thiêu@
@settle down in bottom@|@l¡ng Ç†ng@
@seven@|@bÄy@
@several@|@muôn@
@sew (v)@|@may@
@sewer@|@ÇÜ©ng mÜÖng@
@sewing machine@|@máy may@
@sex@|@tÙ Ç° tÜ©ng, tÙ khoái@
@shadow@|@bóng@
@shake@|@l¡c@
@shake to and fro@|@c¿a quÆy@
@shaky@|@chòng chành@
@shallot@|@hành hÜÖng@
@shallow@|@cån, nông@
@shallow-minded@|@nông cån, nông n‡i@
@shameless@|@muÓi m¥t@
@shark@|@cá mÆp, cá nhám@
@sharp ear@|@thính tai@
@sharp eye@|@thính m¡t@
@sharp nose@|@thính mÛi@
@sharp shooter@|@thiŒn xå@
@shatter@|@v« tan@
@she@|@nàng, nó@
@shelter@|@che, che chª, chÙa chÃp@
@shift@|@Ç¶ng ÇÆy@
@shine (v)@|@chi‰u@
@ship captain@|@håm trÜªng@
@ship crew@|@thûy thû Çoàn@
@ship second in command@|@håm phó@
@shit (v)@|@Çåi tiŒn@
@shocked to find out@|@ngã ngºa ra@
@shoe@|@giÀy@
@shoe store@|@tiŒm giày@
@shoot (v)@|@b¡n@
@shop@|@tiŒm@
@shore@|@b©, b‰n@
@shortage@|@khan hi‰m, thi‰u høt, thi‰u thÓn@
@short-lived@|@s§m nª tÓi tàn@
@short-sighted@|@thi‹n cÆn@
@should not@|@ch§@
@shoulder@|@vai@
@show directions@|@chÌ ÇÜ©ng@
@show favor toward someone@|@Üu ái@
@show off@|@khoe, le@
@shrimp@|@tôm@
@shrimp on sugar cane stick@|@chåo tôm@
@shrink@|@teo@
@shrink (v)@|@co@
@shut up@|@câm miŒng@
@sick@|@bŒnh@
@sidewalk@|@lŠ ÇÜ©ng@
@sign@|@dÃu hiŒu@
@sign (v)@|@kš tên@
@signature@|@ch» kš@
@silhouette@|@bóng@
@silver@|@båc@
@similar@|@tÜÖng t¿@
@similarity@|@tÜÖng t¿@
@sin@|@t¶i@
@sincere@|@thÆt thà@
@sing (v)@|@ca@
@single@|@Ç¶c thân, ÇÖn, m¶t mình@
@singlehandedly@|@ÇÖn thÜÖng Ç¶c mã@
@sink (v)@|@chìm@
@sister (eldest sibling)@|@chÎ cä@
@sister (older)@|@chÎ@
@sisterhood@|@tình chÎ em@
@sit (v)@|@ngÒi@
@situation@|@th©i th‰, tình hình, tình th‰, tình trång@
@situation (personal)@|@tình cänh@
@skilled@|@tài, tài næng@
@skin@|@da@
@slack@|@quÀn@
@slam down@|@giáng xuÓng@
@slang@|@lóng@
@slang)@|@chôm@
@slap@|@tát@
@slash (v)@|@chém@
@slave@|@nô lŒ, tôi Çòi@
@sleep@|@ngû, tÙ khoái@
@sleep around@|@lang chå@
@sleep with the fish (slang)@|@mò tôm (lóng)@
@slice (v)@|@thái@
@slingshot@|@ná thung@
@slippery@|@trÖn@
@slit a throat@|@c¡t ti‰t@
@slow@|@chÆm, chÆm rãi@
@slow thinking@|@chÆm hi‹u@
@slowly@|@tØ tØ@
@small@|@nhÕ@
@small boat or ferry@|@Çò@
@small business@|@ti‹u thÜÖng@
@small road@|@l¶@
@small)@|@tÌnh lÈ@
@small-minded@|@nhÕ m†n@
@small-minded person@|@ti‹u nhân@
@smile (v)@|@mÌm cÜ©i@
@smoke@|@khói@
@smoking pipe@|@Çi‰u cày@
@snack@|@quà æn@
@snail@|@Óc, Óc sên@
@snap fingers@|@búng@
@sneak a bite before allowed to eat@|@æn vøng@
@sneak out (v)@|@nhäy rào@
@sneeze (v)@|@nhäy mÛi@
@snitch@|@chÌ Çi‹m@
@snoring sound@|@khò@
@so far as to ...@|@thÆm chí@
@so frustrated to do something crazy@|@quÅn trí@
@soak@|@Ü§t nhËp@
@socialism@|@chû nghïa xã h¶i@
@sock@|@tÃt, v§@
@soda@|@nÜ§c ng†t@
@soft@|@dÎu, mŠm@
@software@|@nhu liŒu, phÀn mŠm@
@softy@|@nhu nhÜ®c@
@solar eclipse@|@nhÆt th¿c@
@soldier@|@chi‰n sï, quân@
@solely@|@duy nhÃt@
@solicit for advice@|@h¶i š@
@solicit for favor@|@nh© cÆy@
@solid@|@v»ng vàng; v»ng chãi@
@solidarity@|@h®p quÀn@
@someday@|@mai mÓt@
@sophisticated@|@tinh vi@
@soul@|@tâm hÒn@
@sound@|@ti‰ng@
@source@|@c¶i nguÒn@
@souvenir@|@k› vÆt@
@soy sauce@|@nÜ§c tÜÖng, xì dÀu@
@spacious@|@thênh thang@
@Spain@|@Tây Ban Nha@
@Spanish@|@ti‰ng Tây Ban Nha@
@spank@|@Çánh Çòn@
@sparrow@|@se sÈ@
@sparse@|@thÜa@
@speaker@|@diÍn giä@
@specialty@|@chuyên môn@
@spectacular@|@ngoån møc@
@speech@|@thuy‰t trình@
@spend money@|@tiêu@
@sperm@|@tinh trùng@
@spicy@|@cay@
@spider web@|@mång nhŒn@
@spill@|@Ç°@
@spilled all over (liquid)@|@lênh láng@
@spineless@|@nhu nhÜ®c@
@spirit@|@tâm hÒn, tinh thÀn@
@spiritualism@|@chû nghïa duy tâm@
@spit@|@nh°, nÜ§c mi‰ng@
@spit out food (v)@|@nhè@
@spontaneous@|@bÃt ch®t, bÓc ÇÒng@
@spoon@|@mu‡ng@
@sporadic@|@r©i råc@
@sport field@|@cÀu trÜ©ng@
@sports@|@th‹ thao@
@spread (v)@|@lan tràn@
@spring@|@xuân@
@sprouts@|@giá@
@spy@|@do thám@
@squeeze (v)@|@bóp, si‰t@
@stack@|@ÇÓng@
@stack up (v)@|@chÒng chÃt, chÒng lên@
@stadium@|@vÆn Ç¶ng trÜ©ng@
@stand (court)@|@vành móng ng¿a@
@standing out@|@tr¶i@
@start a school year or a course@|@khai giäng@
@start an attack@|@xuÃt chiêu@
@state (v)@|@cho bi‰t, nói r¢ng@
@state of mind@|@tâm trång@
@stateless@|@vô t° quÓc@
@station@|@b‰n@
@station (gas@|@tråm@
@statue@|@tÜ®ng@
@status@|@tình trång@
@status quo@|@nguyên trång, th¿c trång@
@stay@|@lÜu trú@
@stay behind@|@ª låi@
@stay up late@|@thÙc khuya@
@steadfast@|@kh£ng ÇÎnh@
@steal (v@|@chôm@
@steal (v)@|@æn tr¶m, tr¶m@
@steam (v:cooking)@|@hÃp@
@stem (n)@|@cuÓng@
@stench@|@khai@
@step@|@bÜ§c@
@stick (tongue) out@|@lè@
@still@|@vÅn@
@stingy@|@bÀn@
@stinky@|@thÓi@
@stock@|@c° phÀn@
@stockholder@|@c° Çông viên@
@stomach@|@bao tº, då dÀy, då dày@
@stone@|@Çá@
@stop a vehicle@|@th¡ng xe@
@store (v)@|@chÙa@
@store owner@|@chû tiŒm@
@stork@|@cò@
@storm@|@bão, giông tÓ@
@story@|@truyŒn@
@story (house)@|@lÀu@
@stove@|@lò@
@straight@|@th£ng@
@straight (poker)@|@suÓt@
@straight through unobstructed@|@thông thÓng@
@straightforward@|@th£ng th¡n@
@straightforward personality@|@th£ng tính@
@strange@|@lå@
@strangle@|@bóp c°@
@strangulate@|@th¡t c°@
@straw mat@|@chi‰u@
@stray dog@|@chó hoang@
@street@|@ÇÜ©ng@
@stretcher@|@cáng@
@strike@|@Çánh, xuÃt chiêu@
@strike (employment)@|@Çình công@
@strike (French: coup)@|@cú@
@strike rich@|@phát tài@
@string@|@dây@
@string instrument@|@Çàn@
@strong point@|@Üu Çi‹m@
@structure@|@cÖ cÃu@
@struggle@|@phÃn ÇÃu@
@stubborn@|@bÜ§ng@
@student@|@h†c sinh, h†c trò@
@student desk@|@bàn h†c@
@study@|@h†c@
@study room@|@thÜ phòng@
@stunned by great disappointment@|@bë bàng@
@stupid@|@ngu, tÓi då@
@sturdy@|@cÙng, v»ng vàng; v»ng chãi@
@subject for discussion@|@ÇŠ tài@
@subjective@|@chû quan@
@submarine@|@tiŠm thûy Çïnh@
@submit a petition@|@Çâm ÇÖn@
@submit a petition or application@|@ÇŒ ÇÖn@
@submitted to@|@hàng phøc@
@substance abuse@|@nghiŒn ngÆp@
@substandard@|@cà kh°@
@substantial (damage@|@n¥ng nŠ@
@substract (v)@|@trØ@
@subtle@|@tiŠm tàng@
@succeed@|@thành công@
@success@|@thành công@
@successor@|@ngÜ©i k‰ vÎ@
@sudden@|@bÃt ng©, bÃt thÀn@
@sudden feeling of fear inside@|@ch¶t då@
@suddenly@|@bÃt thÀn, bÃt thình lình@
@suffer@|@chÎu Ç¿ng@
@sufferings@|@thÓng kh°@
@sugar@|@ÇÜ©ng@
@suggest@|@ÇŠ nghÎ@
@suicide@|@t¿ sát, t¿ thác, t¿ tº, t¿ vÆn, t¿ vÅn@
@suicide by drowning@|@t¿ trÀm, trÀm mình@
@sum@|@t°ng c¶ng@
@summary@|@toát y‰u, tóm t¡t@
@summary execution@|@hành quy‰t tÙc th©i@
@sunset@|@hoàng hôn@
@sunshine@|@n¡ng@
@super@|@siêu@
@superior complex@|@t¿ tôn m¥c cäm@
@supermaket@|@siêu thÎ@
@superman@|@siêu nhân@
@supertition@|@mê tín@
@support@|@h‡ tr®, tr®@
@support with favoritism@|@nâng Ç«@
@suppose@|@giä dø, giä sº@
@supposed to@|@nhë ra@
@surgery@|@m°@
@surplus@|@th¥ng dÜ@
@surrender oneself@|@ÇÀu thú@
@surrender to@|@hàng phøc@
@surrounded by enemies@|@thø ÇÎch@
@surroundings@|@cänh vÆt@
@surveillance@|@thám thính@
@survival@|@sinh tÒn@
@survive@|@sÓng sót@
@suspect@|@nghi@
@suspect (v)@|@ng©@
@sustain@|@chÎu Ç¿ng@
@swan@|@ngan@
@swear@|@thŠ@
@swear in@|@tuyên thŒ@
@swear to oneself@|@t¿ nhû@
@Sweden@|@Thøy ñi‹n@
@sweet talk@|@dø, dø d‡@
@swell@|@sÜng@
@Switzerland@|@Thøy Sï@
@sword@|@ki‰m@
