@Hawaiian@|@English@
@puhi paka@|@cigarette@
@puka@|@Hole, door@
@puka@|@appear@
@puka `ana@|@sunset@
@puka `ana o ka la@|@sunrise@
@puka [hale]@|@door@
@Puka kinikini@|@Holes many@
@puka komo@|@doorway@
@pukaaniani@|@window@
@pukaaniani@|@window@
@pukana la@|@sunshine@
@puke@|@book@
@puke@|@book@
@puke heluhelu@|@magazine@
@puke ho`omana`o@|@journal@
@puke lawe lima@|@handbook@
@puke nana mea ku`ai@|@catalog@
@puke wehewehe `olelo@|@dictionary@
@puke wehewehe 'ölelo@|@dictionary@
@Pukikî@|@Portuguese@
@pule@|@Week, Prayer@
@pule@|@to pray, to worship, to ask a blessing@
@pule@|@prayer, incantation, blessing, grace@
@pûlehu@|@cook on hot coals@
@pülehu@|@To broil@
@pulelehua@|@butterfly@
@pulelehua@|@butterfly@
@pulu@|@coconut husk, cotton, wet@
@pumehana@|@warm@
@puna@|@spoon@
@pûnana@|@nest@
@pûnana@|@den@
@pune'e@|@A movable couch@
@puni@|@around@
@püoü kani oe@|@O'ahu native tree snail@
@pupu@|@shell@
@pûpû@|@shells@
@püpü@|@Appetizer@
@pupuhi@|@to spit@
@pupuka@|@ugly@
@pupule@|@crazy@
@pûpule@|@mad@
@pûpule@|@insane, nuts@
@quarter@|@hapahâ@
@ramen@|@Japanese noodles in broth@
@rose@|@rose@
@saimin@|@Hawaii meal of noodle in broth@
@school building@|@halekula@
@sea@|@brown@
@see-moi@|@A type of preserved seed@
@shaka@|@Friendly hand gesture@
@shoyu@|@Japanese for soy sauce@
@sila@|@seal@
@sila@|@sea-dog@
@soba@|@Japanese buckwheat noodles@
@son-in-law@|@hunona kane@
@tai chi@|@Chinese system of meditative@
@tai chi chuan@|@Chinese system of meditative@
@talk story@|@To relax and chat with friends@
@talking stink@|@act of saying negative things@
@tita@|@sister@
@tutu@|@grandpa, grandma [affectionate usage]@
@tutu@|@grandma@
@tütü@|@Grandparent@
@u@|@breast@
@ü@|@breast@
@u` i@|@beautiful@
@u`i@|@fine@
@u`i@|@handsome, beautiful@
@u`i@|@lovely@
@u`i@|@handsome@
@ua@|@rain@
@ua@|@rainy, rain@
@Ua hoopuka pu ae la oia@|@She also remarked that@
@ua po@|@bridge@
@ua...nei@|@aforementioned@
@uahi@|@smoke@
@uaki@|@watch, clock@
@uaki@|@watch, clock@
@uapo@|@Bridge@
@udon@|@Thick Japanese noodles@
@uê@|@cry@
@uë@|@cry (tears)@
@uea@|@wire@
@uea@|@wire@
@uhi kea@|@pearl shell@
@uhi pakaukau@|@tablecloth@
@uhi pela@|@bedsheet@
@ui@|@ask (question)@
@uila@|@lightning@
@uka@|@inland@
@uka@|@inland@
@ukali@|@accompany@
@ukana@|@baggage@
@ukana@|@baggage, carried belongings@
@ukana@|@luggage@
@ukiuki@|@anger@
@uku@|@pay@
@uku@|@pay@
@uku ho`opa`i@|@penalty, fine@
@uku million@|@Very many@
@uku pana`i@|@redeem@
@uku pile@|@Very many@
@ule@|@penis@
@uli@|@blue@
@uli@|@blue@
@uli ka maka@|@Black eye@
@uli mâhole ka ili@|@Black-and-blue skin@
@uli mau Poni@|@Evergreen@
@ulia@|@accident@
@Uliuli@|@Blue, deep dark color@
@uliuli@|@greenish-blue, deep dark color@
@ulu@|@to grow up, to grow@
@ulua@|@Certain species of crevalle@
@ulua@|@jackfish@
@ululä@|@owl@
@ululâ`au@|@forest@
@ululä`au@|@forest@
@umauma@|@chest@
@umauma@|@chest (anatomy)@
@ume@|@Pickled plum@
@uwë@|@to cry@
@wa@|@age@
@wä@|@time@
@wa`a@|@canoe@
@wa`u@|@grate@
@wa'a@|@canoe@
@wae@|@to choose@
@waele@|@to weed@
@waena@|@average, mean, middle@
@waena@|@intermediate@
@waena@|@average, mean@
@waena@|@center@
@waena[konu]@|@center@
@waha@|@mouth@
@waha@|@mouth@
@wahi@|@case (container)@
@wähi@|@to split@
@wahi noho@|@address (residence)@
@wahine@|@woman, female@
@Wahine@|@Wife, woman@
@wahine `ole@|@bachelor@
@wahine [makua]@|@sister-in-law@
@waho@|@outside, outside of@
@wai@|@to flow@
@wai@|@Juice, who?@
@wai@|@Water, liquid@
@wai@|@water, liquid or liquor (not sea water)@
@wai@|@watery, similar to water@
@wai@|@fluid@
@wai pa`ipa`i@|@solution (liquid)@
@waiho@|@abandon@
@waiho@|@to put something some place@
@waiho@|@absent onself, depart, go away, leave@
@waiho`olu`u@|@color@
@waiho`olu`u@|@color@
@wailele@|@waterfall@
@waimaka@|@weeping, tears@
@waina@|@Wine@
@wainiu@|@coconut milk@
@waiolina@|@violin@
@waiu@|@breast@
@waiû@|@milk@
@waiüpa'a@|@cheese@
@waiûpaka@|@butter@
@waiwai@|@rich, valuable@
@waiwai@|@wealth@
@walanuka@|@walnut@
@wale mea ulu@|@Vegetarian@
@wale nô@|@only, exclusively, just@
@walu@|@eight, to scratch@
@wana@|@Sea urchin@
@wanila@|@vanilla@
@wao one@|@desert@
@wawae@|@foot@
@wawae@|@foot@
@wâwae@|@leg@
@wäwae@|@foot@
@wâwae`iole@|@seaweed@
@wawahi hale@|@burglary@
@wehe@|@untie@
@wehe@|@open, to open@
@wehe me ke ki@|@unlock@
@wehewehe@|@explaine@
@wehewehe `ano@|@define@
@wehewehe i ka ukana@|@unload@
@weka@|@innards of `opihi@
@weka@|@entrails of the `opihi@
@wela@|@hot, warm@
@welelau@|@tip@
@weleweka@|@velvet@
@weli@|@afraid@
@weliweli@|@awful@
@wena@|@red@
@wikiwiki@|@speedy@
@wikiwiki@|@speedy, fast, quick, rapid, swift@
@wikiwiki@|@to hurry, hasten@
@wikiwiki@|@fast, speedy@
@wikiwiki@|@quick, fast, swift@
@wili@|@dial@
@wili@|@twist something around st, to turn@
@wîneka@|@vinegar@
@wîwî@|@skinny@
@wiwo`ole@|@bold@
@Wô!@|@Whoa!@

